cohort	metric	genes	denominator	percent
candidate_genes	annotated	4081	5574	73.21
candidate_genes	any_named_binder	2229	5574	39.99
candidate_genes	gtopdb	1146	5574	20.56
candidate_genes	natural_ligand	396	5574	7.1
candidate_genes	approved_drug	514	5574	9.22
candidate_genes	gtopdb_antibody	159	5574	2.85
candidate_genes	existing_exact_antibody	1720	5574	30.86
candidate_genes	existing_any_antibody	2920	5574	52.39
candidate_genes	biogrid_designed_binder	84	5574	1.51
candidate_genes	biogrid_minibinder	15	5574	0.27
candidate_genes	quantitative_affinity	629	5574	11.28
candidate_genes	quantitative_measurement	1009	5574	18.1
candidate_genes	live_cell_antibody	683	5574	12.25
candidate_genes	validated_live_cell_antibody	310	5574	5.56
candidate_genes	antibody_sequence	134	5574	2.4
candidate_genes	antibody_structure_lead	51	5574	0.91
candidate_genes	complex_only	2	5574	0.04
triage_classical_receptors	annotated	1058	1059	99.91
triage_classical_receptors	any_named_binder	677	1059	63.93
triage_classical_receptors	gtopdb	235	1059	22.19
triage_classical_receptors	natural_ligand	64	1059	6.04
triage_classical_receptors	approved_drug	85	1059	8.03
triage_classical_receptors	gtopdb_antibody	98	1059	9.25
triage_classical_receptors	existing_exact_antibody	622	1059	58.73
triage_classical_receptors	existing_any_antibody	913	1059	86.21
triage_classical_receptors	biogrid_designed_binder	44	1059	4.15
triage_classical_receptors	biogrid_minibinder	11	1059	1.04
triage_classical_receptors	quantitative_affinity	153	1059	14.45
triage_classical_receptors	quantitative_measurement	207	1059	19.55
triage_classical_receptors	live_cell_antibody	385	1059	36.36
triage_classical_receptors	validated_live_cell_antibody	174	1059	16.43
triage_classical_receptors	antibody_sequence	81	1059	7.65
triage_classical_receptors	antibody_structure_lead	34	1059	3.21
triage_classical_receptors	complex_only	0	1059	0.0
triage_surface_yes	annotated	2423	2424	99.96
triage_surface_yes	any_named_binder	1548	2424	63.86
triage_surface_yes	gtopdb	833	2424	34.36
triage_surface_yes	natural_ligand	362	2424	14.93
triage_surface_yes	approved_drug	389	2424	16.05
triage_surface_yes	gtopdb_antibody	129	2424	5.32
triage_surface_yes	existing_exact_antibody	1273	2424	52.52
triage_surface_yes	existing_any_antibody	1999	2424	82.47
triage_surface_yes	biogrid_designed_binder	61	2424	2.52
triage_surface_yes	biogrid_minibinder	11	2424	0.45
triage_surface_yes	quantitative_affinity	473	2424	19.51
triage_surface_yes	quantitative_measurement	728	2424	30.03
triage_surface_yes	live_cell_antibody	598	2424	24.67
triage_surface_yes	validated_live_cell_antibody	271	2424	11.18
triage_surface_yes	antibody_sequence	105	2424	4.33
triage_surface_yes	antibody_structure_lead	38	2424	1.57
triage_surface_yes	complex_only	0	2424	0.0
annotated_candidates	annotated	4081	4081	100.0
annotated_candidates	any_named_binder	2074	4081	50.82
annotated_candidates	gtopdb	993	4081	24.33
annotated_candidates	natural_ligand	387	4081	9.48
annotated_candidates	approved_drug	459	4081	11.25
annotated_candidates	gtopdb_antibody	151	4081	3.7
annotated_candidates	existing_exact_antibody	1720	4081	42.15
annotated_candidates	existing_any_antibody	2920	4081	71.55
annotated_candidates	biogrid_designed_binder	76	4081	1.86
annotated_candidates	biogrid_minibinder	15	4081	0.37
annotated_candidates	quantitative_affinity	551	4081	13.5
annotated_candidates	quantitative_measurement	869	4081	21.29
annotated_candidates	live_cell_antibody	683	4081	16.74
annotated_candidates	validated_live_cell_antibody	310	4081	7.6
annotated_candidates	antibody_sequence	126	4081	3.09
annotated_candidates	antibody_structure_lead	47	4081	1.15
annotated_candidates	complex_only	0	4081	0.0
