metric	subset	covered	denominator	percent
biogrid_literature_contacts	all_candidates	1	5574	0.02
biogrid_literature_contacts	classical_receptors	0	1059	0.0
biogrid_literature_contacts	surface_positive	0	2424	0.0
biogrid_literature_contacts_extracellular	all_candidates	0	5574	0.0
biogrid_literature_contacts_extracellular	classical_receptors	0	1059	0.0
biogrid_literature_contacts_extracellular	surface_positive	0	2424	0.0
iedb_any_bcell_assay	all_candidates	1945	5574	34.89
iedb_any_bcell_assay	classical_receptors	522	1059	49.29
iedb_any_bcell_assay	surface_positive	915	2424	37.75
iedb_epitope_region	all_candidates	204	5574	3.66
iedb_epitope_region	classical_receptors	68	1059	6.42
iedb_epitope_region	surface_positive	104	2424	4.29
iedb_epitope_region_extracellular	all_candidates	84	5574	1.51
iedb_epitope_region_extracellular	classical_receptors	62	1059	5.85
iedb_epitope_region_extracellular	surface_positive	73	2424	3.01
iedb_exact_epitope	all_candidates	176	5574	3.16
iedb_exact_epitope	classical_receptors	100	1059	9.44
iedb_exact_epitope	surface_positive	138	2424	5.69
iedb_exact_epitope_extracellular	all_candidates	125	5574	2.24
iedb_exact_epitope_extracellular	classical_receptors	100	1059	9.44
iedb_exact_epitope_extracellular	surface_positive	119	2424	4.91
iedb_named_positive_binding	all_candidates	348	5574	6.24
iedb_named_positive_binding	classical_receptors	147	1059	13.88
iedb_named_positive_binding	surface_positive	213	2424	8.79
natural_ligand_mapped_contacts	all_candidates	120	5574	2.15
natural_ligand_mapped_contacts	classical_receptors	39	1059	3.68
natural_ligand_mapped_contacts	surface_positive	118	2424	4.87
natural_ligand_mapped_contacts_extracellular	all_candidates	54	5574	0.97
natural_ligand_mapped_contacts_extracellular	classical_receptors	38	1059	3.59
natural_ligand_mapped_contacts_extracellular	surface_positive	53	2424	2.19
pdbe_chembl_identity	all_candidates	974	5574	17.47
pdbe_chembl_identity	classical_receptors	153	1059	14.45
pdbe_chembl_identity	surface_positive	531	2424	21.91
pdbe_chemical_contacts	all_candidates	1168	5574	20.95
pdbe_chemical_contacts	classical_receptors	189	1059	17.85
pdbe_chemical_contacts	surface_positive	623	2424	25.7
pdbe_chemical_contacts_extracellular	all_candidates	200	5574	3.59
pdbe_chemical_contacts_extracellular	classical_receptors	115	1059	10.86
pdbe_chemical_contacts_extracellular	surface_positive	184	2424	7.59
pdbe_gtopdb_supported_pair	all_candidates	228	5574	4.09
pdbe_gtopdb_supported_pair	classical_receptors	36	1059	3.4
pdbe_gtopdb_supported_pair	surface_positive	164	2424	6.77
pdbe_gtopdb_supported_pair_extracellular	all_candidates	34	5574	0.61
pdbe_gtopdb_supported_pair_extracellular	classical_receptors	12	1059	1.13
pdbe_gtopdb_supported_pair_extracellular	surface_positive	32	2424	1.32
sabdab_mapped_contacts	all_candidates	413	5574	7.41
sabdab_mapped_contacts	classical_receptors	177	1059	16.71
sabdab_mapped_contacts	surface_positive	321	2424	13.24
sabdab_mapped_contacts_extracellular	all_candidates	249	5574	4.47
sabdab_mapped_contacts_extracellular	classical_receptors	175	1059	16.53
sabdab_mapped_contacts_extracellular	surface_positive	235	2424	9.69
sabdab_target_complex	all_candidates	464	5574	8.32
sabdab_target_complex	classical_receptors	183	1059	17.28
sabdab_target_complex	surface_positive	355	2424	14.65
union_including_regions	all_candidates	747	5574	13.4
union_including_regions	classical_receptors	228	1059	21.53
union_including_regions	surface_positive	523	2424	21.58
union_including_regions_extracellular	all_candidates	324	5574	5.81
union_including_regions_extracellular	classical_receptors	212	1059	20.02
union_including_regions_extracellular	surface_positive	301	2424	12.42
union_mapped_sites	all_candidates	650	5574	11.66
union_mapped_sites	classical_receptors	211	1059	19.92
union_mapped_sites	surface_positive	499	2424	20.59
union_mapped_sites_extracellular	all_candidates	302	5574	5.42
union_mapped_sites_extracellular	classical_receptors	198	1059	18.7
union_mapped_sites_extracellular	surface_positive	285	2424	11.76
