source	feature	feature_type	in_n	out_n	in_summary	out_summary	effect	effect_kind	effect_ci_lo	effect_ci_hi	aux_effect	aux_effect_kind	aux_effect_ci_lo	aux_effect_ci_hi	p_value	q_value
uniprot	up_has_signal	binary	3091	919	0.4218699450016176	0.2219804134929271	0.19988953150869052	prop_diff			0.9374154535222695	log_or	0.7663936054086333	1.1084373016359057	2.0818389904439042e-29	8.870444394065332e-29
uniprot	up_has_tm	binary	3091	919	0.9595600129407958	0.2546245919477693	0.7049354209930265	prop_diff			4.235525238242895	log_or	4.003379751901803	4.467670724583987	0.0	0.0
uniprot	up_multi_pass	binary	3091	919	0.5406017470074409	0.1719260065288357	0.3686757404786052	prop_diff			1.732248083583792	log_or	1.5470868057257463	1.9174093614418375	4.787648485978012e-93	4.398652046492298e-92
uniprot	up_has_extracellular_topo	binary	3091	919	0.9411193788417987	0.009793253536452665	0.9313261253053461	prop_diff			7.331688451635346	log_or	6.675206620268656	7.988170283002035	0.0	0.0
uniprot	up_has_glyc	binary	3091	919	0.7965059851180848	0.2916213275299238	0.5048846575881609	prop_diff			2.2504330021778225	log_or	2.083499353150313	2.417366651205332	1.2017046908571826e-173	2.0782422300706572e-172
uniprot	up_has_lipidation	binary	3091	919	0.06017470074409576	0.2720348204570185	-0.21186011971292273	prop_diff			-1.7628572878249824	log_or	-1.9702079942987831	-1.5555065813511817	6.692884539961104e-62	4.3726845661079214e-61
uniprot	deeptm_TM_NO_SP	binary	1934	411	0.4301964839710445	0.4257907542579075	0.004405729713136963	prop_diff			0.01740677955966495	log_or	-0.1976094743968158	0.23242303351614574	0.9126370937402346	0.9900933784488155
uniprot	deeptm_SP_plus_TM	binary	1934	411	0.56153050672182	0.2725060827250608	0.2890244239967592	prop_diff			1.2264079109332324	log_or	0.9918070948428879	1.461008727023577	4.9405881909032056e-27	1.9367105708340567e-26
uniprot	deeptm_SP_only	binary	1934	411	0.0077559462254395035	0.2846715328467153	-0.2769155866212758	prop_diff			-3.900139321008224	log_or	-4.443817043623387	-3.356461598393061	1.7510721878493306e-77	1.3913924952100087e-76
uniprot	deeptm_BETA	binary	1934	411	0.0	0.0024330900243309003	-0.0024330900243309003	prop_diff			-2.6488405339161942	log_or	-5.851278799719861	0.5535977318874719	0.17526652452025587	0.23003731343283582
uniprot	deeptm_GLOB	binary	1934	411	0.000517063081695967	0.014598540145985401	-0.014081477064289433	prop_diff			-3.028303306285311	log_or	-4.80693835896243	-1.2496682536081924	0.00016764040185346474	0.0003099765921064065
uniprot	topo_gpi_anchored	binary	3091	919	0.00517631834357813	0.13492927094668117	-0.12975295260310304	prop_diff			-3.3731972558688086	log_or	-3.8925802831996017	-2.8538142285380155	5.8877007801968534e-64	3.9340546122224426e-63
uniprot	topo_intramembrane	binary	3091	919	0.0	0.0	0.0	prop_diff			-1.2125816449542477	log_or	-5.1332729814165	2.708109691508004	1.0	1.0
uniprot	topo_gpcr_7tm	binary	3091	919	0.2607570365577483	0.003264417845484222	0.2574926187122641	prop_diff			4.526162898577856	log_or	3.4734351302279585	5.578890666927753	8.28301040276943e-98	8.397258822117974e-97
uniprot	topo_multi_pass_tm	binary	3091	919	0.27984471044969267	0.16866158868335146	0.11118312176634121	prop_diff			0.6476975436043351	log_or	0.45824096330579484	0.8371541239028752	3.0730583088714027e-12	8.523388139699929e-12
uniprot	topo_single_pass_tm	binary	3091	919	0.417987706243934	0.08161044613710555	0.33637726010682845	prop_diff			2.0836815588563744	log_or	1.8376365981539082	2.3297265195588404	5.328669626891274e-94	5.05364151711624e-93
uniprot	topo_signal_only_secreted	binary	3091	919	0.013911355548366224	0.04570184983677911	-0.03179049428841288	prop_diff			-1.2220711278435827	log_or	-1.6514209670029032	-0.7927212886842623	6.535560742620339e-08	1.5879792217606443e-07
uniprot	topo_inner_leaflet_lipidated	binary	3091	919	0.0019411193788417987	0.09793253536452666	-0.09599141598568486	prop_diff			-3.9471935619349114	log_or	-4.74678112840486	-3.147605995464962	1.7799798784016385e-51	1.0902376755210034e-50
uniprot	topo_palmitoylated_only	binary	3091	919	0.0012940795858945326	0.04570184983677911	-0.044407770250884576	prop_diff			-3.5034667047503087	log_or	-4.477993057281144	-2.528940352219473	3.9605406622663355e-23	1.3861892317932175e-22
uniprot	topo_no_tm_no_signal	binary	3091	919	0.019087673891944355	0.42219804134929273	-0.40311036745734835	prop_diff			-3.6177563002923208	log_or	-3.9057626360791735	-3.329749964505468	4.582154091000521e-212	9.622523591101094e-211
uniprot	fam_gpcr	binary	2773	2683	0.04579877389109268	0.0	0.04579877389109268	prop_diff			5.555147445477267	log_or	2.7773401561048328	8.332954734849702	1.1137148242922598e-38	5.744423830560078e-38
uniprot	fam_olfactory_receptor	binary	2773	2683	0.14605120807789398	0.0011181513231457323	0.14493305675474824	prop_diff			4.876104405963885	log_or	3.8224778799091492	5.929730932018622	3.799685377040161e-120	4.4684300033992296e-119
uniprot	fam_slc_transporter	binary	2773	2683	0.09448250991705734	0.035780842340663435	0.058701667576393904	prop_diff			1.0305200480702634	log_or	0.7908154939990977	1.2702246021414292	6.082067100125908e-19	1.943617095040236e-18
uniprot	fam_abc_transporter	binary	2773	2683	0.008294266137756943	0.005218039508013418	0.003076226629743525	prop_diff			0.45296024734831275	log_or	-0.20373300977994901	1.1096535044765745	0.18847145280489278	0.2440995908574382
uniprot	fam_cd_molecule	binary	2773	2683	0.1272989542012261	0.013045098770033545	0.11425385543119257	prop_diff			2.3883701004600897	log_or	2.0389148061154443	2.737825394804735	2.1498073591721967e-69	1.4698682874340136e-68
uniprot	fam_ig_domain	binary	2773	2683	0.0421925712225027	0.007454342154304882	0.03473822906819782	prop_diff			1.7486450279059071	log_or	1.276439547114234	2.22085050869758	9.268684104322155e-18	2.9301001362050686e-17
uniprot	fam_rtk	binary	2773	2683	0.01839163360980887	0.0014908684308609765	0.016900765178947896	prop_diff			2.4215840450212056	log_or	1.456634398677892	3.3865336913645194	2.2024074738731267e-11	5.995442567765734e-11
uniprot	fam_tetraspanin	binary	2773	2683	0.01009736747205193	0.0018635855385762206	0.008233781933475709	prop_diff			1.6204497236382673	log_or	0.706065132549548	2.5348343147269867	6.76314645739539e-05	0.00013081349068909504
uniprot	fam_cadherin	binary	2773	2683	0.03606202668589975	0.0003727171077152441	0.03568930957818451	prop_diff			4.208053339507034	log_or	2.5949319686514634	5.8211747103626035	8.769150840761792e-29	3.5316854071013244e-28
uniprot	fam_integrin	binary	2773	2683	0.0	0.0	0.0	prop_diff			-0.03298814787840565	log_or	-3.9533474008455243	3.887371105088713	1.0	1.0
