therapeutic	target_annotation	arm_group	component	status	candidate_hgnc_ids	exclusion_reference
Abagovomab	MUC16/CA125	0	MUC16/CA125	anti_idiotype_mimics_antigen_not_direct_target_binder	HGNC:15582	https://pmc.ncbi.nlm.nih.gov/articles/PMC5795662/
Abazistobart	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Abciximab	ITGA2B/CD41	0	ITGA2B/CD41	approved_symbol	HGNC:6138	
Abelacimab	F11	0	F11	approved_symbol	HGNC:3529	
Abiprubart	TNFRSF5/CD40	0	TNFRSF5/CD40	approved_symbol	HGNC:11919	
Abituzumab	ITGAV/CD51	0	ITGAV/CD51	approved_symbol	HGNC:6150	
Abrezekimab	IL13	0	IL13	approved_symbol	HGNC:5973	
Abrilumab	ITGA4B7	0	ITGA4B7	complex_target_not_direct_subunit		
Acapatamab	FOLH1/GCPII/PSMA;CD3E	0	FOLH1/GCPII/PSMA	approved_symbol	HGNC:3788	
Acapatamab	FOLH1/GCPII/PSMA;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Acasunlimab	PDL1/CD274;TNFRSF9/CD137/4-1BB	0	PDL1/CD274	approved_symbol	HGNC:17635	
Acasunlimab	PDL1/CD274;TNFRSF9/CD137/4-1BB	1	TNFRSF9/CD137/4-1BB	approved_symbol	HGNC:11924	
Acimtamig	FCGR3A/CD16/CD16A;TNFRSF8/CD30	0	FCGR3A/CD16/CD16A	approved_symbol	HGNC:3619	
Acimtamig	FCGR3A/CD16/CD16A;TNFRSF8/CD30	1	TNFRSF8/CD30	approved_symbol	HGNC:11923	
Acrixolimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Actoxumab	Clostridium difficile Toxin A	0	Clostridium difficile Toxin A	unresolved_or_nonprotein		
Adakitug	CXCL8	0	CXCL8	approved_symbol	HGNC:6025	
Adalimumab	TNF/TNFA	0	TNF/TNFA	approved_symbol	HGNC:11892	
Adebrelimab	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Adecatumumab	EPCAM/CD326	0	EPCAM/CD326	approved_symbol	HGNC:11529	
Adezkibart	FLT3LG	0	FLT3LG	approved_symbol	HGNC:3766	
Adimanebart	MUSK	0	MUSK	approved_symbol	HGNC:7525	
Adintrevimab	SARS-CoV-2 Spike	0	SARS-CoV-2 Spike	unresolved_or_nonprotein		
Aducanumab	APP	0	APP	approved_symbol	HGNC:620	
Afasevikumab	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Afimkibart	TNFSF15/TL1A/VEGI	0	TNFSF15/TL1A/VEGI	approved_symbol	HGNC:11931	
Alacizumab	KDR/CD309/VEGFR2	0	KDR/CD309/VEGFR2	approved_symbol	HGNC:6307	
Alcestobart	LAG3/CD223	0	LAG3/CD223	approved_symbol	HGNC:6476	
Aldastotug	SIGLEC15/CD33L3	0	SIGLEC15/CD33L3	approved_symbol	HGNC:27596	
Alemtuzumab	CD52	0	CD52	approved_symbol	HGNC:1804	
Aletekitug	IL18	0	IL18	approved_symbol	HGNC:5986	
Alextatug	RNP complex containing PABPC1	0	RNP complex containing PABPC1	unresolved_or_nonprotein		
Alirocumab	PCSK9	0	PCSK9	approved_symbol	HGNC:20001	
Alomfilimab	ICOS/CD278	0	ICOS/CD278	approved_symbol	HGNC:5351	
Alnuctamab	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	0	TNFRSF17/CD269/BCMA/TNFRSF13A	approved_symbol	HGNC:11913	
Alnuctamab	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Alpitatug	KLK2/KLK2A2/hGK-1/hK2	0	KLK2/KLK2A2/hGK-1/hK2	approved_symbol	HGNC:6363	
Alsevalimab	VTCN1/B7H4	0	VTCN1/B7H4	approved_symbol	HGNC:28873	
Amatuximab	MSLN	0	MSLN	approved_symbol	HGNC:7371	
Amdokitug	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Amtabafusp	CD3E	0	CD3E	approved_symbol	HGNC:1674	
Amivantamab	EGFR/ERBB1/HER1;MET/HGFR	0	EGFR/ERBB1/HER1	approved_symbol	HGNC:3236	
Amivantamab	EGFR/ERBB1/HER1;MET/HGFR	1	MET/HGFR	approved_symbol	HGNC:7029	
Amlenetug	SNCA/PARK1/PARK4	0	SNCA/PARK1/PARK4	approved_symbol	HGNC:11138	
Amlitelimab	TNFSF4/CD134/CD252/OX40L	0	TNFSF4/CD134/CD252/OX40L	approved_symbol	HGNC:11934	
Amostomig	IAP/CD47/MER6/OA3;PDL1/CD274	0	IAP/CD47/MER6/OA3	approved_symbol	HGNC:1682	
Amostomig	IAP/CD47/MER6/OA3;PDL1/CD274	1	PDL1/CD274	approved_symbol	HGNC:17635	
Amrecibart	F11	0	F11	approved_symbol	HGNC:3529	
Amubarvimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Amulirafusp	MS4A1/CD20	0	MS4A1/CD20	approved_symbol	HGNC:7315	
Anbenitamab	ERBB2/CD340/HER2 (Domain II);ERBB2/CD340/HER2 (Domain IV)	0	ERBB2/CD340/HER2 (Domain II)	approved_symbol	HGNC:3430	
Anbenitamab	ERBB2/CD340/HER2 (Domain II);ERBB2/CD340/HER2 (Domain IV)	1	ERBB2/CD340/HER2 (Domain IV)	approved_symbol	HGNC:3430	
Andecaliximab	MMP9/GELB	0	MMP9/GELB	approved_symbol	HGNC:7176	
Anetumab	MSLN	0	MSLN	approved_symbol	HGNC:7371	
Anifrolumab	IFNAR1	0	IFNAR1	approved_symbol	HGNC:5432	
Anivovetmab	Minor Capsid VP2 (Canine)	0	Minor Capsid VP2 (Canine)	nonhuman_target		
Anrukinzumab	IL13	0	IL13	approved_symbol	HGNC:5973	
Anselamimab	Light Chain Amyloid Fibrils	0	Light Chain Amyloid Fibrils	unresolved_or_nonprotein		
Ansipastobart	NT5E/CALJA/CD73	0	NT5E/CALJA/CD73	approved_symbol	HGNC:8021	
