hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	binder_id	binder_name	pmid	pmcid	xml_available	pdb_leads	evidence
HGNC:11186	SORT1	Q99523	ENSG00000134243	6272	BIOGRID:SPB_SKYYWT	Sort_EndoTag	39322662	PMC11839401	1		not_established
HGNC:6010	IL2RG	P31785	ENSG00000147168	3561	BIOGRID:SPB_192L4N	Neoleukin-2/15 ● Neo-2/15, NL-2/15	30626941	PMC6521699	0		not_established
HGNC:6009	IL2RB	P14784	ENSG00000100385	3560	BIOGRID:SPB_192L4N	Neoleukin-2/15 ● Neo-2/15, NL-2/15	30626941	PMC6521699	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_BGFHTX	23-R72	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_O1D5I5	23-R91	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_MNC6QH	23R-70	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_Y2OK6C	23R-80	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_23MPOI	23-R81	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_K35J88	23-R82	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_EFYJ92	23-R83	38936360	PMC11316638	0		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_DNQD7B	Minibinder 7.1	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_BCUPEH	23-R85	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_JXRAYM	23-R86	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_HOSMOS	23-R87	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_VRXYVL	23-R90	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_4PVR2I	23-R92	38936360	PMC11316638	0		not_established
HGNC:19100	IL23R	Q5VWK5	ENSG00000162594	149233	BIOGRID:SPB_W5LCST	23-R93	38936360	PMC11316638	0		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_OVHBK2	Minibinder 7.2	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:6307	KDR	P35968	ENSG00000128052	3791	BIOGRID:SPB_ALQK7G	CT-322 ● BMS-844203, Pegdinetanib	20190562	PMC2840239	0		not_established
HGNC:19137	CD276	Q5ZPR3	ENSG00000103855	80381	BIOGRID:SPB_TV2UFN	CD276 mb	39420062		0		not_established
HGNC:19137	CD276	Q5ZPR3	ENSG00000103855	80381	BIOGRID:SPB_88AXBS	HM9	39420062		0		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_QMUJGN	Minibinder 7.3	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_Z9N48W	Minibinder 7.4	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:4324	GLP1R	P43220	ENSG00000112164	2740	BIOGRID:SPB_D2EWOA	D-GLP-1	38799672	PMC11117309	1		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_UITEL2	Minibinder 7.5	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	BIOGRID:SPB_8QL97D	Rb-H2	33738081	PMC7941009	1	6lbx	target_present_in_cited_structure_not_binder_verified
HGNC:2514	CTNNB1	P35222	ENSG00000168036	1499	BIOGRID:SPB_1NGTEC	β-cat_PpC_3	39841846	PMC11753435	1		not_established
HGNC:2514	CTNNB1	P35222	ENSG00000168036	1499	BIOGRID:SPB_58MZRH	β-cat_PpC_4	39841846	PMC11753435	1		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_0PEOV0	Minibinder 7.6	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:3386	EPHA2	P29317	ENSG00000142627	1969	BIOGRID:SPB_AVQC4S	E1	26177208	PMC4503726	1		not_established
HGNC:3386	EPHA2	P29317	ENSG00000142627	1969	BIOGRID:SPB_ULXJWI	E10	26177208	PMC4503726	1		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_GXZAVY	Minibinder 7.7	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:620	APP	P05067	ENSG00000142192	351	BIOGRID:SPB_PSTDFB	scFv-C ● Crenezumab-like scFv	37176076	PMC10179127	1		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_NDQVJH	Minibinder 7.8	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:620	APP	P05067	ENSG00000142192	351	BIOGRID:SPB_38O7YA	scFv-S ● Solanezumab-like scFv	37176076	PMC10179127	1		not_established
HGNC:620	APP	P05067	ENSG00000142192	351	BIOGRID:SPB_X19VBB	scFv-12B4 ● 12B4-like scFv	37176076	PMC10179127	1		not_established
HGNC:1455	CALR	P27797	ENSG00000179218	811	BIOGRID:SPB_NDI5RN	CRT3	34199835	PMC8200062	1		not_established
HGNC:1455	CALR	P27797	ENSG00000179218	811	BIOGRID:SPB_JD0IEN	CRT4	34199835	PMC8200062	1		not_established
HGNC:2514	CTNNB1	P35222	ENSG00000168036	1499	BIOGRID:SPB_TKF18Q	b-cat_SnP_7	37875551	PMC10598214	1		not_established
HGNC:2514	CTNNB1	P35222	ENSG00000168036	1499	BIOGRID:SPB_XEGNRI	b-cat_SnP_8	37875551	PMC10598214	1		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_LYNE6L	Minibinder 7.9	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:5467	IGF2R	P11717	ENSG00000197081	3482	BIOGRID:SPB_3Z7AZL	IGF_EndoTag2	39322662	PMC11839401	1	1gp0	target_present_in_cited_structure_not_binder_verified
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_P43VJF	Minibinder 7.10	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_M73U0S	Minibinder 7.11	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_VU3B87	8.6 16GS tetra	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:6161	ITGB6	P18564	ENSG00000115221	3694	BIOGRID:SPB_WKZCHA	B6_BP_dslf ● A39KG64R_disulf	37704610	PMC10500007	1	4um9;5ffo;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6150	ITGAV	P06756	ENSG00000138448	3685	BIOGRID:SPB_WKZCHA	B6_BP_dslf ● A39KG64R_disulf	37704610	PMC10500007	1	4um9;5ffo;8tcf;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6163	ITGB8	P26012	ENSG00000105855	3696	BIOGRID:SPB_9N0212	B8_BP_dslf ● Avb8_3	37704610	PMC10500007	1	8tcf	target_present_in_cited_structure_not_binder_verified
HGNC:6150	ITGAV	P06756	ENSG00000138448	3685	BIOGRID:SPB_9N0212	B8_BP_dslf ● Avb8_3	37704610	PMC10500007	1	4um9;5ffo;8tcf;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6161	ITGB6	P18564	ENSG00000115221	3694	BIOGRID:SPB_BE2RJX	B6B8_BP ● E13T	37704610	PMC10500007	1	4um9;5ffo;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6150	ITGAV	P06756	ENSG00000138448	3685	BIOGRID:SPB_BE2RJX	B6B8_BP ● E13T	37704610	PMC10500007	1	4um9;5ffo;8tcf;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6163	ITGB8	P26012	ENSG00000105855	3696	BIOGRID:SPB_BE2RJX	B6B8_BP ● E13T	37704610	PMC10500007	1	8tcf	target_present_in_cited_structure_not_binder_verified
HGNC:6161	ITGB6	P18564	ENSG00000115221	3694	BIOGRID:SPB_DH1IJ1	B6_BP ● A39KG64R	37704610	PMC10500007	1	4um9;5ffo;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6150	ITGAV	P06756	ENSG00000138448	3685	BIOGRID:SPB_DH1IJ1	B6_BP ● A39KG64R	37704610	PMC10500007	1	4um9;5ffo;8tcf;8tcg	target_present_in_cited_structure_not_binder_verified
HGNC:6019	IL6R	P08887	ENSG00000160712	3570	BIOGRID:SPB_YNCB22	Vobarilizumab ● ALX0061	22948047		0		not_established
HGNC:11892	TNF	P01375	ENSG00000232810	7124	BIOGRID:SPB_W0WD0F	Ozoralizumab ● ATN103 (ATN192 = pegylated ATN103)	35273620	PMC8902368	1		not_established
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_W6A3G6	Minibinder 7.12	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_YW8M4G	Minibinder 8.1	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:11849	TLR3	O15455	ENSG00000164342	7098	BIOGRID:SPB_LC56PG	Minibinder 8.2	39890776	PMC11785957	1	1ziw;7c76;7wv3;7wv5	target_present_in_cited_structure_not_binder_verified
HGNC:3236	EGFR	P00533	ENSG00000146648	1956	BIOGRID:SPB_WFVGQL	E_67	18706916		0		not_established
HGNC:3236	EGFR	P00533	ENSG00000146648	1956	BIOGRID:SPB_QON69I	E_68	18706916		0		not_established
