subset	metric	covered	denominator	percent	new_vs_previous
all	biolip_affinity_annotated	236	5130	4.6	92
all	biolip_extracellular	174	5130	3.39	75
all	biolip_mapped_sites	853	5130	16.63	483
all	biolip_native_sites	940	5130	18.32	539
all	biolip_organic_compound	671	5130	13.08	383
all	biolip_peptide	182	5130	3.55	100
all	expanded_affinity_annotated_or_gpcr_union	768	5130	14.97	137
all	expanded_extracellular_union	384	5130	7.49	76
all	expanded_union	1135	5130	22.12	504
all	gpcr_binding_mutagenesis	43	5130	0.84	5
all	gpcr_extracellular	15	5130	0.29	1
all	gpcr_mapped_sites	190	5130	3.7	46
all	gpcr_native_sites	198	5130	3.86	50
all	new_sources_increment	504	5130	9.82	504
all	new_sources_union	905	5130	17.64	504
yes	biolip_affinity_annotated	202	3157	6.4	74
yes	biolip_extracellular	167	3157	5.29	71
yes	biolip_mapped_sites	713	3157	22.58	376
yes	biolip_native_sites	788	3157	24.96	422
yes	biolip_organic_compound	556	3157	17.61	298
yes	biolip_peptide	157	3157	4.97	78
yes	expanded_affinity_annotated_or_gpcr_union	687	3157	21.76	112
yes	expanded_extracellular_union	364	3157	11.53	72
yes	expanded_union	969	3157	30.69	394
yes	gpcr_binding_mutagenesis	43	3157	1.36	5
yes	gpcr_extracellular	14	3157	0.44	1
yes	gpcr_mapped_sites	182	3157	5.76	39
yes	gpcr_native_sites	189	3157	5.99	42
yes	new_sources_increment	394	3157	12.48	394
yes	new_sources_union	762	3157	24.14	394
