metric	subset	covered	denominator	percent
biogrid_literature_contacts	all_deep_dives	1	5130	0.02
biogrid_literature_contacts	previously_audited_deep_dives	1	4081	0.02
biogrid_literature_contacts	newly_audited_deep_dives	0	1049	0.0
biogrid_literature_contacts_extracellular	all_deep_dives	0	5130	0.0
biogrid_literature_contacts_extracellular	previously_audited_deep_dives	0	4081	0.0
biogrid_literature_contacts_extracellular	newly_audited_deep_dives	0	1049	0.0
iedb_any_bcell_assay	all_deep_dives	1699	5130	33.12
iedb_any_bcell_assay	previously_audited_deep_dives	1409	4081	34.53
iedb_any_bcell_assay	newly_audited_deep_dives	290	1049	27.65
iedb_epitope_region	all_deep_dives	201	5130	3.92
iedb_epitope_region	previously_audited_deep_dives	168	4081	4.12
iedb_epitope_region	newly_audited_deep_dives	33	1049	3.15
iedb_epitope_region_extracellular	all_deep_dives	84	5130	1.64
iedb_epitope_region_extracellular	previously_audited_deep_dives	84	4081	2.06
iedb_epitope_region_extracellular	newly_audited_deep_dives	0	1049	0.0
iedb_exact_epitope	all_deep_dives	183	5130	3.57
iedb_exact_epitope	previously_audited_deep_dives	165	4081	4.04
iedb_exact_epitope	newly_audited_deep_dives	18	1049	1.72
iedb_exact_epitope_extracellular	all_deep_dives	125	5130	2.44
iedb_exact_epitope_extracellular	previously_audited_deep_dives	125	4081	3.06
iedb_exact_epitope_extracellular	newly_audited_deep_dives	0	1049	0.0
iedb_named_positive_binding	all_deep_dives	347	5130	6.76
iedb_named_positive_binding	previously_audited_deep_dives	299	4081	7.33
iedb_named_positive_binding	newly_audited_deep_dives	48	1049	4.58
natural_ligand_mapped_contacts	all_deep_dives	120	5130	2.34
natural_ligand_mapped_contacts	previously_audited_deep_dives	120	4081	2.94
natural_ligand_mapped_contacts	newly_audited_deep_dives	0	1049	0.0
natural_ligand_mapped_contacts_extracellular	all_deep_dives	54	5130	1.05
natural_ligand_mapped_contacts_extracellular	previously_audited_deep_dives	54	4081	1.32
natural_ligand_mapped_contacts_extracellular	newly_audited_deep_dives	0	1049	0.0
pdbe_chembl_identity	all_deep_dives	830	5130	16.18
pdbe_chembl_identity	previously_audited_deep_dives	714	4081	17.5
pdbe_chembl_identity	newly_audited_deep_dives	116	1049	11.06
pdbe_chemical_contacts	all_deep_dives	976	5130	19.03
pdbe_chemical_contacts	previously_audited_deep_dives	839	4081	20.56
pdbe_chemical_contacts	newly_audited_deep_dives	137	1049	13.06
pdbe_chemical_contacts_extracellular	all_deep_dives	198	5130	3.86
pdbe_chemical_contacts_extracellular	previously_audited_deep_dives	198	4081	4.85
pdbe_chemical_contacts_extracellular	newly_audited_deep_dives	0	1049	0.0
pdbe_gtopdb_supported_pair	all_deep_dives	209	5130	4.07
pdbe_gtopdb_supported_pair	previously_audited_deep_dives	193	4081	4.73
pdbe_gtopdb_supported_pair	newly_audited_deep_dives	16	1049	1.53
pdbe_gtopdb_supported_pair_extracellular	all_deep_dives	34	5130	0.66
pdbe_gtopdb_supported_pair_extracellular	previously_audited_deep_dives	34	4081	0.83
pdbe_gtopdb_supported_pair_extracellular	newly_audited_deep_dives	0	1049	0.0
sabdab_mapped_contacts	all_deep_dives	411	5130	8.01
sabdab_mapped_contacts	previously_audited_deep_dives	380	4081	9.31
sabdab_mapped_contacts	newly_audited_deep_dives	31	1049	2.96
sabdab_mapped_contacts_extracellular	all_deep_dives	249	5130	4.85
sabdab_mapped_contacts_extracellular	previously_audited_deep_dives	249	4081	6.1
sabdab_mapped_contacts_extracellular	newly_audited_deep_dives	0	1049	0.0
sabdab_target_complex	all_deep_dives	451	5130	8.79
sabdab_target_complex	previously_audited_deep_dives	420	4081	10.29
sabdab_target_complex	newly_audited_deep_dives	31	1049	2.96
union_including_regions	all_deep_dives	726	5130	14.15
union_including_regions	previously_audited_deep_dives	651	4081	15.95
union_including_regions	newly_audited_deep_dives	75	1049	7.15
union_including_regions_extracellular	all_deep_dives	324	5130	6.32
union_including_regions_extracellular	previously_audited_deep_dives	324	4081	7.94
union_including_regions_extracellular	newly_audited_deep_dives	0	1049	0.0
union_mapped_sites	all_deep_dives	631	5130	12.3
union_mapped_sites	previously_audited_deep_dives	583	4081	14.29
union_mapped_sites	newly_audited_deep_dives	48	1049	4.58
union_mapped_sites_extracellular	all_deep_dives	302	5130	5.89
union_mapped_sites_extracellular	previously_audited_deep_dives	302	4081	7.4
union_mapped_sites_extracellular	newly_audited_deep_dives	0	1049	0.0
