hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	source	evidence_tier	cellphonedb_denominator_member	therasabdab_denominator_member	antibody_evidence	extracellular
HGNC:100	ASIC1	P78348	ENSG00000110881	41	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:10249	ROBO1	Q9Y6N7	ENSG00000169855	6091	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:10254	ROM1	Q03395	ENSG00000149489	6094	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10256	ROR1	Q01973	ENSG00000185483	4919	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:10257	ROR2	Q01974	ENSG00000169071	4920	SAbDab: antibody contacts	mapped	1	1	1	1
HGNC:1029	BDKRB1	P46663	ENSG00000100739	623	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:1030	BDKRB2	P30411	ENSG00000168398	624	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:10494	S100A4	P26447	ENSG00000196154	6275	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10597	SCN9A	Q15858	ENSG00000169432	6335	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10672	CXCL12	P48061	ENSG00000107562	6387	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:1076	BMPR1A	P36894	ENSG00000107779	657	SAbDab: antibody contacts	mapped	1	0	1	1
HGNC:10848	SHH	Q15465	ENSG00000164690	6469	SAbDab: antibody contacts	mapped	1	0	1	0
HGNC:10877	SIGLEC8	Q9NYZ4	ENSG00000105366	27181	SAbDab: antibody contacts	mapped	0	1	1	1
HGNC:10905	SLC10A1	Q14973	ENSG00000100652	6554	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10908	SLC11A2	P49281	ENSG00000110911	4891	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:10909	SLC40A1	Q9NP59	ENSG00000138449	30061	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10923	SLC16A2	P36021	ENSG00000147100	6567	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10939	SLC1A1	P43005	ENSG00000106688	6505	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10943	SLC1A5	Q15758	ENSG00000105281	6510	SAbDab: antibody contacts	mapped	1	1	1	0
HGNC:10959	SLCO1B1	Q9Y6L6	ENSG00000134538	10599	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10961	SLCO1B3	Q9NPD5	ENSG00000111700	28234	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:10963	SLC22A1	O15245	ENSG00000175003	6580	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11026	SLC3A2	P08195	ENSG00000168003	6520	SAbDab: antibody contacts	mapped	0	0	1	1
HGNC:11027	SLC4A1	P02730	ENSG00000004939	6521	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11036	SLC5A1	P13866	ENSG00000100170	6523	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11044	SLC6A11	P48066	ENSG00000132164	6538	SAbDab: antibody contacts	mapped	0	0	1	0
HGNC:11048	SLC6A2	P23975	ENSG00000103546	6530	SAbDab: antibody contacts	mapped	0	0	1	0
