pmid	pmcid	title	doi	metadata_found	open_access_flag	supplement_flag	fulltext_status	epitope_lead_paragraphs	structure_lead_paragraphs	body_paragraphs	fulltext_url	fulltext_sha256
16963452		Selection and characterization of Her2 binding-designed ankyrin repeat proteins.	10.1074/jbc.m602547200	1	N	N	not_available	0	0	0		
17466328		A designed ankyrin repeat protein evolved to picomolar affinity to Her2.	10.1016/j.jmb.2007.03.028	1	N	N	not_available	0	0	0		
18654624	PMC2453315	CD4-specific designed ankyrin repeat proteins are novel potent HIV entry inhibitors with unique characteristics.	10.1371/journal.ppat.1000109	1	Y	Y	retrieved	3	0	95	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2453315/fullTextXML	706062201a4da9bfc83cb62f201ab859d1b89c6fcfb0896487b1abc3fb6ceda7
18706916		Efficient selection of DARPins with sub-nanomolar affinities using SRP phage display.	10.1016/j.jmb.2008.07.085	1	N	N	not_available	0	0	0		
20124480		Efficient tumor targeting with high-affinity designed ankyrin repeat proteins: effects of affinity and molecular size.	10.1158/0008-5472.can-09-2724	1	N	N	not_available	0	0	0		
20190562	PMC2840239	Anti-tumor effect of CT-322 as an adnectin inhibitor of vascular endothelial growth factor receptor-2.	10.4161/mabs.2.2.11304	1	N	Y	http_500	0	0	0	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2840239/fullTextXML	
20357770	PMC2926940	A potent and highly specific FN3 monobody inhibitor of the Abl SH2 domain.	10.1038/nsmb.1793	1	Y	Y	retrieved	14	4	54	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2926940/fullTextXML	8675d27a22f6a0c97a3aa64b79042f293bb3b3940a219322bcdd3a05d7ea77a7
21963989		DARPins recognizing the tumor-associated antigen EpCAM selected by phage and ribosome display and engineered for multivalency.	10.1016/j.jmb.2011.09.016	1	N	N	not_available	0	0	0		
22325775		Structures of adnectin/protein complexes reveal an expanded binding footprint.	10.1016/j.str.2011.11.016	1	N	N	not_available	0	0	0		
22328160	PMC3295290	Design of a binding scaffold based on variable lymphocyte receptors of jawless vertebrates by module engineering.	10.1073/pnas.1113193109	1	N	Y	http_500	0	0	0	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3295290/fullTextXML	
22948047		Evaluation of efficacy and safety of the anti-VWF Nanobody ALX-0681 in a preclinical baboon model of acquired thrombotic thrombocytopenic purpura.	10.1182/blood-2012-04-420943	1	N	N	not_available	0	0	0		
23090647		Pharmacologic properties, metabolism, and disposition of linaclotide, a novel therapeutic peptide approved for the treatment of irritable bowel syndrome with constipation and chronic idiopathic constipation.	10.1124/jpet.112.199430	1	N	N	not_available	0	0	0		
24087882		Pharmacological profile, efficacy and safety of lixisenatide in type 2 diabetes mellitus.	10.1517/14656566.2013.838559	1	N	N	not_available	0	0	0		
24095059		Structural basis for eliciting a cytotoxic effect in HER2-overexpressing cancer cells via binding to the extracellular domain of HER2.	10.1016/j.str.2013.08.020	1	N	N	not_available	0	0	0		
24917546		Pharmacologic profile of the Adnectin BMS-962476, a small protein biologic alternative to PCSK9 antibodies for low-density lipoprotein lowering.	10.1124/jpet.114.214221	1	N	N	not_available	0	0	0		
25391547	PMC4315530	Development of the designed ankyrin repeat protein (DARPin) G3 for HER2 molecular imaging.	10.1007/s00259-014-2940-2	1	Y	Y	retrieved	0	0	62	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4315530/fullTextXML	8cf1095b16b4f629ab1c21dd9607bdf49f35bf1bb354a4364c4b304c43b31624
