uniprot_acc	source	status
P23471	PDBe_ligand_sites	200
P47929	PDBe_ligand_sites	200
P59665	PDBe_ligand_sites	200
Q02325	PDBe_ligand_sites	404
Q5JQC4	PDBe_ligand_sites	404
Q6IEY1	PDBe_ligand_sites	404
Q8NG35	PDBe_ligand_sites	404
Q8NGT9	PDBe_ligand_sites	404
Q96QH8	PDBe_ligand_sites	404
P78348	PDBe_ligand_sites	200
Q02094	PDBe_ligand_sites	200
P18577	PDBe_ligand_sites	404
Q02161	PDBe_ligand_sites	404
P08100	PDBe_ligand_sites	200
Q13546	PDBe_ligand_sites	200
P10153	PDBe_ligand_sites	200
P34096	PDBe_ligand_sites	200
O43567	PDBe_ligand_sites	200
Q9UHC3	PDBe_ligand_sites	404
P03999	PDBe_ligand_sites	200
Q9NRU3	PDBe_ligand_sites	404
Q9Y6N7	PDBe_ligand_sites	200
Q9HCK4	PDBe_ligand_sites	200
Q03395	PDBe_ligand_sites	404
Q01973	PDBe_ligand_sites	200
Q01974	PDBe_ligand_sites	200
P08922	PDBe_ligand_sites	200
O75695	PDBe_ligand_sites	200
P46663	PDBe_ligand_sites	200
Q9H8M5	PDBe_ligand_sites	200
P30411	PDBe_ligand_sites	200
P47914	PDBe_ligand_sites	200
P00751	PDBe_ligand_sites	200
P05388	PDBe_ligand_sites	404
P05387	PDBe_ligand_sites	404
P04843	PDBe_ligand_sites	200
Q8NE01	PDBe_ligand_sites	200
P23396	PDBe_ligand_sites	200
P21810	PDBe_ligand_sites	404
O14718	PDBe_ligand_sites	404
O15537	PDBe_ligand_sites	404
O75298	PDBe_ligand_sites	404
O95197	PDBe_ligand_sites	200
P34925	PDBe_ligand_sites	200
P23297	PDBe_ligand_sites	200
P60903	PDBe_ligand_sites	200
P31949	PDBe_ligand_sites	404
P80511	PDBe_ligand_sites	200
Q99584	PDBe_ligand_sites	200
P33764	PDBe_ligand_sites	200
P26447	PDBe_ligand_sites	200
P06703	PDBe_ligand_sites	200
P31151	PDBe_ligand_sites	200
P05109	PDBe_ligand_sites	200
P06702	PDBe_ligand_sites	200
Q6P4Q7	PDBe_ligand_sites	200
P04271	PDBe_ligand_sites	200
P25815	PDBe_ligand_sites	200
Q9UBW5	PDBe_ligand_sites	200
Q12999	PDBe_ligand_sites	404
O15126	PDBe_ligand_sites	404
O15127	PDBe_ligand_sites	404
O14828	PDBe_ligand_sites	404
P29508	PDBe_ligand_sites	200
O95171	PDBe_ligand_sites	404
P13521	PDBe_ligand_sites	404
Q9Y5Y9	PDBe_ligand_sites	200
Q9UI33	PDBe_ligand_sites	404
P35498	PDBe_ligand_sites	200
Q07699	PDBe_ligand_sites	200
