subset	metric	genes	denominator	percent	new_vs_previous_all	new_vs_previous_antibody
all	aacdb_mapped_contacts	211	5130	4.11	0	0
all	aacdb_mapped_contacts_extracellular	151	5130	2.94	0	0
all	aacdb_target_complex	226	5130	4.41	0	0
all	all_experimental_ec_union_after_antibody_extension	386	5130	7.52	1	125
all	all_experimental_union_after_antibody_extension	1136	5130	22.14	1	717
all	antibody_union_after_extension	420	5130	8.19	1	1
all	therapeutic_exact_complex_candidate	81	5130	1.58	1	1
all	therapeutic_mapped_contacts	80	5130	1.56	1	1
all	therapeutic_mapped_contacts_extracellular	60	5130	1.17	1	1
yes	aacdb_mapped_contacts	196	3157	6.21	0	0
yes	aacdb_mapped_contacts_extracellular	147	3157	4.66	0	0
yes	aacdb_target_complex	209	3157	6.62	0	0
yes	all_experimental_ec_union_after_antibody_extension	365	3157	11.56	1	120
yes	all_experimental_union_after_antibody_extension	970	3157	30.73	1	593
yes	antibody_union_after_extension	378	3157	11.97	1	1
yes	therapeutic_exact_complex_candidate	71	3157	2.25	1	1
yes	therapeutic_mapped_contacts	71	3157	2.25	1	1
yes	therapeutic_mapped_contacts_extracellular	57	3157	1.81	1	1
