adcdb_tar_id	antigen_name	gene_symbol_inline
TAR0CGBGC	Lewis A (LeA)	
TAR0QEGHL	Sialyl Lewis A (sLeA)	
TAR0OMOAR	Ephrin type-A receptor 3 (EPHA3)	EPHA3
TAR0GFSKS	Ephrin type-A receptor 2 (EPHA2)	EPHA2
TAR0BKUOF	B-lymphocyte antigen CD20 (MS4A1)	MS4A1
TAR0ZUAQT	TGF-beta receptor type-1 (TGFBR1)	TGFBR1
TAR0OUZAI	Endoplasmic reticulum chaperone BiP (HSPA5)	HSPA5
TAR0VKDND	Vascular endothelial growth factor A (VEGFA)	VEGFA
TAR0JNSUE	Hepatitis A virus cellular receptor 1 (HAVCR1)	HAVCR1
TAR0KQVKE	C-type lectin domain family 7 member A (CLEC7A)	CLEC7A
TAR0FZYGA	C-type lectin domain family 12 member A (CLEC12A)	CLEC12A
TAR0UNGLZ	MHC class I polypeptide-related sequence A (MICA)	MICA
TAR0GGGWQ	Gamma-aminobutyric acid receptor subunit pi (GABRP)	GABRP
TAR0BCRGP	Lysosome-associated membrane glycoprotein 1 (LAMP1)	LAMP1
TAR0VGBTG	Platelet-derived growth factor receptor alpha (PDGFRA)	PDGFRA
TAR0HAZXC	Platelet-derived growth factor receptor beta (PDGFRB); Vascular endothelial growth factor A (VEGFA)	VEGFA
TAR0FPXYP	Undisclosed	
TAR0SOZLV	Cadherin-6 (CDH6)	CDH6
TAR0NEZUA	Mesothelin (MSLN)	MSLN
TAR0MWTFE	Nectin-4 (NECTIN4)	NECTIN4
TAR0KPFBI	CD70 antigen (CD70)	CD70
TAR0ESQBL	CD99 antigen (CD99)	CD99
TAR0GLSWQ	CD276 antigen (CD276)	CD276
TAR0IBZAS	Claudin-18.2 (CLDN18.2)	
TAR0LVECA	Integrin alpha-4 (ITGA4)	ITGA4
TAR0INITZ	Beta-2-microglobulin (B2M)	B2M
TAR0XTCGM	B-cell receptor CD22 (CD22)	CD22
TAR0QHAVI	Folate receptor alpha (FOLR1)	FOLR1
TAR0DPWRE	Leukocyte antigen CD37 (CD37)	CD37
TAR0FMXJS	SLAM family member 6 (SLAMF6)	SLAMF6
TAR0WFAXQ	Protein delta homolog 1 (DLK1)	DLK1
TAR0WTJOW	Leukocyte surface antigen CD47	
