gene_symbol	uniprot_id	uniprot_name	label_source	surfaceome_label	internal_compartment_hint	uniprot_subcellular	has_cell_membrane_uniprot	has_gpi_uniprot	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
PMEL	P40967	PMEL_HUMAN	machine learning	surface	True	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome, multivesicular body;Golgi apparatus;Melanosome;Secreted	False	False	43.4704	109.1	12012.5	29919.531240997767	29919.531240997767
EBP	Q15125	EBP_HUMAN	machine learning	surface	True	Endoplasmic reticulum membrane (Multi-pass membrane protein)	False	False	157.577	307.1	513.7	5032.291271905384	5032.291271905384
TSPAN1	O60635	TSN1_HUMAN	machine learning	surface	True	Lysosome membrane (Multi-pass membrane protein)	False	False	839.242	556.4	611.2	3843.752223782033	3843.752223782033
MMP14	P50281	MMP14_HUMAN	machine learning	surface	True	Cytoplasm;Melanosome;Membrane (Single-pass type I membrane protein)	False	False	594.128	149.2	1918.5	3638.680349151422	3638.680349151422
SLC15A3	Q8IY34	S15A3_HUMAN	machine learning	surface	True	Lysosome membrane (Multi-pass membrane protein)	False	False	75.9294	46.6	95.3	2724.9224761332466	2724.9224761332466
SYPL1	Q16563	SYPL1_HUMAN	machine learning	surface	True	Cytoplasmic vesicle membrane (Multi-pass membrane protein);Melanosome	False	False	239.699	189.5	452.6	2694.1219941948734	2694.1219941948734
UPK3A	O75631	UPK3A_HUMAN	machine learning	surface	True	Endoplasmic reticulum membrane (Single-pass type I membrane protein)	False	False	27.2034	39.1	240.3	2454.9865621353906	2454.9865621353906
CUZD1	Q86UP6	CUZD1_HUMAN	machine learning	surface	True	Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)	False	False	2002.83	2277.5	5.0	853.5893168138491	2277.5
C1ORF85	Q8WWB7	NCUG1_HUMAN	machine learning	surface	True	Lysosome membrane (Single-pass type I membrane protein)	False	False	52.6716	0.0	0.0	1971.939081568535	1971.939081568535
CD1E	P15812	CD1E_HUMAN	machine learning	surface	True	Early endosome;Golgi apparatus membrane (Single-pass type I membrane protein);Late endosome;Lysosome lumen	False	False	9.7589	895.4	1645.8	1896.3364541359588	1896.3364541359588
ABCA2	Q9BZC7	ABCA2_HUMAN	machine learning	surface	True	Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)	False	False	505.46	178.1	57.9	1873.7324239003815	1873.7324239003815
QSOX1	O00391	QSOX1_HUMAN	machine learning	surface	True	Golgi apparatus membrane (Single- pass membrane protein);Secreted, extracellular space	False	False	127.972	235.8	1548.1	1591.530504292313	1591.530504292313
