gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
PMEL	P40967	PMEL_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome, multivesicular body;Golgi apparatus;Melanosome;Secreted	43.4704	109.1	12012.5	29919.531240997767	29919.531240997767
CD74	P04233	HG2A_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type II membrane protein);Endoplasmic reticulum membrane;Endosome;Golgi apparatus, trans-Golgi network;Lysosome	5066.99	4925.3	7675.0	23677.020744248846	23677.020744248846
MUC1	P15941	MUC1_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane (Single- pass type I membrane protein);Secreted;Secreted;Secreted;Cell membrane;Cytoplasm;Nucleus	1072.72	998.2	1495.5	5897.1401066212675	5897.1401066212675
EBP	Q15125	EBP_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein)	157.577	307.1	513.7	5032.291271905384	5032.291271905384
HM13	Q8TCT9	HM13_HUMAN	surface	machine learning	False	True	True	False	False	Endoplasmic reticulum membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)	72.0605	221.9	918.7	5018.35811948155	5018.35811948155
AQP2	P41181	AQP2_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane (Multi-pass membrane protein);Basolateral cell membrane (Multi-pass membrane protein);Cytoplasmic vesicle membrane (Multi- pass membrane protein);Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein)	674.37	450.4	13.9	4806.928735713288	4806.928735713288
ITM2C	Q9NQX7	ITM2C_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type II membrane protein);Lysosome membrane (Single-pass type II membrane protein)	1308.31	1020.9	1640.3	4157.2092544492625	4157.2092544492625
TSPAN1	O60635	TSN1_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	839.242	556.4	611.2	3843.752223782033	3843.752223782033
MMP14	P50281	MMP14_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasm;Melanosome;Membrane (Single-pass type I membrane protein)	594.128	149.2	1918.5	3638.680349151422	3638.680349151422
ANO1	Q5XXA6	ANO1_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Cytoplasm	121.449	83.9	349.7	3017.419404948302	3017.419404948302
FURIN	P09958	FURIN_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein)	204.391	207.7	630.5	2954.092962308656	2954.092962308656
FGFR3	P22607	FGFR3_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Cytoplasmic vesicle;Endoplasmic reticulum;Cell membrane (Single-pass type I membrane protein);Secreted;Cell membrane (Single-pass type I membrane protein)	376.473	256.5	916.4	2878.6955424414855	2878.6955424414855
SLC15A3	Q8IY34	S15A3_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Multi-pass membrane protein)	75.9294	46.6	95.3	2724.9224761332466	2724.9224761332466
SYPL1	Q16563	SYPL1_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle membrane (Multi-pass membrane protein);Melanosome	239.699	189.5	452.6	2694.1219941948734	2694.1219941948734
UPK3A	O75631	UPK3A_HUMAN	surface	machine learning	False	True	False	False	False	Endoplasmic reticulum membrane (Single-pass type I membrane protein)	27.2034	39.1	240.3	2454.9865621353906	2454.9865621353906
SLC39A4	Q6P5W5	S39A4_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Multi-pass membrane protein);Recycling endosome membrane (Multi- pass membrane protein)	93.1645	82.8	71.5	2299.651249804917	2299.651249804917
CUZD1	Q86UP6	CUZD1_HUMAN	surface	machine learning	False	True	False	False	False	Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)	2002.83	2277.5	5.0	853.5893168138491	2277.5
FOLH1	Q04609	FOLH1_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type II membrane protein);Cytoplasm	48.7378	250.9	1014.1	2212.5576760783547	2212.5576760783547
C1ORF85	Q8WWB7	NCUG1_HUMAN	surface	machine learning	False	True	False	False	False	Lysosome membrane (Single-pass type I membrane protein)	52.6716	0.0	0.0	1971.939081568535	1971.939081568535
CD1E	P15812	CD1E_HUMAN	surface	machine learning	False	True	False	False	False	Early endosome;Golgi apparatus membrane (Single-pass type I membrane protein);Late endosome;Lysosome lumen	9.7589	895.4	1645.8	1896.3364541359588	1896.3364541359588
ABCA2	Q9BZC7	ABCA2_HUMAN	surface	machine learning	False	True	False	False	False	Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)	505.46	178.1	57.9	1873.7324239003815	1873.7324239003815
NOTCH3	Q9UM47	NOTC3_HUMAN	surface	machine learning	False	True	True	False	False	Cell membrane (Single-pass type I membrane protein);Nucleus	415.749	200.8	411.0	1857.0529334700832	1857.0529334700832
EMP2	P54851	EMP2_HUMAN	surface	machine learning	False	True	True	False	False	Apical cell membrane;Cell membrane;Cytoplasm;Golgi apparatus membrane (Multi-pass membrane protein);Membrane raft;Nucleus	280.517	214.6	1005.7	1715.2452535570376	1715.2452535570376
