gene_symbol	gene_symbol_aliases	matched_surfaceome_gene_symbol	lookup_match_source	lookup_match_input_symbol	target_name	control_class	control_group	is_pinned_specified_negative	in_m1_candidate_universe	matched_m1_gene_symbol	m1_match_source	in_parent_surfaceome_2379	surfaceome_label	label_source	uniprot_id	has_cell_membrane_uniprot	passes_topology_gate	uniprot_subcellular	provenance	source_note
CD19		CD19	direct_symbol	CD19	CD19	positive_surfaceome	adc_benchmark	no	yes	CD19	direct_symbol	yes	surface	pos. trainingset	P15391	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
CD22		CD22	direct_symbol	CD22	CD22	positive_surfaceome	adc_benchmark	no	yes	CD22	direct_symbol	yes	surface	pos. trainingset	P20273	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
CD33		CD33	direct_symbol	CD33	CD33	positive_surfaceome	adc_benchmark	no	yes	CD33	direct_symbol	yes	surface	pos. trainingset	P20138	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
CD79B		CD79B	direct_symbol	CD79B	CD79b	positive_surfaceome	adc_benchmark	no	yes	CD79B	direct_symbol	yes	surface	pos. trainingset	P40259	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
ERBB2		ERBB2	direct_symbol	ERBB2	HER2	positive_surfaceome	adc_benchmark	no	yes	ERBB2	direct_symbol	yes	surface	pos. trainingset	P04626	True	True	Cell membrane (Single-pass type I membrane protein);Cytoplasm, perinuclear region;Nucleus;Cytoplasm;Nucleus;Cytoplasm;Nucleus	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
F3		F3	direct_symbol	F3	Tissue Factor (TF)	positive_surfaceome	adc_benchmark	no	yes	F3	direct_symbol	yes	surface	machine learning	P13726	False	True	Membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
FOLR1		FOLR1	direct_symbol	FOLR1	Folate receptor alpha (FRalpha)	positive_surfaceome	adc_benchmark	no	yes	FOLR1	direct_symbol	yes	surface	GPI (UniProt)	P15328	True	True	Apical cell membrane;Cell membrane (Lipid-anchor, GPI-anchor);Cytoplasmic vesicle;Cytoplasmic vesicle, clathrin-coated vesicle;Endosome;Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target. Listed as folate receptor handle in WO2024155750A1.
NECTIN4	PVRL4	PVRL4	mygene_alias	NECTIN4	Nectin-4	positive_surfaceome	adc_benchmark	no	yes	PVRL4	mygene_alias	yes	surface	machine learning	Q96NY8	True	True	Cell junction, adherens junction;Cell membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
TACSTD2		TACSTD2	direct_symbol	TACSTD2	Trop-2	positive_surfaceome	adc_benchmark	no	yes	TACSTD2	direct_symbol	yes	surface	machine learning	P09758	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target. Listed as TROP2 handle in WO2024036333A2.
TNFRSF17		TNFRSF17	direct_symbol	TNFRSF17	BCMA (B-cell maturation antigen)	positive_surfaceome	adc_benchmark	no	yes	TNFRSF17	direct_symbol	yes	surface	pos. trainingset	Q02223	True	True	Cell membrane (Single-pass type III membrane protein);Endomembrane system (Single-pass type III membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
TNFRSF8		TNFRSF8	direct_symbol	TNFRSF8	CD30	positive_surfaceome	adc_benchmark	no	yes	TNFRSF8	direct_symbol	yes	surface	pos. trainingset	P28908	True	True	Cell membrane (Single-pass type I membrane protein);Cytoplasm	canonical_delivery_positive_controls.controls.json:positive_controls.tumor_adc_targets	Approved ADC target.
IGF2R		IGF2R	direct_symbol	IGF2R	IGF2R	positive_surfaceome	lytac_benchmark	no	yes	IGF2R	direct_symbol	yes	surface	machine learning	P11717	False	True	Lysosome membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json (Lycia WO2024155750A1 handles + IGF2R/CI-M6PR handle)	Also known as CI-M6PR/M6PR; listed as handle in WO2024155750A1.
ASGR1		ASGR1	direct_symbol	ASGR1	ASGPR (ASGR1)	positive_surfaceome	lytac_benchmark;patent_delivery_handles	no	yes	ASGR1	direct_symbol	yes	surface	machine learning	P07306	False	True	Membrane (Single-pass type II membrane protein);Secreted	canonical_delivery_positive_controls.controls.json (Lycia WO2024155750A1 handles + IGF2R/CI-M6PR handle) | canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Lycia handle list in WO2024155750A1; ASGR1 is the major ASGPR subunit (ASGR2 is the partner subunit).
