source	gene	pmid	pmc_id	doi	year	bucket	title
production	OR4F16	20671204	PMC2945921	10.1093/database/baq018	2010	pmc	The systematic annotation of the three main GPCR families in Reactome
production	OR4F16	37686047	PMC10487847	10.3390/ijms241713242	2023	pmc	Multi-Omics Analysis of NCI-60 Cell Line Data Reveals Novel Metabolic Processes Linked with Resistan
production	OR4F16	14983052	PMC356993	10.1073/pnas.0307882100	2004	no_oa	The human olfactory receptor gene family
production	OR4F16	34660269	PMC8515053	10.3389/fonc.2021.699401	2021	pmc	Biliary Strictures and Cholangiocarcinoma - Untangling a Diagnostic Conundrum
production	OR4F16	21399695	PMC3047561	10.1371/journal.pone.0017125	2011	pmc	Ontogenetic de novo copy number variations (CNVs) as a source of genetic individuality: studies on t
production	OR4F16	26769853	PMC4884971	10.18632/oncotarget.6895	2016	pmc	Gene copy number variations in the leukocyte genome of hepatocellular carcinoma patients with integr
production	OR4F16	34158541	PMC8219799	10.1038/s41598-021-92128-9	2021	pmc	Establishment of liver tumor cell lines from atherogenic and high fat diet fed hepatitis C virus tra
production	OR4F16	17663781	PMC2323237	10.1186/gb-2007-8-7-r151	2007	pmc	Human subtelomeric duplicon structure and organization
production	OR4F16	38540698	PMC10967855	10.3390/biom14030277	2024	pmc	Extracellular Vesicles as Delivery Vehicles for Non-Coding RNAs: Potential Biomarkers for Chronic Li
production	OR4F16	32183400	PMC7140677	10.3390/cells9030721	2020	pmc	Patients with Cholangiocarcinoma Present Specific RNA Profiles in Serum and Urine Extracellular Vesi
production	DRC4	20308539	PMC2851947	10.1073/pnas.1002447107	2010	no_oa	A genome-scale protein interaction profile of Drosophila p53 uncovers additional nodes of the human 
production	DRC4	40089458	PMC11910659	10.1038/s41419-025-07506-2	2025	pmc	Core N-DRC components play a crucial role in embryonic development and postnatal organ development
production	DRC4	26387594	PMC4596893	10.1016/j.ajhg.2015.08.012	2015	no_oa	Loss-of-Function GAS8 Mutations Cause Primary Ciliary Dyskinesia and Disrupt the Nexin-Dynein Regula
production	DRC4	39992471		10.1007/s10142-025-01557-6	2025	no_oa	Innovative perspectives on glioblastoma: the emerging role of long non-coding RNAs
production	DRC4	39448638	PMC11502866	10.1038/s41467-024-53348-5	2024	pmc	Structure, interaction and nervous connectivity of beta cell primary cilia
production	DRC4	37588204	PMC10425854	10.1016/j.gendis.2023.04.015	2024	pmc	Autophagy-related lncRNAs in tumor progression and drug resistance: A double-edged sword
production	DRC4	38542236	PMC10970002	10.3390/ijms25063262	2024	pmc	Follicular Fluid-Derived Extracellular Vesicles Influence on In Vitro Maturation of Equine Oocyte: I
production	DRC4	33568455	PMC8141408	10.1128/msphere.01090-20	2021	pmc	APEX2 Proximity Proteomics Resolves Flagellum Subdomains and Identifies Flagellum Tip-Specific Prote
production	DRC4	42023217	PMC13095522	10.3389/fimmu.2026.1764014	2026	pmc	Single cell transcriptomics reveals dendritic cell subsets in bovine afferent lymph and immune cell-
production	DRC4	41458626	PMC12739386	10.3389/fmolb.2025.1753098	2025	no_oa	Editorial: Distinct phenotype but same genotype: hints for the diversity of phenotypes in ciliopathi
production	TMEM218	16344560	PMC1356129	10.1101/gr.4039406	2006	no_oa	Diversification of transcriptional modulation: large-scale identification and characterization of pu
production	TMEM218	41636901	PMC12886300	10.1007/s10238-026-02061-2	2026	pmc	Alternative splicing events show high prognostic values and indicate potential core genes in acute m
production	TMEM218	33961781	PMC8165030	10.1016/j.cell.2021.04.011	2021	pmc	Dual proteome-scale networks reveal cell-specific remodeling of the human interactome
