accession	uniprot_optimized	cspa_optimized	gene_symbol	hgnc_id	hgnc_symbol	ncbi_gene_id	ensembl_gene	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_sources_surface	n_sources_optimized
A0A075B6H7	1	0						0	0	0	0	1	1	2
A0A075B6H8	1	0						0	0	0	0	0	0	1
A0A075B6H9	1	0						0	0	0	0	0	0	1
A0A075B6I0	1	0						0	0	0	0	0	0	1
A0A075B6I1	1	0						0	0	0	0	0	0	1
A0A075B6I3	1	0						0	0	0	0	0	0	1
A0A075B6I4	1	0						0	0	0	0	0	0	1
A0A075B6I6	1	0						0	0	0	0	0	0	1
A0A075B6I7	1	0						0	0	0	0	0	0	1
A0A075B6I9	1	0						0	0	0	0	0	0	1
A0A075B6J1	1	0						0	0	0	0	0	0	1
A0A075B6J2	1	0						0	0	0	0	0	0	1
A0A075B6J6	1	0						0	0	0	0	0	0	1
A0A075B6J9	1	0						0	0	0	0	0	0	1
A0A075B6K0	1	0						0	0	0	0	0	0	1
A0A075B6K2	1	0						0	0	0	0	0	0	1
A0A075B6K4	1	0						0	0	0	0	0	0	1
A0A075B6K5	1	0						0	0	0	0	0	0	1
A0A075B6K6	1	0						0	0	0	0	0	0	1
A0A075B6L2	1	0						0	0	0	0	0	0	1
A0A075B6L6	1	0						0	0	0	0	0	0	1
A0A075B6N1	1	0						0	1	0	0	0	1	2
A0A075B6N2	1	0						0	0	0	0	0	0	1
A0A075B6N3	1	0						0	0	0	0	0	0	1
A0A075B6N4	1	0						0	0	0	0	0	0	1
A0A075B6P5	1	0						0	0	0	0	0	0	1
A0A075B6Q5	1	0						0	0	0	0	0	0	1
A0A075B6R0	1	0						0	0	0	0	0	0	1
A0A075B6R2	1	0						0	0	0	0	0	0	1
A0A075B6R9	1	0						0	0	0	0	0	0	1
A0A075B6S2	1	0						0	0	0	0	0	0	1
A0A075B6S4	1	0						0	0	0	0	0	0	1
A0A075B6S5	1	0						0	0	0	0	0	0	1
A0A075B6S6	1	0						0	0	0	0	0	0	1
A0A075B6S9	1	0						0	0	0	0	0	0	1
A0A075B6T6	1	0						0	0	0	0	0	0	1
A0A075B6T7	1	0						0	0	0	0	0	0	1
A0A075B6T8	1	0						0	0	0	0	0	0	1
A0A075B6U4	1	0						0	0	0	0	0	0	1
A0A075B6V5	1	0						0	0	0	0	0	0	1
A0A075B6W5	1	0						0	0	0	0	0	0	1
A0A075B6X5	1	0						0	0	0	0	0	0	1
A0A075B734	1	0	AQP7B	HGNC:53895	AQP7B	100509620	ENSG00000259916	1	1	0	0	0	2	2
A0A087WSX0	1	0						0	0	0	0	0	0	1
A0A087WSY4	1	0						0	0	0	0	0	0	1
A0A087WSY6	1	0						0	0	0	0	1	1	2
A0A087WSZ0	1	0						0	0	0	0	0	0	1
A0A087WSZ9	1	0						0	0	0	0	0	0	1
A0A087WT01	1	0						0	1	0	0	0	1	2
A0A087WT02	1	0						0	0	0	0	0	0	1
A0A087WT03	1	0						0	0	0	0	0	0	1
A0A087WV62	1	0						0	0	0	0	0	0	1
A0A087WW87	1	0						0	0	0	0	0	0	1
A0A087X0K7	1	0						0	0	0	0	0	0	1
A0A087X0M5	1	0						0	0	0	0	0	0	1
A0A087X1C5	1	0	CYP2D7	HGNC:2624	CYP2D7	1564	ENSG00000205702	1	0	0	0	0	1	1
A0A096LPK9	1	0	OR4N4C	HGNC:55110	OR4N4C	105369274	ENSG00000279408	1	0	0	0	0	1	1
A0A0A0MRZ7	1	0						0	0	0	0	0	0	1
A0A0A0MRZ8	1	0						0	0	0	0	1	1	2
A0A0A0MRZ9	1	0						0	0	0	0	0	0	1
A0A0A0MS00	1	0						0	0	0	0	0	0	1
A0A0A0MS01	1	0						0	0	0	0	0	0	1
A0A0A0MS02	1	0						0	0	0	0	0	0	1
A0A0A0MS03	1	0						0	0	0	0	0	0	1
A0A0A0MS04	1	0						0	0	0	0	0	0	1
A0A0A0MS05	1	0						0	0	0	0	0	0	1
A0A0A0MS06	1	0						0	0	0	0	0	0	1
A0A0A0MS14	1	0						0	0	0	0	0	0	1
A0A0A0MS15	1	0						0	0	0	0	0	0	1
A0A0A0MT36	1	0						0	0	0	0	0	0	1
A0A0A6YYC5	1	0						0	0	0	0	0	0	1
A0A0A6YYD4	1	0						0	0	0	0	0	0	1
A0A0A6YYG2	1	0						0	0	0	0	0	0	1
A0A0A6YYG3	1	0						0	0	0	0	0	0	1
A0A0A6YYJ7	1	0						0	0	0	0	0	0	1
A0A0A6YYK1	1	0						0	0	0	0	0	0	1
A0A0A6YYK4	1	0						0	0	0	0	0	0	1
A0A0A6YYK6	1	0						0	0	0	0	0	0	1
A0A0A6YYK7	1	0						0	0	0	0	0	0	1
A0A0B4J1U3	1	0						0	0	0	0	0	0	1
A0A0B4J1U4	1	0						0	0	0	0	0	0	1
A0A0B4J1U6	1	0						0	0	0	0	0	0	1
A0A0B4J1U7	1	0						0	0	0	0	0	0	1
A0A0B4J1V0	1	0						0	0	0	0	0	0	1
A0A0B4J1V1	1	0						0	0	0	0	0	0	1
A0A0B4J1V2	1	0						0	0	0	0	0	0	1
A0A0B4J1V6	1	0						0	0	0	0	0	0	1
A0A0B4J1V7	1	0						0	0	0	0	0	0	1
A0A0B4J1X5	1	0						0	0	0	0	0	0	1
