gene_symbol	tier	surface_verdict_bucket	papers_found	papers_selected	papers_with_ec	n_filters_evidence	n_det_features	evidence_grade
AADACL4	no	no	48.0	0	0	10	3	weak
AATK	no	no	207.0	7	6	11	4	weak
ABCA12	no	no	280.0	13	12	14	6	weak
ABCA5	no	no	218.0	13	10	14	6	weak
ABCA9	no	no	170.0	7	4	12	6	weak
ABCB9	no	no	185.0	17	16	18	7	weak
ABCC12	no	no	166.0	7	4	12	6	weak
ABHD12	no	no	181.0	7	7	11	5	weak
ABHD3	no	no	138.0	1	0	10	5	weak
ABI3BP	no	no	205.0	3	3	15	5	weak
ABRA	no	no	369.0	0	0	10	3	weak
ACAA2	no	no	366.0	1	1	10	2	weak
ACTN1	no	no	271.0	13	10	11	5	weak
ACTRT1	no	no	252.0	3	2	10	4	weak
ACY3	no	no	245.0	1	0	9	5	weak
ADA2	no	no	366.0	2	0	12	5	weak
ADAMTS1	no	no	324.0	14	13	17	4	weak
ADAMTS14	no	no	208.0	12	9	14	5	weak
ADAMTS15	no	no	236.0	9	7	12	4	weak
ADAMTS18	no	no	225.0	14	13	13	5	weak
ADAMTS19	no	no	172.0	6	3	12	4	weak
ADAMTS3	no	no	258.0	11	7	13	4	weak
ADAMTS6	no	no	212.0	8	6	13	5	weak
ADAMTS7	no	no	197.0	15	13	14	4	weak
ADAMTSL3	no	no	197.0	6	6	12	5	weak
ADAMTSL4	no	no	224.0	10	6	14	5	weak
ADAP1	no	no	154.0	11	9	11	5	weak
ADAP2	no	no	175.0	4	3	10	5	weak
ADD2	no	no	215.0	8	6	14	6	weak
ADISSP	no	no	103.0	2	2	10	4	weak
ADM5	no	no	156.0	1	0	11	2	weak
AEBP1	no	no	239.0	9	8	14	5	weak
AFAP1L2	no	no	165.0	6	3	11	5	weak
AGGF1	no	no	188.0	7	7	13	2	weak
AGMO	no	no	192.0	3	2	11	3	weak
AGR3	no	no	300.0	1	0	12	4	weak
AHCYL1	no	no	197.0	10	6	14	6	weak
AIFM2	no	no	300.0	21	17	13	4	supportive_but_indirect
AIG1	no	no	183.0	4	4	12	5	weak
AJM1	no	no	142.0	9	6	14	3	weak
AK1	no	no	291.0	4	3	12	2	weak
AKAP19	no	no	134.0	3	2	12	3	weak
AKAP7	no	no	198.0	9	7	9	5	weak
AKR1A1	no	no	358.0	2	0	10	4	weak
AKR1B15	no	no	156.0	3	2	11	4	weak
ALDOC	no	no	276.0	1	1	10	2	weak
ALG10B	no	no	191.0	7	6	11	3	weak
ALKAL1	no	no	131.0	15	14	14	4	weak
ALKAL2	no	no	148.0	15	12	14	3	weak
ALOX5AP	no	no	347.0	4	3	14	5	weak
ALPK2	no	no	300.0	2	0	13	4	weak
AMBP	no	no	337.0	3	2	10	4	weak
AMOTL2	no	no	225.0	18	14	12	6	weak
AMPH	no	no	271.0	6	6	10	6	weak
AMTN	no	no	169.0	11	8	14	4	weak
ANGPTL1	no	no	210.0	9	5	13	4	weak
ANGPTL7	no	no	209.0	15	14	13	4	weak
ANGPTL8	no	no	189.0	18	17	14	4	weak
ANK2	no	no	271.0	12	11	9	5	weak
ANK3	no	no	265.0	21	16	11	4	weak
ANKFN1	no	no	302.0	0	0	10	4	weak
ANKIB1	no	no	124.0	2	0	11	4	weak
ANKRD13A	no	no	123.0	4	3	10	4	weak
ANKRD13B	no	no	91.0	3	1	11	5	weak
ANKRD20A1	no	no	59.0	0	0	10	3	weak
