uniprot_accession	hgnc_id	hgnc_symbol	gene_symbol	ensembl_gene	ncbi_gene_id	src_sonnet	src_surfy	src_go	src_hpa	uniprot_optimized	cspa_optimized	n_sources_optimized	topo_gpi_anchored	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_no_tm_no_signal	up_has_glyc	deeptm_TM_NO_SP
P01023	HGNC:7	A2M	A2M	ENSG00000175899	2.0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
A8K2U0	HGNC:23336	A2ML1	A2ML1	ENSG00000166535	144568.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q6P093	HGNC:24427	AADACL2	AADACL2	ENSG00000197953	344752.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q5VUY0	HGNC:32037	AADACL3	AADACL3	ENSG00000188984	126767.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Q5VUY2	HGNC:32038	AADACL4	AADACL4	ENSG00000204518	343066.0	1	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q8N5Z0	HGNC:17929	AADAT	AADAT	ENSG00000109576	51166.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q2M2I8	HGNC:19679	AAK1	AAK1	ENSG00000115977	22848.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q13685	HGNC:18	AAMP	AAMP	ENSG00000127837	14.0	1	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q6ZMQ8	HGNC:21	AATK	AATK	ENSG00000181409	9625.0	1	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
O95477	HGNC:29	ABCA1	ABCA1	ENSG00000165029	19.0	1	1	0	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8WWZ4	HGNC:30	ABCA10	ABCA10	ENSG00000154263	10349.0	1	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q86UK0	HGNC:14637	ABCA12	ABCA12	ENSG00000144452	26154.0	0	1	0	1	0	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q86UQ4	HGNC:14638	ABCA13	ABCA13	ENSG00000179869	154664.0	1	1	0	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9BZC7	HGNC:32	ABCA2	ABCA2	ENSG00000107331	20.0	0	1	1	0	0	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q99758	HGNC:33	ABCA3	ABCA3	ENSG00000167972	21.0	0	1	0	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P78363	HGNC:34	ABCA4	ABCA4	ENSG00000198691	24.0	0	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8WWZ7	HGNC:35	ABCA5	ABCA5	ENSG00000154265	23461.0	1	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8N139	HGNC:36	ABCA6	ABCA6	ENSG00000154262	23460.0	0	1	0	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8IZY2	HGNC:37	ABCA7	ABCA7	ENSG00000064687	10347.0	1	1	1	1	1	1	5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O94911	HGNC:38	ABCA8	ABCA8	ENSG00000141338	10351.0	1	1	1	0	1	1	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8IUA7	HGNC:39	ABCA9	ABCA9	ENSG00000154258	10350.0	1	1	0	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P08183	HGNC:40	ABCB1	ABCB1	ENSG00000085563	5243.0	1	1	1	1	1	1	5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O95342	HGNC:42	ABCB11	ABCB11	ENSG00000073734	8647.0	0	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P21439	HGNC:45	ABCB4	ABCB4	ENSG00000005471	5244.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q2M3G0	HGNC:46	ABCB5	ABCB5	ENSG00000004846	340273.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9NP58	HGNC:47	ABCB6	ABCB6	ENSG00000115657	10058.0	1	0	1	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9NUT2	HGNC:49	ABCB8	ABCB8	ENSG00000197150	11194.0	0	0	1	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9NP78	HGNC:50	ABCB9	ABCB9	ENSG00000150967	23457.0	1	1	0	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P33527	HGNC:51	ABCC1	ABCC1	ENSG00000103222	4363.0	1	1	1	1	1	1	5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q5T3U5	HGNC:52	ABCC10	ABCC10	ENSG00000124574	89845.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q96J66	HGNC:14639	ABCC11	ABCC11	ENSG00000121270	85320.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q96J65	HGNC:14640	ABCC12	ABCC12	ENSG00000140798	94160.0	1	1	0	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q92887	HGNC:53	ABCC2	ABCC2	ENSG00000023839	1244.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O15438	HGNC:54	ABCC3	ABCC3	ENSG00000108846	8714.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O15439	HGNC:55	ABCC4	ABCC4	ENSG00000125257	10257.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
O15440	HGNC:56	ABCC5	ABCC5	ENSG00000114770	10057.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O95255	HGNC:57	ABCC6	ABCC6	ENSG00000091262	368.0	0	0	1	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
