gene_symbol	hgnc_id	uniprot_acc	prior_reason
BLTP2	HGNC:28960	Q14667	cytoplasmic
CFAP65	HGNC:25325	Q6ZU64	cytoplasmic
DMPK	HGNC:2933	Q09013	cytoplasmic
PLAAT3	HGNC:17825	P53816	cytoplasmic
SYT3	HGNC:11511	Q9BQG1	cytoplasmic
A1CF	HGNC:24086	Q9NQ94	cytoplasmic
AACS	HGNC:21298	Q86V21	cytoplasmic
AAGAB	HGNC:25662	Q6PD74	cytoplasmic
AAMDC	HGNC:30205	Q9H7C9	cytoplasmic
AANAT	HGNC:19	Q16613	cytoplasmic
AAR2	HGNC:15886	Q9Y312	nuclear
AARD	HGNC:33842	Q4LEZ3	cytoplasmic
AARS1	HGNC:20	P49588	cytoplasmic
AARS2	HGNC:21022	Q5JTZ9	mitochondrial_internal
AARSD1	HGNC:28417	Q9BTE6	nuclear
AASDH	HGNC:23993	Q4L235	cytoplasmic
AASDHPPT	HGNC:14235	Q9NRN7	cytoplasmic
AASS	HGNC:17366	Q9UDR5	mitochondrial_internal
AATF	HGNC:19235	Q9NY61	nuclear
ABAT	HGNC:23	P80404	mitochondrial_internal
ABCB10	HGNC:41	Q9NRK6	mitochondrial_internal
ABCB7	HGNC:48	O75027	mitochondrial_internal
ABCE1	HGNC:69	P61221	cytoplasmic
ABCF1	HGNC:70	Q8NE71	cytoplasmic
ABCF2	HGNC:71	Q9UG63	cytoplasmic
ABCF3	HGNC:72	Q9NUQ8	cytoplasmic
ABHD1	HGNC:17553	Q96SE0	cytoplasmic
ABHD10	HGNC:25656	Q9NUJ1	mitochondrial_internal
ABHD11	HGNC:16407	Q8NFV4	cytoplasmic
ABHD14A	HGNC:24538	Q9BUJ0	cytoplasmic
ABHD14B	HGNC:28235	Q96IU4	cytoplasmic
ABHD16A	HGNC:13921	O95870	cytoplasmic
ABHD16B	HGNC:16128	Q9H3Z7	nuclear
ABHD18	HGNC:26111	Q0P651	mitochondrial_internal
ABHD5	HGNC:21396	Q8WTS1	cytoplasmic
ABHD8	HGNC:23759	Q96I13	cytoplasmic
ABI2	HGNC:24011	Q9NYB9	cytoplasmic
ABI3	HGNC:29859	Q9P2A4	cytoplasmic
ABITRAM	HGNC:1364	Q9NX38	cytoplasmic
ABL1	HGNC:76	P00519	cytoplasmic
ABL2	HGNC:77	P42684	cytoplasmic
ABLIM2	HGNC:19195	Q6H8Q1	cytoplasmic
ABLIM3	HGNC:29132	O94929	cytoplasmic
ABR	HGNC:81	Q12979	cytoplasmic
ABRACL	HGNC:21230	Q9P1F3	cytoplasmic
ABRAXAS1	HGNC:25829	Q6UWZ7	nuclear
ABRAXAS2	HGNC:28975	Q15018	cytoplasmic
ABT1	HGNC:17369	Q9ULW3	nuclear
ABTB1	HGNC:18275	Q969K4	cytoplasmic
ABTB2	HGNC:23842	Q8N961	cytoplasmic
ABTB3	HGNC:23844	A6QL63	cytoplasmic
ACAA2	HGNC:83	P42765	mitochondrial_internal
ACACA	HGNC:84	Q13085	cytoplasmic
ACACB	HGNC:85	O00763	cytoplasmic
ACAD10	HGNC:21597	Q6JQN1	mitochondrial_internal
ACAD11	HGNC:30211	Q709F0	mitochondrial_internal
ACAD8	HGNC:87	Q9UKU7	mitochondrial_internal
ACAD9	HGNC:21497	Q9H845	mitochondrial_internal
ACADL	HGNC:88	P28330	mitochondrial_internal
ACADM	HGNC:89	P11310	mitochondrial_internal
ACADS	HGNC:90	P16219	mitochondrial_internal
ACADSB	HGNC:91	P45954	mitochondrial_internal
ACADVL	HGNC:92	P49748	mitochondrial_internal
ACAP1	HGNC:16467	Q15027	cytoplasmic
ACAP3	HGNC:16754	Q96P50	cytoplasmic
ACAT1	HGNC:93	P24752	mitochondrial_internal
ACAT2	HGNC:94	Q9BWD1	cytoplasmic
ACBD4	HGNC:23337	Q8NC06	cytoplasmic
ACBD6	HGNC:23339	Q9BR61	cytoplasmic
ACBD7	HGNC:17715	Q8N6N7	cytoplasmic
ACCS	HGNC:23989	Q96QU6	cytoplasmic
ACCSL	HGNC:34391	Q4AC99	cytoplasmic
ACD	HGNC:25070	Q96AP0	nuclear
ACIN1	HGNC:17066	Q9UKV3	nuclear
ACLY	HGNC:115	P53396	cytoplasmic
ACMSD	HGNC:19288	Q8TDX5	cytoplasmic
ACO1	HGNC:117	P21399	cytoplasmic
ACO2	HGNC:118	Q99798	mitochondrial_internal
ACOD1	HGNC:33904	A6NK06	mitochondrial_internal
ACOT1	HGNC:33128	Q86TX2	cytoplasmic
ACOT11	HGNC:18156	Q8WXI4	cytoplasmic
ACOT12	HGNC:24436	Q8WYK0	cytoplasmic
ACOT2	HGNC:18431	P49753	mitochondrial_internal
ACOT6	HGNC:33159	Q3I5F7	cytoplasmic
ACOT7	HGNC:24157	O00154	cytoplasmic
ACP6	HGNC:29609	Q9NPH0	mitochondrial_internal
ACSBG1	HGNC:29567	Q96GR2	cytoplasmic
ACSBG2	HGNC:24174	Q5FVE4	cytoplasmic
ACSF2	HGNC:26101	Q96CM8	mitochondrial_internal
ACSF3	HGNC:27288	Q4G176	mitochondrial_internal
ACSM1	HGNC:18049	Q08AH1	mitochondrial_internal
ACSM2A	HGNC:32017	Q08AH3	mitochondrial_internal
ACSM2B	HGNC:30931	Q68CK6	mitochondrial_internal
ACSM3	HGNC:10522	Q53FZ2	mitochondrial_internal
ACSM4	HGNC:32016	P0C7M7	mitochondrial_internal
ACSM5	HGNC:26060	Q6NUN0	mitochondrial_internal
ACSM6	HGNC:31665	Q6P461	mitochondrial_internal
ACSS1	HGNC:16091	Q9NUB1	mitochondrial_internal
ACSS2	HGNC:15814	Q9NR19	cytoplasmic
ACSS3	HGNC:24723	Q9H6R3	mitochondrial_internal
ACTA1	HGNC:129	P68133	cytoplasmic
ACTA2	HGNC:130	P62736	cytoplasmic
ACTB	HGNC:132	P60709	cytoplasmic
ACTBL2	HGNC:17780	Q562R1	cytoplasmic
ACTC1	HGNC:143	P68032	cytoplasmic
ACTG1	HGNC:144	P63261	cytoplasmic
ACTG2	HGNC:145	P63267	cytoplasmic
ACTL6A	HGNC:24124	O96019	nuclear
ACTL6B	HGNC:160	O94805	nuclear
ACTL7A	HGNC:161	Q9Y615	cytoplasmic
ACTL7B	HGNC:162	Q9Y614	cytoplasmic
ACTL9	HGNC:28494	Q8TC94	cytoplasmic
ACTMAP	HGNC:24758	Q5BKX5	cytoplasmic
ACTN2	HGNC:164	P35609	cytoplasmic
ACTN3	HGNC:165	Q08043	cytoplasmic
ACTR1A	HGNC:167	P61163	cytoplasmic
ACTR1B	HGNC:168	P42025	cytoplasmic
ACTR2	HGNC:169	P61160	cytoplasmic
ACTR3	HGNC:170	P61158	cytoplasmic
ACTR3B	HGNC:17256	Q9P1U1	cytoplasmic
ACTR3C	HGNC:37282	Q9C0K3	cytoplasmic
ACTR5	HGNC:14671	Q9H9F9	nuclear
ACTR8	HGNC:14672	Q9H981	nuclear
ACTRT2	HGNC:24026	Q8TDY3	cytoplasmic
ACTRT3	HGNC:24022	Q9BYD9	cytoplasmic
