gene_symbol	uniprot_accession	hgnc_id	ensembl_gene	m1_n_db_votes	m1_uniprot_flag	m1_go_flag	m1_hpa_flag	m1_surfy_flag	m1_cspa_flag	sonnet_verdict	sonnet_reason	sonnet_confidence	source
	Q8N9W7			1	1	0	0	0	0				m1_only
A2M	P01023	HGNC:7	ENSG00000175899	1	0	0	0	0	1				m1_only
A2ML1	A8K2U0	HGNC:23336	ENSG00000166535	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
A4GALT	Q9NPC4	HGNC:18149	ENSG00000128274	1	0	0	0	0	1				m1_only
AADACL2	Q6P093	HGNC:24427	ENSG00000197953	0	0	0	0	0	0	contextual	tissue_restricted_surface	low	sonnet_only
AADACL3	Q5VUY0	HGNC:32037	ENSG00000188984	0	0	0	0	0	0	contextual	tissue_restricted_surface	low	sonnet_only
AADACL4	Q5VUY2	HGNC:32038	ENSG00000204518	0	0	0	0	0	0	contextual	dual_localization	low	sonnet_only
AADAT	Q8N5Z0	HGNC:17929	ENSG00000109576	1	0	0	1	0	0				m1_only
AAK1	Q2M2I8	HGNC:19679	ENSG00000115977	1	0	0	1	0	0				m1_only
AAMP	Q13685	HGNC:18	ENSG00000127837	2	0	1	1	0	0	contextual	dual_localization	low	both
ABCA1	O95477	HGNC:29	ENSG00000165029	4	1	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ABCA10	Q8WWZ4	HGNC:30	ENSG00000154263	0	0	0	0	0	0	yes	multipass_with_exposed_loops	medium	sonnet_only
ABCA12	Q86UK0	HGNC:14637	ENSG00000144452	2	0	0	1	1	0				m1_only
ABCA13	Q86UQ4	HGNC:14638	ENSG00000179869	1	0	0	0	1	0	yes	multipass_with_exposed_loops	medium	both
ABCA2	Q9BZC7	HGNC:32	ENSG00000107331	3	0	1	0	1	1				m1_only
ABCA3	Q99758	HGNC:33	ENSG00000167972	1	0	0	0	1	0				m1_only
ABCA4	P78363	HGNC:34	ENSG00000198691	2	1	0	0	1	0				m1_only
ABCA5	Q8WWZ7	HGNC:35	ENSG00000154265	2	0	0	0	1	1	yes	multipass_with_exposed_loops	medium	both
ABCA6	Q8N139	HGNC:36	ENSG00000154262	1	0	0	0	1	0				m1_only
ABCA7	Q8IZY2	HGNC:37	ENSG00000064687	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ABCA8	O94911	HGNC:38	ENSG00000141338	4	1	1	0	1	1	yes	multipass_with_exposed_loops	high	both
ABCA9	Q8IUA7	HGNC:39	ENSG00000154258	1	0	0	0	1	0	yes	multipass_with_exposed_loops	medium	both
ABCB1	P08183	HGNC:40	ENSG00000085563	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ABCB11	O95342	HGNC:42	ENSG00000073734	3	1	1	0	1	0				m1_only
ABCB4	P21439	HGNC:45	ENSG00000005471	4	1	1	1	1	0	yes	multipass_with_exposed_loops	high	both
ABCB5	Q2M3G0	HGNC:46	ENSG00000004846	2	0	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ABCB6	Q9NP58	HGNC:47	ENSG00000115657	2	0	1	1	0	0	contextual	dual_localization	medium	both
ABCB8	Q9NUT2	HGNC:49	ENSG00000197150	1	0	1	0	0	0				m1_only
ABCB9	Q9NP78	HGNC:50	ENSG00000150967	1	0	0	0	1	0	contextual	lysosomal_exocytosis	medium	both
ABCC1	P33527	HGNC:51	ENSG00000103222	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ABCC10	Q5T3U5	HGNC:52	ENSG00000124574	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ABCC11	Q96J66	HGNC:14639	ENSG00000121270	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ABCC12	Q96J65	HGNC:14640	ENSG00000140798	1	0	0	0	1	0	yes	multipass_with_exposed_loops	medium	both
ABCC2	Q92887	HGNC:53	ENSG00000023839	4	1	1	0	1	1	contextual	tissue_restricted_surface	medium	both
ABCC3	O15438	HGNC:54	ENSG00000108846	4	1	1	1	1	0	yes	multipass_with_exposed_loops	high	both
