uniprot_accession	gene_symbol_input	gene_symbol	gene_symbol_mapping_status	gene_symbol_resolved	gene_symbol_mygene_score	uniprot_entry_name	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	deeptmhmm_surface_flag	compartments_surface_flag	n_sources_surface	in_db_union	ml_only_edge_case	sources_present	go_n_go_ids	go_has_experimental	go_has_curated	go_has_sequence	go_has_electronic	go_low_confidence_only	surfy_label	surfy_ml_score	cspa_category	cspa_is_high_confidence	cspa_is_putative	cspa_is_unspecific	cspa_category_missing	cspa_any_high_confidence_precollapse	cspa_any_putative_precollapse	cspa_any_unspecific_precollapse	cspa_any_missing_category_precollapse	cspa_mixed_category_conflict	uniprot_split_mapping_ambiguous	go_split_mapping_ambiguous	surfy_split_mapping_ambiguous	cspa_split_mapping_ambiguous	deeptmhmm_split_mapping_ambiguous	hpa_split_mapping_ambiguous	compartments_split_mapping_ambiguous	split_mapping_ambiguous_any_source	deeptmhmm_label	deeptmhmm_label_source	hpa_reliability	hpa_pm_accessible	hpa_junctional	hpa_secreted_only	hpa_trafficking_associated	hpa_pm_reliability	hpa_junction_reliability	hpa_pm_in_enhanced	hpa_pm_in_supported	hpa_pm_in_approved	hpa_pm_in_uncertain	hpa_cj_in_enhanced	hpa_cj_in_supported	hpa_cj_in_approved	hpa_cj_in_uncertain	hpa_has_extracellular	hpa_locations	hpa_go_ids	hpa_low_confidence_only	hpa_ensembl_gene_id	compartments_integrated_stars_max	compartments_knowledge_stars_max	compartments_experiments_stars_max	compartments_textmining_stars_max	compartments_predictions_stars_max	compartments_surface_terms	compartments_low_confidence_only	compartments_corroborated	compartments_ensembl_protein_id
O00206	TLR4	TLR4	exact	TLR4	18.228987	TLR4_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	3	1.0	0.0	0.0	0.0	0.0	surface	0.8424	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Golgi apparatus;Plasma membrane	GO:0005794;GO:0005886	0.0	ENSG00000136869	5.0	5.0	0.0	3.489	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000363089
O00478	BTN3A3	BTN3A3	exact	BTN3A3	21.962952	BT3A3_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.7325	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Nucleoplasm;Plasma membrane;Cytosol;Nuclear bodies;Vesicles	GO:0005654;GO:0005829;GO:0005886;GO:0016604;GO:0043231	0.0	ENSG00000111801								1	
O00592	PODXL	PODXL	exact	PODXL	17.658579	PODXL_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	2	0.0	1.0	1.0	1.0	0.0	surface	0.9396	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endoplasmic reticulum;Plasma membrane;Centriolar satellite;Nucleoli;Vesicles	GO:0005730;GO:0005783;GO:0005886;GO:0034451;GO:0043231	0.0	ENSG00000128567	2.303	0.0	0.0	2.303	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000367817
O14494	PLPP1	PLPP1	exact	PLPP1	18.19199	PLPP1_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	2	1.0	0.0	1.0	1.0	0.0	surface	0.513	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000067113								1	
O14672	ADAM10	ADAM10	exact	ADAM10	18.195099	ADA10_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	3	1.0	1.0	0.0	1.0	0.0	surface	0.791	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles	GO:0005886;GO:0043231	0.0	ENSG00000137845	5.0	5.0	0.0	2.994	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000260408
O15439	ABCC4	ABCC4	exact	ABCC4	17.636103	MRP4_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	3	1.0	1.0	1.0	1.0	0.0	surface	0.6467	2 - putative	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Golgi apparatus;Vesicles	GO:0005794;GO:0005886;GO:0043231	0.0	ENSG00000125257								1	
O15440	ABCC5	ABCC5	exact	ABCC5	17.72105	MRP5_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	2	1.0	1.0	1.0	1.0	0.0	surface	0.7325	2 - putative	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	1.0	0.0	0.0	approved	approved	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	Cell Junctions;Plasma membrane;Nucleoplasm	GO:0005654;GO:0005886;GO:0030054	0.0	ENSG00000114770								1	
O43490	PROM1	PROM1	exact	PROM1	18.181005	PROM1_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	4	1.0	1.0	0.0	1.0	0.0	surface	0.9202	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000007062	4.687	4.0	0.0	3.437	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000426809
O43556	SGCE	SGCE	exact	SGCE	17.557384	SGCE_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	4	1.0	1.0	1.0	1.0	0.0	surface	0.5818	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles;Golgi apparatus;Nucleoplasm	GO:0005654;GO:0005794;GO:0005886;GO:0043231	0.0	ENSG00000127990								1	
O60462	NRP2	NRP2	exact	NRP2	18.202711	NRP2_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	0.0	1.0	0.0	1.0	0.0	surface	0.9261	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	Plasma membrane;Vesicles;Nucleoplasm;Predicted to be secreted	GO:0005654;GO:0005886;GO:0043231	0.0	ENSG00000118257	2.151	0.0	0.0	2.151	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000353582
O60603	TLR2	TLR2	exact	TLR2	17.804047	TLR2_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	4	1.0	0.0	0.0	0.0	0.0	surface	0.8703	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Cytosol;Nucleoplasm;Vesicles	GO:0005654;GO:0005829;GO:0005886;GO:0043231	0.0	ENSG00000137462	5.0	5.0	0.0	3.376	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000260010
O60896	RAMP3	RAMP3	exact	RAMP3	17.37048	RAMP3_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	3	1.0	1.0	0.0	0.0	0.0	surface	0.7557	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000122679	5.0	5.0	0.0	2.484	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000242249
