hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	sample_rank	llm_named_ligands	primary_gap	assessment	alternative_route	supporting_source	original_ligand_flag	original_any_experimental_site	original_ec_site	identifier_status	llm_rationale_sha256	llm_cited_evidence_ids	llm_cited_source_urls	pdbe_status	biolip_full_scan_counts
HGNC:8179	OR1A1	Q9P1Q5	ENSG00000172146	8383	1	Nitromusks; ethyl 3-phenylglycidate	functional_pair_no_exact_site	Functional odorant responses; cited pocket is a homology/docking model. Synthetic nitromusks are not endogenous ligands.	Extract exact compounds and functional assays; retain predicted pocket separately.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5924878/	yes	0	0	unique	a472af68f15ccf063cee373693cc919749f50f0c892d10e96ebbcfdca403aca8	a1_evi_27;a2_evi_19	https://pubmed.ncbi.nlm.nih.gov/39952115/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5924878/	404	{}
HGNC:14449	OPN4	Q9UHM6	ENSG00000122375	94233	2	11-cis-retinal	functional_pair_no_exact_site	Chromophore-dependent activity supports a ligand, not an entirely extracellular residue interface; no sampled PDBe interface record.	Capture covalent chromophore site with evidence and transmembrane-pocket label.	https://pmc.ncbi.nlm.nih.gov/articles/PMC12461567/	yes	0	0	unique	466bfb0ad079c801ad56696a34bc85f43954f9100bf5509ae21b2ef50df540c7	a1_evi_11;a1_evi_12	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12461567/	404	{}
HGNC:9008	PKD1	P98161	ENSG00000008710	5310	3	WNT9B; WNT5A	functional_pair_no_exact_site	PDBe returns PKD2 channel interfaces rather than the claimed Wnt pair; BioLiP has no eligible sampled site.	Follow cited Wnt binding paper and extract ectodomain constructs or mutagenesis.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13015290/	yes	0	0	unique	46bde3320721eef8aa4986a8b2d2038ac4eb6447af7277acdc36d1d509367928	a1_evi_14;a2_evi_17	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13015290/	200	{}
HGNC:21355	MLIP	Q5VWP3	ENSG00000146147	90523	4	LMNA	intracellular_or_organelle	Claim is nuclear-envelope lamin binding, not an extracellular ligand.	Keep intracellular interaction outside EC denominator.	https://www.uniprot.org/uniprotkb/Q5VWP3/entry	yes	0	0	unique	fd8ee0ba89f27b957501f8b5143d8b283340901564b1d439ad26b813b13f3fd9			404	{}
HGNC:190	ADAM12	O43184	ENSG00000148848	8038	5	BSG; HBEGF	functional_pair_no_exact_site	Substrate shedding does not define an ADAM12 residue-level binding interface; zinc annotations are not substrate epitopes.	Extract enzyme-substrate binding and mapped domains separately from cleavage sites.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6514901/	yes	0	0	unique	3eaeb7048815a348db41bff18602e0e7552a0a5195cceaf88176fd7d8d60038f	a1_evi_25;a1_evi_26	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12635611/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6514901/	404	{}
HGNC:6142	ITGA6	P23229	ENSG00000091409	3655	6	Laminin-332; LAMA4	structural_retrieval_gap	PDBe interface endpoint returns 404 despite human ITGA6 in PDB 7CEC with laminin-511; this is an alternative laminin partner, not either exact claimed ligand.	Use PDB complexes plus SIFTS and compute chain-specific contacts; preserve heterotrimer identity.	https://www.rcsb.org/structure/7CEC	yes	0	0	unique	53f3c21ebe11cf604b7e647e1794ba59e384317a02c85efb8b58c7e008cb8e75	a1_evi_13;a1_evi_18	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13057497/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13067797/	404	"{""excluded_CA"": 6, ""raw_rows"": 6}"
HGNC:18123	ACVR1C	Q8NER5	ENSG00000123612	130399	7	Activin B/AB/C/E; Nodal; GDF1	functional_pair_no_exact_site	Cited ligand signaling uses type-II/type-I receptor complexes; no interface was returned in this probe.	Curate complex stoichiometry and direct ALK7 contacts; use binding assays before residue inference.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10557571/	yes	0	0	unique	a7008d463098cf71ae22bfcb3d0466b5a5bc36f7e7139ebfecf05213faae055f	a1_evi_05;a1_evi_22;a1_evi_24;a2_evi_27	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10557571/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10793694/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8654996/	404	{}
HGNC:10468	RTN2	O75298	ENSG00000125744	6253	8	SLC1A1; GTRAP3-18; BACE1; spastin	intracellular_or_organelle	Cited partners concern ER trafficking and ER shaping.	Record compartment-specific interaction; do not infer EC binding.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2581797/	yes	0	0	unique	0d692dc76f8cc45a0575bb6f25b4566c809b73fc32038da596241dee3317c3f6	a1_evi_02;a2_evi_03;a2_evi_08;a2_evi_09	https://pubmed.ncbi.nlm.nih.gov/15286784/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2581797/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3266795/	404	{}
HGNC:14894	ULBP2	Q9BZM5	ENSG00000131015	80328	9	NKG2D	existing_site_wrong_context	Existing BioLiP Y01 site at 227/234 is in the removed 218-246 propeptide; PDBe partners are GPI-processing machinery, not NKG2D.	Exclude precursor-only sites; search mature ULBP2-NKG2D pair explicitly.	https://www.uniprot.org/uniprotkb/Q9BZM5/entry	yes	1	0	unique	f03a9c302872bcffa5be993c523a89cf6026f0a261df52fbcaab7568e54f27c5	a1_evi_02;a1_evi_18;a2_evi_05	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11927390/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3021996/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8397441/	200	"{""eligible_rows"": 1, ""mapped_rows"": 1, ""raw_rows"": 1, ""unknown"": 1}"
HGNC:25984	SLC38A12	Q8NE00	ENSG00000109066	54868	10	Glutamine; asparagine; alanine (claimed)	llm_claim_needs_correction	Cited ledger evidence is predicted topology and expression, not measured substrate transport; UniProt calls transporter putative.	Downgrade specific substrate claim until gene-specific transport evidence is found.	https://www.uniprot.org/uniprotkb/Q8NE00/entry	yes	0	0	unique	7229da825cbec6b724e4c33361b93f049a7796dc663a5f48f2a239ac84238a81	a1_evi_04;a2_evi_03	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5627054/	404	{}
