gene_symbol	uniprot_acc	triage_verdict	triage_reason	deep_dive_reason	deep_dive_tier	go_surface_flag	surfy_surface_flag	hpa_surface_flag	uniprot_optimized	cspa_optimized
A2ML1	A8K2U0	contextual	stable_surface_attachment	tissue_restricted_surface	low	0	0	0	0	0
AADACL2	Q6P093	contextual	tissue_restricted_surface	other	uncertain	0	0	0	0	0
AADACL3	Q5VUY0	contextual	tissue_restricted_surface	tissue_restricted_surface	low	0	0	0	0	0
AADACL4	Q5VUY2	contextual	dual_localization	endomembrane_resident	no	0	0	0	0	0
AAMP	Q13685	contextual	cell_state_induced	cell_state_induced	canonical	1	0	1	0	0
AATK	Q6ZMQ8	yes	classical_surface_receptor	endomembrane_resident	no	0	0	0	0	0
ABCA1	O95477	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	1	1	1	0
ABCA10	Q8WWZ4	yes	multipass_with_exposed_loops	other	low	0	0	0	0	0
ABCA12	Q86UK0	no	endomembrane_resident	endomembrane_resident	no	0	1	1	0	0
ABCA13	Q86UQ4	yes	multipass_with_exposed_loops	dual_localization	low	0	1	0	0	0
ABCA2	Q9BZC7	no	endomembrane_resident	cell_state_induced	likely	1	1	0	0	0
ABCA3	Q99758	no	endomembrane_resident	dual_localization	low	0	1	0	0	0
ABCA4	P78363	no	endomembrane_resident	tissue_restricted_surface	likely	0	1	0	1	0
ABCA5	Q8WWZ7	yes	multipass_with_exposed_loops	endomembrane_resident	no	0	1	0	1	0
ABCA6	Q8N139	no	endomembrane_resident	dual_localization	low	0	1	0	0	0
ABCA7	Q8IZY2	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	1
ABCA8	O94911	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	0	1	1
ABCA9	Q8IUA7	yes	multipass_with_exposed_loops	endomembrane_resident	no	0	1	0	0	0
ABCB1	P08183	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	1
ABCB11	O95342	no	other	tissue_restricted_surface	likely	1	1	0	1	0
ABCB4	P21439	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	1	1	1	0
ABCB5	Q2M3G0	yes	multipass_with_exposed_loops	cell_state_induced	low	1	1	0	1	0
ABCB6	Q9NP58	yes	multipass_with_exposed_loops	dual_localization	likely	1	0	1	1	0
ABCB9	Q9NP78	contextual	lysosomal_exocytosis	endomembrane_resident	no	0	1	0	0	0
ABCC1	P33527	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	1
ABCC10	Q5T3U5	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	0	1	0
ABCC11	Q96J66	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	0	1	0
ABCC12	Q96J65	yes	multipass_with_exposed_loops	endomembrane_resident	no	0	1	0	0	0
ABCC2	Q92887	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	1	1	0	1	0
ABCC3	O15438	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
