gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	missing
AKR1B15	HGNC:37281	C9JRZ8	ENSG00000227471	ortholog,ortholog_ecd
BRK1	HGNC:23057	Q8WUW1	ENSG00000254999	paralog
C1R	HGNC:1246	P00736	ENSG00000159403	ortholog,ortholog_ecd
CEND1	HGNC:24153	Q8N111	ENSG00000184524	paralog
ERP29	HGNC:13799	P30040	ENSG00000089248	paralog
METTL9	HGNC:24586	Q9H1A3	ENSG00000197006	paralog
MINPP1	HGNC:7102	Q9UNW1	ENSG00000107789	paralog
PLAA	HGNC:9043	Q9Y263	ENSG00000137055	paralog
TMEM127	HGNC:26038	O75204	ENSG00000135956	ortholog_ecd,paralog
TMX2	HGNC:30739	Q9Y320	ENSG00000213593	paralog
WLS	HGNC:30238	Q5T9L3	ENSG00000116729	ortholog_ecd,paralog
