therapeutic	hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	arms	pdb_ids	has_extracellular_site	match_methods
Abazistobart	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	7vux	1	exact_VH_VL
Abciximab	HGNC:6138	ITGA2B	P08514	ENSG00000005961	3674	0	6v4p	1	exact_VH_VL
Abciximab	HGNC:6156	ITGB3	P05106	ENSG00000259207	3690	0	6v4p	1	exact_VH_VL
Aducanumab	HGNC:620	APP	P05067	ENSG00000142192	351	0	6co3	1	exact_VH_VL
Alomfilimab	HGNC:5351	ICOS	Q9Y6W8	ENSG00000163600	29851	0	7joo	1	exact_VH_VL
Amatuximab	HGNC:7371	MSLN	Q13421	ENSG00000102854	10232	0	4f3f;7ued	0	AACDB_exact_VH_VL;exact_VH_VL
Amivantamab	HGNC:7029	MET	P08581	ENSG00000105976	4233	1	6wvz	1	exact_VH_VL
Amlenetug	HGNC:11138	SNCA	P37840	ENSG00000145335	6622	0	8b9v	0	exact_VH_VL
Anbenitamab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	1	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Andecaliximab	HGNC:7176	MMP9	P14780	ENSG00000100985	4318	0	5th9	0	exact_VH_VL
Anetumab	HGNC:7371	MSLN	Q13421	ENSG00000102854	10232	0	8cz8	0	AACDB_exact_VH_VL;exact_VH_VL
Anvatabart	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Anzurstobart	HGNC:9662	SIRPA	P78324	ENSG00000198053	140885	0	7st5	1	exact_VH_VL
Atezolizumab	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	5x8l	1	exact_VH_VL
Avelumab	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	5grj	1	exact_VH_VL
Barecetamab	HGNC:3431	ERBB3	P21860	ENSG00000065361	2065	0	7d85	1	exact_VH_VL
Basiliximab	HGNC:6008	IL2RA	P01589	ENSG00000134460	3559	0	3iu3	1	Thera_100pct_structure_chain
Belimumab	HGNC:11929	TNFSF13B	Q9Y275	ENSG00000102524	10673	0	5y9j;6fxn	1	exact_VH_VL
Benufutamab	HGNC:11905	TNFRSF10B	O14763	ENSG00000120889	8795	0	6t3j	1	exact_VH_VL
Bexatamig	HGNC:6012	IL3RA	P26951	ENSG00000185291	3563	0	4jzj	1	Thera_100pct_structure_chain
Bexatamig	HGNC:6731	NCR1	O76036	ENSG00000189430	9437	1	6iap	1	exact_VH_VL
Bimagrumab	HGNC:173	ACVR2A	P27037	ENSG00000121989	92	0	5nh3	1	exact_VH_VL
Bimagrumab	HGNC:174	ACVR2B	Q13705	ENSG00000114739	93	0	5ngv;5nhr	1	exact_VH_VL
Bintrafusp	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	5grj	1	exact_VH_VL
Bleselumab	HGNC:11919	CD40	P25942	ENSG00000101017	958	0	8yx1	1	Thera_100pct_structure_chain
Bococizumab	HGNC:20001	PCSK9	Q8NBP7	ENSG00000169174	255738	0	3sqo	0	exact_VH_VL
Boserolimab	HGNC:11922	CD27	P26842	ENSG00000139193	939	0	8ds5	1	exact_VH_VL
Bulumtatug	HGNC:19688	NECTIN4	Q96NY8	ENSG00000143217	81607	0	9kkj	1	exact_VH_VL
Camrelizumab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	7cu5	1	AACDB_exact_VH_VL;exact_VH_VL
Caxmotabart	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Cemiplimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	7wvm;8gy5	1	exact_VH_VL
Certolizumab	HGNC:11892	TNF	P01375	ENSG00000232810	7124	0	5wux	1	exact_VH_VL
Cetuximab	HGNC:3236	EGFR	P00533	ENSG00000146648	1956	0	1yy9;4kro;4krp	1	exact_VH_VL
Cifurtilimab	HGNC:11919	CD40	P25942	ENSG00000101017	958	0	8yx9	1	exact_VH_VL
Cinpanemab	HGNC:11138	SNCA	P37840	ENSG00000145335	6622	0	6ct7	0	exact_VH_VL
Cinrebafusp	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Conatumumab	HGNC:11905	TNFRSF10B	O14763	ENSG00000120889	8795	0	4n90	1	exact_VH_VL
Conatumumab	HGNC:11925	TNFSF10	P50591	ENSG00000121858	8743	0	4n90	1	exact_VH_VL
Concizumab	HGNC:11760	TFPI	P10646	ENSG00000003436	7035	0	4dtg	0	exact_VH_VL
Coprelotamab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Crenezumab	HGNC:620	APP	P05067	ENSG00000142192	351	0	5vzy	1	exact_VH_VL
Crovalimab	HGNC:1331	C5	P01031	ENSG00000106804	727	0	5b71	0	exact_VH_VL
Dacetuzumab	HGNC:11919	CD40	P25942	ENSG00000101017	958	0	8yx9	1	exact_VH_VL
Daclizumab	HGNC:6008	IL2RA	P01589	ENSG00000134460	3559	0	3nfp	1	exact_VH_VL
Danvilostomig	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	5tru;5xj3;6rp8;7elx	1	AACDB_exact_VH_VL;exact_VH_VL
Daratumumab	HGNC:1667	CD38	P28907	ENSG00000004468	952	0	7dha;7duo	1	exact_VH_VL
Dostarlimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	7wsl	1	exact_VH_VL
Drozitumab	HGNC:11905	TNFRSF10B	O14763	ENSG00000120889	8795	0	4od2	1	exact_VH_VL
Dupilumab	HGNC:6015	IL4R	P24394	ENSG00000077238	3566	0	6wgl	1	exact_VH_VL
Durvalumab	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	5x8m;5xj4	1	AACDB_exact_VH_VL;exact_VH_VL
Ebribafusp	HGNC:1318	C3	P01024	ENSG00000125730	718	0	7ue9	0	exact_VH_VL
Eculizumab	HGNC:1331	C5	P01031	ENSG00000106804	727	0	5i5k	0	exact_VH_VL
Efalizumab	HGNC:6148	ITGAL	P20701	ENSG00000005844	3683	0	3eoa;3eob	1	exact_VH_VL
Emactuzumab	HGNC:2433	CSF1R	P07333	ENSG00000182578	1436	0	4liq	1	exact_VH_VL
Eramkafusp	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	0	2osl;6vja;6y90;8vgn	1	exact_VH_VL
Erenumab	HGNC:16709	CALCRL	Q16602	ENSG00000064989	10203	0	6umg	1	exact_VH_VL
Erenumab	HGNC:9843	RAMP1	O60894	ENSG00000132329	10267	0	6umg	1	exact_VH_VL
Erfonrilimab	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	1	6rqm	1	exact_VH_VL
Erzotabart	HGNC:1667	CD38	P28907	ENSG00000004468	952	0	8byu	1	exact_VH_VL
Etokimab	HGNC:16028	IL33	O95760	ENSG00000137033	90865	0	9x0j	0	exact_VH_VL
Evunzekibart	HGNC:11924	TNFRSF9	Q07011	ENSG00000049249	3604	0	8oz3	1	exact_VH_VL
Exerenibart	HGNC:16517	TMPRSS6	Q8IU80	ENSG00000187045	164656	0	9nrc	1	exact_VH_VL
Fepixnebart	HGNC:11765	TGFA	P01135	ENSG00000163235	7039	0	5kn5	1	exact_VH_VL
Ficerafusp	HGNC:3236	EGFR	P00533	ENSG00000146648	1956	0	1yy9;4kro;4krp	1	exact_VH_VL
Fidasimtamab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	1	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Fresolimumab	HGNC:11766	TGFB1	P01137	ENSG00000105329	7040	0	4kv5	0	AACDB_exact_VH_VL
Fresolimumab	HGNC:11769	TGFB3	P10600	ENSG00000119699	7043	0	3eo1	0	exact_VH_VL
Galegenimab	HGNC:9476	HTRA1	Q92743	ENSG00000166033	5654	0	7sjn;7sjo;7sjp	0	Thera_100pct_structure_chain;exact_VH_VL
Gantenerumab	HGNC:620	APP	P05067	ENSG00000142192	351	0	5csz	1	exact_VH_VL
Gatralimab	HGNC:1804	CD52	P31358	ENSG00000169442	1043	0	6obd	0	exact_VH_VL
Ginisortamab	HGNC:2001	GREM1	O60565	ENSG00000166923	26585	0	8b7h	0	exact_VH_VL
Glenzocimab	HGNC:14388	GP6	Q9HCN6	ENSG00000088053	51206	0	7r58	1	exact_VH_VL
Glofitamab	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	1	3pp4	1	exact_VH_VL
Golimumab	HGNC:11892	TNF	P01375	ENSG00000232810	7124	0	5yoy	1	exact_VH_VL
Golocdacimab	HGNC:8133	OLR1	P78380	ENSG00000173391	4973	0	7r8u	1	exact_VH_VL
Gotistobart	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	6xy2	1	exact_VH_VL
Ibalizumab	HGNC:1678	CD4	P01730	ENSG00000010610	920	0	3o2d;7t0r	1	exact_VH_VL
Ibritumomab	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	0	3bky	1	exact_VH_VL
Infliximab	HGNC:11892	TNF	P01375	ENSG00000232810	7124	0	4g3y	1	exact_VH_VL
