category	hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	uniprot_flag	go_flag	hpa_flag	surfy_flag	cspa_flag	n_db_votes	sonnet_full_flag	adc_source	therapeutic	adc_antigen	target_function	viral_agent	viral_protein	viral_entry_mode
ADC	HGNC:10256	ROR1	Q01973	ENSG00000185483	4919	1	0	0	1	1	3	1	ADCdb		Inactive tyrosine-protein kinase transmembrane receptor ROR1 (ROR1)	Has very low kinase activity in vitro and is unlikely to function as a tyrosine kinase in vivo. Receptor for ligand WNT5A which activate downstream NFkB signaling pathway and may result in the inhibition of WNT3A-mediated signaling. In inner ear, crucial for spiral ganglion neurons to innervate auditory hair cells.			
ADC	HGNC:10257	ROR2	Q01974	ENSG00000169071	4920	1	0	0	1	1	3	1	ADCdb		Tyrosine-protein kinase transmembrane receptor ROR2 (ROR2)	Tyrosine-protein kinase receptor which may be involved in the early formation of the chondrocytes. It seems to be required for cartilage and growth plate development. Phosphorylates YWHAB, leading to induction of osteogenesis and bone formation. In contrast, has also been shown to have very little tyrosine kinase activity in vitro. May act as a receptor for wnt ligand WNT5A which may result in the inhibition of WNT3A-mediated signaling.			
ADC	HGNC:1060	CXCR5	P32302	ENSG00000160683	643	1	1	0	1	1	4	1	ADCdb		C-X-C chemokine receptor type 5 (CXCR5)	Cytokine receptor that binds to B-lymphocyte chemoattractant (BLC). Involved in B-cell migration into B-cell follicles of spleen and Peyer patches but not into those of mesenteric or peripheral lymph nodes. May have a regulatory function in Burkitt lymphoma (BL) lymphomagenesis and/or B-cell differentiation.			
ADC	HGNC:10658	SDC1	P18827	ENSG00000115884	6382	1	1	0	1	0	3	1	TheraSAbDab	Indatuximab; INDATUXIMAB RAVTANSINE	Syndecan-1 (SDC1); Syndecan-1 (SDC1); Integrin alpha-4 (ITGA4)	Cell surface proteoglycan that bears both heparan sulfate and chondroitin sulfate and that links the cytoskeleton to the interstitial matrix. Regulates exosome biogenesis in concert with SDCBP and PDCD6IP.			
ADC	HGNC:10729	SEMA4A	Q9H3S1	ENSG00000196189	64218	1	0	0	1	1	3	1	ADCdb		Semaphorin-4A (SEMA4A)	Cell surface receptor for PLXNB1, PLXNB2, PLXNB3 and PLXND1 that plays an important role in cell-cell signaling. Regulates glutamatergic and GABAergic synapse development. Promotes the development of inhibitory synapses in a PLXNB1-dependent manner and promotes the development of excitatory synapses in a PLXNB2-dependent manner. Plays a role in priming antigen-specific T-cells, promotes differentiation of Th1 T- helper cells, and thereby contributes to adaptive immunity. Promotes phosphorylation of TIMD2. Inhibits angiogenesis. Promotes axon growth cone collapse. Inhibits axonal extension by providing local signals to specify territories inaccessible for growing axons.			
ADC	HGNC:10943	SLC1A5	Q15758	ENSG00000105281	6510	1	1	1	1	0	4	1	ADCdb		Neutral amino acid transporter B(0) (SLC1A5)	Sodium-coupled antiporter of neutral amino acids. In a tri-substrate transport cycle, exchanges neutral amino acids between the extracellular and intracellular compartments, coupled to the inward cotransport of at least one sodium ion. The preferred substrate is the essential amino acid L-glutamine, a precursor for biosynthesis of proteins, nucleotides and amine sugars as well as an alternative fuel for mitochondrial oxidative phosphorylation. Exchanges L-glutamine with other neutral amino acids such as L-serine, L-threonine and L-asparagine in a bidirectional way. Provides L-glutamine to proliferating stem and activated cells driving the metabolic switch toward cell differentiation. The transport cycle is usually pH-independent, with the exception of L-glutamate. Transports extracellular L-glutamate coupled to the cotransport of one proton and one sodium ion in exchange for intracellular L-glutamine counter-ion. May provide for L-glutamate uptake in glial cells regulating glutamine/glutamate cycle in the nervous system. Can transport D-amino acids. Mediates D-serine release from the retinal glia potentially affecting NMDA receptor function in retinal neurons. Displays sodium- and amino acid-dependent but uncoupled channel-like anion conductance with a preference SCN- &gt;&gt; NO3- &gt; I- &gt; Cl-. Through binding of the fusogenic protein syncytin-1/ERVW-1 may mediate trophoblasts syncytialization, the spontaneous fusion of their plasma membranes, an essential process in placental development.			
ADC	HGNC:11020	SLC34A2	O95436	ENSG00000157765	10568	1	1	1	1	0	4	1	TheraSAbDab	Lifastuzumab; LIFASTUZUMAB VEDOTIN	Sodium-dependent phosphate transport protein 2B (SLC34A2)	Involved in actively transporting phosphate into cells via Na(+) cotransport.			
ADC	HGNC:11026	SLC3A2	P08195	ENSG00000168003	6520	1	1	1	1	1	5	1	ADCdb		4F2 cell-surface antigen heavy chain (SLC3A2)	Component of several heterodimeric complexes involved in amino acid transport. The precise substrate specificity depends on the other subunit in the heterodimer. The complexes function as amino acid exchangers. The heterodimer functions as sodium-independent, high-affinity transporter that mediates uptake of large neutral amino acids such as phenylalanine, tyrosine, leucine, histidine, methionine, tryptophan, valine and isoleucine. The heterodimer with SLC7A5/LAT1 mediates the uptake of L-DOPA. The heterodimer formed by SLC3A2 and SLC7A6 or SLC3A2 and SLC7A7 mediates the uptake of dibasic amino acids. The heterodimer with SLC7A5/LAT1 mediates the transport of thyroid hormones diiodothyronine (T2), triiodothyronine (T3) and thyroxine (T4) across the cell membrane. The heterodimer with SLC7A5/LAT1 is involved in the uptake of toxic methylmercury (MeHg) when administered as the L-cysteine or D,L-homocysteine complexes. When associated with LAPTM4B, the heterodimer with SLC7A5/LAT1 is recruited to lysosomes to promote leucine uptake into these organelles, and thereby mediates mTORC1 activation. The heterodimer with SLC7A5/LAT1 may play a role in the transport of L-DOPA across the blood-brain barrier. The heterodimer formed by SLC3A2 and SLC7A5/LAT1 or SLC3A2 and SLC7A8/LAT2 is involved in the cellular activity of small molecular weight nitrosothiols, via the stereoselective transport of L- nitrosocysteine (L-CNSO) across the transmembrane. The heterodimer with SLC7A10 translocates small neutral L- and D-amino acids across the plasma membrane. SLC3A2-SLC7A10 preferentially mediates exchange transport, but can also operate via facilitated diffusion. Together with ICAM1, regulates the transport activity of SLC7A8/LAT2 in polarized intestinal cells by generating and delivering intracellular signals. Required for .geting of SLC7A5/LAT1 and SLC7A8/LAT2 to the plasma membrane and for channel activity. Plays a role in nitric oxide synthesis in human umbilical vein endothelial cells (HUVECs) via transport of L-arginine. May mediate blood-to-retina L-leucine transport across the inner blood-retinal barrier.			
ADC	HGNC:11059	SLC7A11	Q9UPY5	ENSG00000151012	23657	1	1	0	0	0	2	1	ADCdb		Cystine/glutamate transporter (SLC7A11)	Heterodimer with SLC3A2, that functions as an antiporter by mediating the exchange of extracellular anionic L-cystine and intracellular L-glutamate across the cellular plasma membrane. Provides L-cystine for the maintenance of the redox balance between extracellular L- cystine and L-cysteine and for the maintenance of the intracellular levels of glutathione that is essential for cells protection from oxidative stress. The transport is sodium-independent, electroneutral with a stoichiometry of 1:1, and is drove by the high intracellular concentration of L-glutamate and the intracellular reduction of L-cystine. In addition, mediates the import of L-kynurenine leading to anti-ferroptotic signaling propagation required to maintain L-cystine and glutathione homeostasis. Moreover, mediates N-acetyl-L-cysteine uptake into the placenta leading to subsequently down-regulation of pathways associated with oxidative stress, inflammation and apoptosis. In vitro can also transport L-aspartate. May participate in astrocyte and meningeal cell proliferation during development and can provide neuroprotection by promoting glutathione synthesis and delivery from non-neuronal cells such as astrocytes and meningeal cells to immature neurons. Controls the production of pheomelanin pigment directly.			
ADC	HGNC:1116	BSG	P35613	ENSG00000172270	682	1	0	0	1	1	3	1	ADCdb		Basigin (BSG)	Essential for normal retinal maturation and development. Acts as a retinal cell surface receptor for NXNL1 and plays an important role in NXNL1-mediated survival of retinal cone photoreceptors. In association with glucose transporter SLC16A1/GLUT1 and NXNL1, promotes retinal cone survival by enhancing aerobic glycolysis and accelerating the entry of glucose into photoreceptors. May act as a potent stimulator of IL6 secretion in multiple cell lines that include monocytes.			
