gene_symbol	hgnc_id	uniprot_acc	prior_reason	rescued_verdict	rescued_reason	rescued_confidence
ACAA2	HGNC:83	P42765	mitochondrial_internal	contextual	cell_state_induced	low
AGGF1	HGNC:24684	Q8N302	cytoplasmic	contextual	dual_localization	low
AGK	HGNC:21869	Q53H12	mitochondrial_internal	contextual	cell_state_induced	medium
AK1	HGNC:361	P00568	cytoplasmic	contextual	dual_localization	low
ALDOC	HGNC:418	P09972	cytoplasmic	contextual	cell_state_induced	low
AMPD2	HGNC:469	Q01433	cytoplasmic	contextual	tissue_restricted_surface	medium
ANKRD26	HGNC:29186	Q9UPS8	cytoplasmic	contextual	cell_state_induced	low
APBA1	HGNC:578	Q02410	cytoplasmic	contextual	cell_state_induced	medium
APOL6	HGNC:14870	Q9BWW8	cytoplasmic	contextual	cell_state_induced	medium
ARC	HGNC:648	Q7LC44	cytoplasmic	contextual	dual_localization	medium
ARID3A	HGNC:3031	Q99856	nuclear	contextual	dual_localization	medium
ATP5F1A	HGNC:823	P25705	mitochondrial_internal	contextual	cell_state_induced	medium
ATP6V1A	HGNC:851	P38606	cytoplasmic	contextual	other	medium
BAG6	HGNC:13919	P46379	cytoplasmic	contextual	cell_state_induced	medium
BAIAP3	HGNC:948	O94812	cytoplasmic	yes	multipass_with_exposed_loops	medium
BLCAP	HGNC:1055	P62952	cytoplasmic	yes	classical_surface_receptor	medium
C1orf115	HGNC:25873	Q9H7X2	cytoplasmic	contextual	dual_localization	medium
C1orf56	HGNC:26045	Q9BUN1	nuclear	contextual	tissue_restricted_surface	medium
C2CD4A	HGNC:33627	Q8NCU7	nuclear	contextual	dual_localization	medium
C2CD4B	HGNC:33628	A6NLJ0	nuclear	contextual	dual_localization	low
C9orf85	HGNC:28784	Q96MD7	cytoplasmic	contextual	dual_localization	low
CBX3	HGNC:1553	Q13185	nuclear	contextual	tissue_restricted_surface	medium
CCDC188	HGNC:51899	H7C350	cytoplasmic	contextual	tissue_restricted_surface	low
CCDC54	HGNC:30703	Q8NEL0	cytoplasmic	contextual	cell_state_induced	low
CCNY	HGNC:23354	Q8ND76	cytoplasmic	contextual	dual_localization	medium
CCT5	HGNC:1618	P48643	cytoplasmic	contextual	dual_localization	low
CCT7	HGNC:1622	Q99832	cytoplasmic	contextual	cell_state_induced	low
CDC37	HGNC:1735	Q16543	cytoplasmic	contextual	cell_state_induced	medium
CENPF	HGNC:1857	P49454	nuclear	contextual	cell_state_induced	medium
CHAT	HGNC:1912	P28329	cytoplasmic	contextual	tissue_restricted_surface	medium
CHMP2B	HGNC:24537	Q9UQN3	cytoplasmic	contextual	cell_state_induced	medium
CHMP5	HGNC:26942	Q9NZZ3	cytoplasmic	contextual	cell_state_induced	medium
CHMP6	HGNC:25675	Q96FZ7	cytoplasmic	contextual	cell_state_induced	medium
CIRBP	HGNC:1982	Q14011	cytoplasmic	contextual	cell_state_induced	medium
CKAP5	HGNC:28959	Q14008	cytoplasmic	contextual	dual_localization	medium
CRLF3	HGNC:17177	Q8IUI8	cytoplasmic	yes	classical_surface_receptor	medium
CSE1L	HGNC:2431	P55060	cytoplasmic	contextual	cell_state_induced	medium
