gene_symbol	uniprot_acc	papers_found	papers_selected	evidence_grade	tier
A2ML1	A8K2U0	271	2	weak	low
AADACL2	Q6P093	84	1	weak	uncertain
AADACL3	Q5VUY0	68	0	weak	low
AADACL4	Q5VUY2	48	0	weak	no
AAMP	Q13685	151	9	direct_single_method	canonical
AATK	Q6ZMQ8	207	7	weak	no
ABCA1	O95477	316	31	direct_multi_method	canonical
ABCA10	Q8WWZ4	145	6	weak	low
ABCA12	Q86UK0	280	13	weak	no
ABCA13	Q86UQ4	239	3	weak	low
ABCA2	Q9BZC7	253	26	direct_single_method	likely
ABCA3	Q99758	260	20	conflicting	low
ABCA4	P78363	306	11	direct_single_method	likely
ABCA5	Q8WWZ7	218	13	weak	no
ABCA6	Q8N139	181	8	supportive_but_indirect	low
ABCA7	Q8IZY2	250	13	direct_multi_method	canonical
ABCA8	O94911	253	15	supportive_but_indirect	canonical
ABCA9	Q8IUA7	170	7	weak	no
ABCB1	P08183	333	33	direct_multi_method	canonical
ABCB11	O95342	243	22	direct_multi_method	likely
ABCB4	P21439	255	24	direct_multi_method	likely
ABCB5	Q2M3G0	330	24	conflicting	low
ABCB6	Q9NP58	337	6	supportive_but_indirect	likely
ABCB9	Q9NP78	185	17	weak	no
ABCC1	P33527	307	33	direct_multi_method	canonical
ABCC10	Q5T3U5	208	24	direct_multi_method	canonical
ABCC11	Q96J66	337	7	supportive_but_indirect	canonical
ABCC12	Q96J65	166	7	weak	no
ABCC2	Q92887	290	37	direct_single_method	likely
ABCC3	O15438	223	31	supportive_but_indirect	canonical
ABCC4	O15439	262	36	direct_single_method	canonical
ABCC5	O15440	238	26	direct_multi_method	canonical
ABCC6	O95255	298	16	supportive_but_indirect	likely
ABCC8	Q09428	322	20	supportive_but_indirect	canonical
ABCC9	O60706	274	27	direct_multi_method	canonical
ABCG1	P45844	284	25	direct_single_method	likely
ABCG2	Q9UNQ0	310	36	direct_multi_method	canonical
ABCG4	Q9H172	278	19	supportive_but_indirect	likely
ABCG5	Q9H222	266	16	supportive_but_indirect	likely
ABCG8	Q9H221	247	24	supportive_but_indirect	likely
ABHD12	Q8N2K0	181	7	weak	no
ABHD2	P08910	203	8	supportive_but_indirect	likely
ABHD3	Q8WU67	138	1	weak	no
ABHD6	Q9BV23	210	13	weak	low
ABI3BP	Q7Z7G0	205	3	weak	no
ABRA	Q8N0Z2	369	0	weak	no
ACAA2	P42765	366	1	weak	no
ACE	P12821	352	15	direct_multi_method	canonical
ACE2	Q9BYF1	350	38	direct_multi_method	canonical
ACHE	P22303	395	5	direct_multi_method	likely
ACKR1	Q16570	290	27	direct_multi_method	canonical
ACKR2	O00590	289	23	direct_multi_method	likely
ACKR3	P25106	256	37	direct_multi_method	canonical
ACKR4	Q9NPB9	243	22	direct_multi_method	canonical
ACKR5	O15218	282	13	direct_single_method	canonical
ACP2	P11117	296	9	supportive_but_indirect	low
ACP3	P15309	338	9	direct_multi_method	likely
ACP4	Q9BZG2	160	6	supportive_but_indirect	likely
ACR	P10323	350	1	weak	low
ACRBP	Q8NEB7	196	15	direct_multi_method	likely
ACRV1	P26436	251	7	direct_single_method	likely
ACTN1	P12814	271	13	weak	no
ACTRT1	Q8TDG2	252	3	weak	no
ACVR1	Q04771	279	23	direct_multi_method	canonical
ACVR1B	P36896	246	29	direct_single_method	canonical
ACVR1C	Q8NER5	240	24	direct_single_method	canonical
ACVR2A	P27037	254	26	direct_multi_method	canonical
ACVR2B	Q13705	257	30	direct_multi_method	canonical
ACVRL1	P37023	266	26	direct_multi_method	canonical
ACY3	Q96HD9	245	1	weak	no
ADA	P00813	324	12	direct_multi_method	likely
ADA2	Q9NZK5	366	2	weak	no
ADAM10	O14672	295	22	direct_multi_method	canonical
ADAM11	O75078	278	7	supportive_but_indirect	likely
ADAM12	O43184	251	23	direct_multi_method	canonical
ADAM15	Q13444	251	26	direct_multi_method	canonical
ADAM17	P78536	280	39	direct_multi_method	canonical
ADAM18	Q9Y3Q7	109	4	weak	low
ADAM19	Q9H013	243	17	direct_multi_method	canonical
ADAM2	Q99965	235	16	direct_multi_method	likely
ADAM20	O43506	108	5	weak	low
ADAM21	Q9UKJ8	137	6	weak	likely
ADAM22	Q9P0K1	198	25	direct_single_method	canonical
ADAM23	O75077	206	19	direct_multi_method	canonical
ADAM28	Q9UKQ2	246	19	direct_multi_method	canonical
ADAM29	Q9UKF5	143	10	supportive_but_indirect	likely
ADAM30	Q9UKF2	117	3	weak	low
ADAM32	Q8TC27	159	7	direct_multi_method	likely
ADAM33	Q9BZ11	196	13	weak	likely
ADAM7	Q9H2U9	192	9	supportive_but_indirect	likely
ADAM8	P78325	306	7	direct_single_method	canonical
ADAM9	Q13443	244	32	direct_multi_method	canonical
ADAMTS1	Q9UHI8	324	14	weak	no
ADAMTS10	Q9H324	257	13	direct_single_method	likely
ADAMTS12	P58397	222	12	weak	low
ADAMTS14	Q8WXS8	208	12	weak	no
ADAMTS15	Q8TE58	236	9	weak	no
ADAMTS16	Q8TE57	194	9	supportive_but_indirect	canonical
ADAMTS17	Q8TE56	217	8	weak	low
ADAMTS18	Q8TE60	225	14	weak	no
ADAMTS19	Q8TE59	172	6	weak	no
