gene_symbol	model	prompt_variant	predicted_verdict	predicted_reason	predicted_confidence	n_reps	majority_agreement	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_db_votes	has_deep_dive
A2M	claude-haiku-4-5	naive	contextual	stable_surface_attachment	medium	3	1.0	5193	1294	0	0	0	0.011663	16.402	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	0	0	0	0	1	0	1	0
ABCB9	claude-haiku-4-5	naive	no	endomembrane_resident	medium	3	0.667	5178	1749	0	0	0	0.013923	21.15	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	1	0	0	1	0	0	1	0
ADORA3	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	672	0	0	0	0.008556	8.101	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1	1	0	0	0	0	1	0
AKT2	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	1.0	5196	938	0	0	0	0.009886	11.001	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
ALPG	claude-haiku-4-5	naive	contextual	tissue_restricted_surface	high	3	1.0	5172	2310	0	0	0	0.016722	26.172	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	1	0	0	1	0	1	2	0
AMHR2	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5175	2122	0	0	0	0.015785	21.015	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
APOB	claude-haiku-4-5	naive	contextual	dual_localization	medium	3	0.667	5193	1585	0	0	0	0.013118	17.467	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	0	0	0	0	1	0	1	0
APPL1	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5196	1807	0	0	0	0.014231	19.928	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	1	0	0	0	0	1	1	0
ATG9A	claude-haiku-4-5	naive	contextual	cell_state_induced	medium	3	0.667	5175	1546	0	0	0	0.012905	17.491	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	0	0	0	1	1	0	2	0
ATP5F1B	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	1.0	5178	1556	0	0	0	0.012958	17.87	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0	0	1	0	0	0	1	0
AVPR1A	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5199	688	0	0	0	0.008639	9.075	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
B2M	claude-haiku-4-5	naive	yes	stable_complex_partner	high	3	0.667	5172	1518	0	0	0	0.012762	16.152	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	1	1	1	0	0	1	3	0
B4GALT1	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	1.0	5202	1378	0	0	0	0.012092	16.547	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	0	1	1	0	0	0	2	0
BAX	claude-haiku-4-5	naive	no	mitochondrial_internal	high	3	0.667	5190	1142	0	0	0	0.0109	13.405	Q07812	HGNC:959	581	ENSG00000087088	no	induced_borderline	1	0	0	0	0	1	1	1
BDKRB1	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5202	1830	0	0	0	0.014352	20.082	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
BRAF	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5193	1616	0	0	0	0.013273	16.998	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BST2	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5172	1690	0	0	0	0.013622	17.767	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
BTK	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	1.0	5190	1790	0	0	0	0.01414	18.921	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
C3	claude-haiku-4-5	naive	contextual	cell_state_induced	medium	3	0.667	5169	1723	0	0	0	0.013784	20.106	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	1	1	0	0	1	0	2	0
CA9	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	1.0	5169	792	0	0	0	0.009129	9.721	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1	1	0	0	0	1	2	0
CALR	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	0.667	5172	1664	0	0	0	0.013492	19.479	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	1	1	1	0	1	0	3	0
CCR8	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5193	799	0	0	0	0.009188	10.521	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
CD19	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5190	684	0	0	0	0.00861	9.317	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1	1	1	1	1	0	4	0
CD24	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5169	629	0	0	0	0.008314	8.344	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
CD276	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5169	697	0	0	0	0.008654	8.128	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD63	claude-haiku-4-5	naive	contextual	lysosomal_exocytosis	high	3	1.0	5169	834	0	0	0	0.009339	9.905	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1	1	1	1	1	0	4	0
CD68	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	1.0	5169	966	0	0	0	0.009999	11.632	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1	1	0	1	1	0	3	0
CD74	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5190	1624	0	0	0	0.01331	18.623	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CEACAM5	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5178	820	0	0	0	0.009278	11.137	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1	1	1	1	0	1	4	0
CEACAM6	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5178	1416	0	0	0	0.012258	14.474	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
