group	label	size	acc	pos	neg	canonical	recommended
UniProt	"UniProt strict-only
(4 subcell terms)"	415	0.42857142857142855	0.16	1.0	0	0
UniProt	UniProt baseline	3175	0.7755102040816326	0.69	0.9574468085106383	1	0
UniProt	"UniProt TM-or-signal-or-surface
(topology proxy)"	3894	0.891156462585034	0.87	0.9361702127659575	0	1
UniProt	"UniProt permissive
(incl. plain Cell membrane)"	4678	0.8231292517006803	0.89	0.6808510638297872	0	0
GO	GO experimental+curated	1827	0.4217687074829932	0.37	0.5319148936170213	0	0
GO	GO baseline	2023	0.41496598639455784	0.38	0.48936170212765956	1	0
GO	"GO permissive
(incl. IEA-only)"	2557	0.46258503401360546	0.47	0.44680851063829785	0	0
HPA	"HPA Enhanced-only
(strictest tier)"	106	0.3673469387755102	0.015873015873015872	1.0	0	0
HPA	HPA baseline	2107	0.47959183673469385	0.38095238095238093	0.6571428571428571	1	0
HPA	HPA + Uncertain tier	2467	0.47959183673469385	0.3968253968253968	0.6285714285714286	0	0
SURFY	SURFY score>0.9	1109	0.4965986394557823	0.26	1.0	0	0
SURFY	SURFY score>0.7	2339	0.7210884353741497	0.61	0.9574468085106383	0	0
SURFY	SURFY score>0.5	2827	0.8095238095238095	0.77	0.8936170212765957	0	0
SURFY	SURFY baseline	2886	0.8163265306122449	0.78	0.8936170212765957	1	0
CSPA	CSPA high-conf only	1039	0.4965986394557823	0.37	0.7659574468085106	0	1
CSPA	CSPA baseline	1286	0.46258503401360546	0.38	0.6382978723404256	1	0
CSPA	CSPA + unspecific	1492	0.46938775510204084	0.39	0.6382978723404256	0	0
