hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	triage_classical_receptor	triage_surface_yes	biogrid_literature_contacts	biogrid_literature_contacts_extracellular	iedb_any_bcell_assay	iedb_epitope_region	iedb_epitope_region_extracellular	iedb_exact_epitope	iedb_exact_epitope_extracellular	iedb_named_positive_binding	natural_ligand_mapped_contacts	natural_ligand_mapped_contacts_extracellular	pdbe_chembl_identity	pdbe_chemical_contacts	pdbe_chemical_contacts_extracellular	pdbe_gtopdb_supported_pair	pdbe_gtopdb_supported_pair_extracellular	sabdab_mapped_contacts	sabdab_mapped_contacts_extracellular	sabdab_target_complex	union_including_regions	union_including_regions_extracellular	union_mapped_sites	union_mapped_sites_extracellular	identifier_status	in_previous_candidate_audit	llm_known_ligand	surfacebind_listed	surfacebind_predicted_sites	surfacebind_predicted_seeds	experimental_or_predicted_sites
HGNC:100	ASIC1	P78348	ENSG00000110881	41	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	unique	1	yes	1	1	1	1
HGNC:10006	RHAG	Q02094	ENSG00000112077	6005	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	0	0	0
HGNC:10008	RHCE	P18577	ENSG00000188672	6006			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10009	RHD	Q02161	ENSG00000187010	6007	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10012	RHO	P08100	ENSG00000163914	6010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:10019	RIPK1	Q13546	ENSG00000137275	8737	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	unique	1	no	0	0	0	1
HGNC:10045	RNASE2	P10153	ENSG00000169385	6036			0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10047	RNASE4	P34096	ENSG00000258818	6038			0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10057	RNF13	O43567	ENSG00000082996	11342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	0	0	0
HGNC:101	ASIC3	Q9UHC3	ENSG00000213199	9311	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
