gene_symbol	model	prompt_variant	replicate	predicted_verdict	predicted_reason	predicted_confidence	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match
A2M	claude-haiku-4-5	naive	1	contextual	dual_localization	medium	1745	435	0	0	0	0.00392	5.9755992499995045	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	0
ABCB9	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1747	807	0	0	0	0.005782	8.242115458007902	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	1
ADORA3	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	593	0	0	0	0.004711	7.995790124987252	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1
AKT2	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1746	799	0	0	0	0.005741	8.737608291965444	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	1
ALPG	claude-haiku-4-5	naive	1				1745	455	0	0	0	0.00402	6.279093500052113	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	0
AMHR2	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	772	0	0	0	0.005606	8.286536083032843	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1
APOB	claude-haiku-4-5	naive	1	contextual	dual_localization	medium	1745	584	0	0	0	0.004665	6.764117540966254	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	0
APPL1	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	medium	1746	452	0	0	0	0.004006	6.15476291696541	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	0
ATG9A	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1746	815	0	0	0	0.005821	7.868409083981533	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	1
ATP5F1B	claude-haiku-4-5	naive	1	no	mitochondrial_internal	high	1747	354	0	0	0	0.003517	4.3593633330310695	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0
AVPR1A	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1747	253	0	0	0	0.003012	2.859466124966275	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1
B2M	claude-haiku-4-5	naive	1	no	pmhc_only_intracellular	high	1745	736	0	0	0	0.005425	7.373584166984074	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	0
B4GALT1	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1748	375	0	0	0	0.003623	4.579636291018687	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	1
