gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	n_db_votes	uniprot_flag	go_flag	surfy_flag	cspa_flag	hpa_flag	deeptmhmm_flag	compartments_flag	sonnet_verdict	sonnet_confidence	sonnet_reason	pubmed_verdict	pubmed_confidence	source
A2ML1	HGNC:23336	A8K2U0	ENSG00000166535	144568	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only
AADACL2	HGNC:24427	Q6P093	ENSG00000197953	344752	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only
AADACL3	HGNC:32037	Q5VUY0	ENSG00000188984	126767	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only
AADACL4	HGNC:32038	Q5VUY2	ENSG00000204518	343066	0	0	0	0	0	0	0	0	contextual	low	dual_localization			sonnet_only
AAMP	HGNC:18	Q13685	ENSG00000127837	14	2	0	1	0	0	1	0	0	contextual	low	cell_state_induced			m1_and_sonnet
AATK	HGNC:21	Q6ZMQ8	ENSG00000181409	9625	0	0	0	0	0	0	0	0	yes	medium	classical_surface_receptor			sonnet_only
ABCA1	HGNC:29	O95477	ENSG00000165029	19	4	1	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCA10	HGNC:30	Q8WWZ4	ENSG00000154263	10349	0	0	0	0	0	0	0	0	yes	medium	multipass_with_exposed_loops			sonnet_only
ABCA12	HGNC:14637	Q86UK0	ENSG00000144452	26154	2	0	0	1	0	1	1	0	no	medium	endomembrane_resident			m1_only
ABCA13	HGNC:14638	Q86UQ4	ENSG00000179869	154664	1	0	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCA2	HGNC:32	Q9BZC7	ENSG00000107331	20	3	0	1	1	1	0	1	0	no	medium	endomembrane_resident			m1_only
ABCA3	HGNC:33	Q99758	ENSG00000167972	21	1	0	0	1	0	0	1	0	no	medium	endomembrane_resident			m1_only
ABCA4	HGNC:34	P78363	ENSG00000198691	24	2	1	0	1	0	0	1	0	no	high	endomembrane_resident			m1_only
ABCA5	HGNC:35	Q8WWZ7	ENSG00000154265	23461	2	0	0	1	1	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCA6	HGNC:36	Q8N139	ENSG00000154262	23460	1	0	0	1	0	0	1	0	no	medium	endomembrane_resident			m1_only
ABCA7	HGNC:37	Q8IZY2	ENSG00000064687	10347	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCA8	HGNC:38	O94911	ENSG00000141338	10351	4	1	1	1	1	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCA9	HGNC:39	Q8IUA7	ENSG00000154258	10350	1	0	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCB1	HGNC:40	P08183	ENSG00000085563	5243	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCB11	HGNC:42	O95342	ENSG00000073734	8647	3	1	1	1	0	0	1	0	no	medium	other			m1_only
ABCB4	HGNC:45	P21439	ENSG00000005471	5244	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCB5	HGNC:46	Q2M3G0	ENSG00000004846	340273	2	0	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCB6	HGNC:47	Q9NP58	ENSG00000115657	10058	2	0	1	0	0	1	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCB9	HGNC:50	Q9NP78	ENSG00000150967	23457	1	0	0	1	0	0	1	0	contextual	medium	lysosomal_exocytosis			m1_and_sonnet
ABCC1	HGNC:51	P33527	ENSG00000103222	4363	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCC10	HGNC:52	Q5T3U5	ENSG00000124574	89845	3	1	1	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCC11	HGNC:14639	Q96J66	ENSG00000121270	85320	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCC12	HGNC:14640	Q96J65	ENSG00000140798	94160	1	0	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCC2	HGNC:53	Q92887	ENSG00000023839	1244	4	1	1	1	1	0	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet
ABCC3	HGNC:54	O15438	ENSG00000108846	8714	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
