gene_symbol	group	tm_helix_count	protein_length	ecd_length_residues	has_signal_peptide	n_term_extracellular	c_term_extracellular	mouse_has_one2one	cyno_has_one2one	schweke_homomer	alt_iso_diff_topo	has_ec_surface_bind_site	has_concerning_paralog	cyno_ortholog_pct_id	mouse_ortholog_pct_id	homomer_stoichiometry	top_paralog_symbol	top_paralog_ecd_pct	n_ec_surface_bind_sites
AAMP	canonical	0	434	0	0	0	0	1	1	0	0	0	0	99.8	98.6				
ABCA1	canonical	12	2261	1031	0	0	0	1	1	0	0	1	1	98.9	95.3		ABCA4	48.4	3.0
ABCA7	canonical	12	2146	926	0	0	0	1	1	0	1	1	1	84.4	77.8		ABCA1	43.4	1.0
ABCA8	canonical	14	1621	398	0	0	0	1	1	0	1	1	1	96.7	75.5		ABCA9	54.4	1.0
ABCB1	canonical	12	1280	109	0	0	0	0	0	0	0	0	1				ABCB4	50.9	
ABCC1	canonical	17	1531	140	0	1	0	1	1	0	0	0	1	96.0	88.1		ABCC3	47.1	
ABCC10	canonical	17	1492	167	0	1	0	1	1	0	1	0	0	97.0	84.9		ABCC11	21.0	
ABCC11	canonical	12	1382	83	0	0	0	0	1	0	0	0	0	92.0			ABCC5	37.3	
ABCC3	canonical	17	1527	128	0	1	0	1	1	0	1	0	1	95.5	80.7		ABCC1	43.6	
ABCC4	canonical	12	1325	86	0	0	0	1	1	0	1	0	0	97.5	87.1		ABCC5	36.0	
ABCC5	canonical	12	1437	78	0	0	0	1	1	0	1	0	0	96.8	95.0		ABCC11	33.7	
ABCC8	canonical	17	1581	161	0	1	0	1	1	0	1	0	1	95.8	95.4		ABCC9	42.2	
ABCC9	canonical	17	1549	141	0	1	0	1	1	0	0	0	1	98.1	95.2		ABCC8	41.0	
ABCG2	canonical	6	655	91	0	0	0	0	0	1	1	0	0			2.0	ABCG5	26.5	
ACE	canonical	1	1306	1230	1	1	0	1	1	0	1	1	0	97.9	83.3		ACE2	24.8	4.0
ACE2	canonical	1	805	726	1	1	0	1	1	1	0	1	0	95.2	82.1	2.0	ACE	25.1	2.0
ACKR1	canonical	7	336	113	0	1	0	1	1	0	0	0	0	91.1	59.2				
ACKR3	canonical	7	362	112	0	1	0	1	1	0	0	0	0	89.2	92.8		CCR8	26.8	
ACKR4	canonical	7	350	97	0	1	0	1	1	0	0	0	0	96.3	85.4		CCR7	28.9	
ACKR5	canonical	7	404	105	0	1	0	1	1	1	0	0	0	93.6	71.5	2.0	GPER1	25.7	
ACVR1	canonical	1	509	103	1	1	0	1	1	0	0	0	0	99.8	98.4		AMHR2	24.4	
ACVR1B	canonical	1	505	95	1	1	0	1	1	0	0	1	0	89.7	98.2		TGFBR1	37.9	1.0
ACVR1C	canonical	1	493	93	1	1	0	1	1	0	0	1	1	99.4	92.9		TGFBR1	43.0	1.0
ACVR2A	canonical	1	513	115	1	1	0	1	1	0	0	1	1	100.0	99.6		ACVR2B	54.8	1.0
ACVR2B	canonical	1	512	115	1	1	0	1	1	0	0	1	1	96.5	99.4		ACVR2A	54.8	2.0
ACVRL1	canonical	1	503	99	1	1	0	1	1	0	0	1	0	98.6	88.7		AMHR2	26.7	1.0
ADAM10	canonical	1	748	659	1	1	0	1	1	0	0	1	0	100.0	96.1		ADAM17	32.0	2.0
ADAM12	canonical	1	909	684	1	1	0	1	1	0	1	1	1	94.6	81.2		ADAM19	51.6	3.0
ADAM15	canonical	1	863	680	1	1	0	1	1	0	1	1	1	96.4	80.2		ADAM33	42.6	2.0
ADAM17	canonical	1	824	654	1	1	0	1	1	0	0	1	0	99.6	92.1		ADAM10	32.2	3.0
ADAM19	canonical	1	955	678	1	1	0	0	1	0	0	1	1	97.9			ADAM12	51.5	1.0
ADAM22	canonical	1	906	711	1	1	0	1	1	0	0	1	1	93.7	88.4		ADAM11	55.3	2.0
ADAM23	canonical	1	832	734	1	1	0	1	1	0	1	1	1	90.0	93.9		ADAM11	50.0	3.0
ADAM28	canonical	1	775	648	1	1	0	1	1	0	1	1	1	91.7	69.9		ADAMDEC1	31.3	2.0
ADAM8	canonical	1	824	636	1	1	0	1	1	0	1	1	1	90.4	63.1		ADAM12	39.9	2.0
ADAM9	canonical	1	819	669	1	1	0	1	1	0	1	1	1	97.6	85.8		ADAM12	41.5	2.0
ADAMTS16	canonical	0	1224	1197	1	1	1	1	1	0	0	0	1	93.0	82.6		ADAMTS18	57.6	
ADAMTS5	canonical	0	930	912	1	1	1	1	1	0	0	0	1	97.5	90.2		ADAMTS15	43.6	
ADCY1	canonical	12	1119	92	0	0	0	1	0	0	0	0	0		92.5		GUCY2D	5.1	
ADCY5	canonical	12	1261	116	0	0	0	1	1	0	1	0	0	66.3	95.5		NPR2	5.2	
ADCY6	canonical	12	1168	109	0	0	0	1	1	0	0	0	0	99.0	94.4		GUCY2C	5.6	
ADCY7	canonical	12	1080	96	0	0	0	1	1	0	0	0	0	94.7	83.8		GUCY2C	3.6	
ADCY9	canonical	12	1353	102	0	0	0	1	1	0	0	0	0	98.5	92.2		NPR1	3.9	
ADCYAP1R1	canonical	7	468	167	1	1	0	1	1	0	0	0	0	97.0	92.7		ADGRG4	2.7	
ADGRA2	canonical	7	1338	772	1	1	0	1	1	0	1	0	1	77.1	87.9		ADGRA1	3.5	
ADGRA3	canonical	7	1321	767	1	1	0	1	1	0	1	0	1	98.5	92.6		ADGRA1	3.4	
ADGRB1	canonical	7	1584	955	1	1	0	1	1	0	0	0	1	74.9	94.1		ADGRB3	46.0	
ADGRB3	canonical	7	1522	891	1	1	0	1	1	0	1	0	1	99.3	98.4		ADGRB2	47.9	
ADGRD1	canonical	7	874	574	1	1	0	1	1	0	0	0	0	89.6	80.7		ADGRA1	17.6	
ADGRE1	canonical	7	886	621	1	1	0	1	1	0	1	0	0	75.8	68.2		GLP1R	9.7	
ADGRE2	canonical	7	823	555	1	1	0	0	1	0	0	0	1	84.4			ADGRE5	68.8	
ADGRE3	canonical	7	652	377	1	1	0	0	0	0	1	0	0				ADGRG4	5.7	
ADGRE5	canonical	7	835	567	1	1	0	1	1	0	0	0	1	92.3	57.5		ADGRE2	68.8	
ADGRF1	canonical	7	910	618	1	1	0	1	1	0	1	0	0	90.2	70.1		PTH1R	12.6	
ADGRF5	canonical	7	1346	1037	1	1	0	1	1	0	0	0	0	94.4	72.1		GCGR	7.9	
ADGRG1	canonical	7	693	432	1	1	0	1	1	0	0	0	0	91.0	79.3		ADGRA1	19.9	
ADGRG3	canonical	7	549	299	1	1	0	1	1	0	0	0	0	87.8	68.5		ADGRG4	4.2	
ADGRG4	canonical	7	3080	2757	1	1	0	1	1	0	0	0	0	91.1	59.0		GLP1R	4.0	
ADGRG5	canonical	7	528	278	1	1	0	1	1	0	0	0	0	90.0	69.9		ADGRG4	3.8	
ADGRG6	canonical	7	1221	872	1	1	0	1	1	0	0	0	0	97.6	82.2		GHRHR	7.8	
ADGRL1	canonical	7	1474	876	1	1	0	1	0	0	0	0	1		98.2		ADGRL2	68.3	
ADGRL2	canonical	7	1459	858	1	1	0	1	1	0	0	0	1	99.3	95.5		ADGRL1	68.0	
ADGRL3	canonical	7	1447	881	1	1	0	1	1	0	1	0	1	99.3	96.5		ADGRL2	62.0	
ADGRL4	canonical	7	690	444	1	1	0	1	1	0	0	0	0	97.2	78.8		GIPR	13.1	
ADIPOR1	canonical	7	375	57	0	0	1	1	1	0	0	0	1	99.2	96.8		ADIPOR2	66.7	
ADIPOR2	canonical	7	386	57	0	0	1	1	1	0	0	0	1	87.8	92.7		ADIPOR1	66.7	
ADORA1	canonical	7	326	66	0	1	0	1	1	0	1	0	0	99.4	94.8		ADORA2B	34.8	
ADORA2A	canonical	7	412	45	0	1	0	1	1	0	0	0	0	98.3	81.1		ADORA2B	23.2	
ADORA2B	canonical	7	332	69	0	1	0	1	1	0	0	0	1	97.0	87.7		ADORA1	33.3	
ADORA3	canonical	7	318	62	0	1	0	1	0	0	0	0	0		73.6		ADORA2B	29.0	
ADRA1A	canonical	7	466	73	0	1	0	1	1	0	1	0	0	98.5	91.8		ADRA1D	25.2	
ADRA1B	canonical	7	520	93	0	1	0	1	1	0	0	0	0	98.5	95.4		ADRA1A	37.6	
ADRA1D	canonical	7	572	147	0	1	0	1	1	0	0	0	0	90.0	85.1		ADRA1A	25.2	
ADRA2A	canonical	7	465	94	0	1	0	1	0	0	0	0	0		92.5		ADRA2B	30.9	
ADRA2B	canonical	7	450	59	0	1	0	1	1	0	0	0	0	96.4	83.3		ADRA2A	29.8	
ADRB1	canonical	7	477	98	0	1	0	1	0	0	0	0	0		90.4		ADRB3	34.7	
ADRB2	canonical	7	413	82	0	1	0	1	1	0	0	0	0	94.9	88.1		ADRB1	30.6	
ADRB3	canonical	7	408	92	0	1	0	1	1	0	0	0	0	88.5	78.4		ADRB1	37.8	
AGER	canonical	1	404	317	1	1	0	1	1	0	1	1	0	95.5	78.2		MCAM	19.6	3.0
AGRN	canonical	0	2068	2040	1	1	1	1	0	0	1	0	0		81.6		TMEFF2	8.4	
AGTR1	canonical	7	359	85	0	1	0	0	1	0	0	0	0	98.9			BDKRB2	20.7	
AGTR2	canonical	7	363	110	0	1	0	1	1	0	0	0	0	98.9	91.7		BDKRB2	28.9	
AJAP1	canonical	1	411	239	1	1	0	1	1	0	0	0	0	79.1	79.1				
ALCAM	canonical	1	583	500	1	1	0	1	1	1	1	1	0	98.8	93.0	2.0	AGER	19.0	3.0
ALK	canonical	1	1620	1016	1	1	0	1	1	0	0	1	0	98.4	87.2		LTK	21.3	4.0
ALPG	canonical	0	532	513	1	1	1	0	0	1	0	1	1			2.0	ALPP	97.5	2.0
ALPL	canonical	0	524	507	1	1	1	1	1	1	0	0	1	97.1	89.9	2.0	ALPI	57.4	
ALPP	canonical	0	535	513	1	1	1	0	0	1	0	1	1			2.0	ALPG	97.5	1.0
AMIGO2	canonical	1	522	359	1	1	0	1	1	1	0	1	1	98.9	88.1	2.0	AMIGO1	41.5	2.0
AMIGO3	canonical	1	504	364	1	1	0	1	1	1	0	1	0	94.8	76.4	2.0	AMIGO1	38.2	1.0
ANKH	canonical	12	492	90	0	0	0	1	1	0	1	0	0	100.0	98.4				
ANO1	canonical	8	986	263	0	0	0	1	1	1	1	1	1	97.9	91.5	2.0	ANO2	66.9	1.0
ANO6	canonical	8	910	274	0	0	0	1	1	1	0	1	1	97.0	90.4	2.0	ANO5	51.1	2.0
ANOS1	canonical	0	680	656	1	1	1	0	1	0	0	0	0	95.4					
ANPEP	canonical	1	967	935	0	0	1	1	1	0	0	1	0	94.3	76.5		LVRN	37.1	2.0
ANTXR1	canonical	1	564	294	1	1	0	1	1	0	1	1	1	99.6	95.9		ANTXR2	53.1	2.0
ANTXR2	canonical	1	489	285	1	1	0	1	1	0	1	1	1	91.2	82.8		ANTXR1	52.0	1.0
AOC3	canonical	1	763	737	0	0	1	1	1	1	1	1	1	96.9	83.1	2.0	AOC2	65.8	1.0
APCDD1	canonical	0	514	488	1	1	1	1	1	1	0	1	1	99.2	91.8	2.0	APCDD1L	46.9	2.0
APLNR	canonical	7	380	91	0	1	0	1	1	0	0	0	0	98.7	91.1		GPR25	25.8	
APLP2	canonical	1	763	662	1	1	0	1	1	0	0	1	1	98.1	92.8		APP	51.2	1.0
APOH	canonical	0	345	326	1	1	1	1	0	0	0	0	0		76.5		CSMD3	4.5	
APOL1	canonical	0	398	371	1	1	1	0	0	0	0	0	1						
APP	canonical	1	770	683	1	1	0	1	1	0	1	1	1	99.5	94.8		APLP2	51.4	3.0
AQP1	canonical	6	269	60	0	0	0	1	0	1	1	0	0		94.1	4.0	AQP5	36.7	
AQP3	canonical	6	292	75	0	0	0	1	1	1	1	0	1	97.3	95.5	4.0	AQP9	58.7	
AQP4	canonical	6	323	57	0	0	0	1	1	1	0	0	1	96.9	93.2	4.0	MIP	49.1	
AQP5	canonical	6	265	57	0	0	0	1	1	1	0	0	1	98.9	90.6	4.0	AQP2	64.9	
AQP7	canonical	6	342	74	0	0	0	0	0	1	1	0	1			4.0	AQP7B	91.9	
AQP9	canonical	6	295	73	0	0	0	1	1	1	0	0	1	95.6	75.6	4.0	AQP10	55.8	
AREG	canonical	1	252	172	1	1	0	1	1	0	0	0	0	86.9	69.8		HBEGF	26.7	
ARMH4	canonical	1	774	687	1	1	0	1	1	0	1	0	0	93.5	56.5				
ART1	canonical	0	327	305	1	1	1	1	1	0	0	1	0	84.1	76.5		ART5	36.7	2.0
ASAH2	canonical	1	780	748	0	0	1	0	0	0	0	0	0				ASAH2B	19.4	
ASGR1	canonical	1	291	231	0	0	1	1	1	1	1	1	1	57.7	77.0	4.0	CLEC10A	53.7	2.0
ASGR2	canonical	1	311	237	0	0	1	1	1	0	0	1	1	92.8	64.7		ASGR1	59.1	3.0
ASIC1	canonical	2	528	375	0	0	0	1	1	1	0	1	1	100.0	97.5	3.0	ASIC2	74.7	1.0
ASIC2	canonical	2	512	375	0	0	0	1	1	1	0	0	1	71.6	71.2	3.0	ASIC1	74.7	
ASIC3	canonical	2	531	377	0	0	0	1	1	1	1	0	1	90.6	83.4	3.0	ASIC1	55.7	
ASTL	canonical	0	431	408	1	1	1	1	1	0	0	0	0	93.3	65.0		CUBN	5.0	
ATP10D	canonical	10	1426	70	0	0	0	1	1	0	0	0	1	95.9	83.2		ATP10A	47.4	
ATP11A	canonical	10	1134	83	0	0	0	1	1	0	0	0	1	97.7	92.0		ATP11C	66.3	
ATP11C	canonical	10	1132	83	0	0	0	1	1	0	0	0	1	90.0	94.5		ATP11A	67.5	
ATP12A	canonical	10	1039	104	0	0	0	1	1	0	0	0	1	94.3	86.6		ATP1A4	42.3	
ATP1A1	canonical	10	1023	81	0	0	0	1	1	0	1	0	1	96.6	96.9		ATP1A2	80.5	
ATP1A2	canonical	10	1020	82	0	0	0	1	0	0	0	0	1		99.1		ATP1A1	81.7	
ATP1A3	canonical	10	1013	109	0	0	0	1	1	0	0	0	1	91.7	99.6		ATP1A2	85.3	
ATP1B1	canonical	1	303	247	0	0	1	1	1	0	0	0	0	97.0	94.1		ATP1B2	38.9	
ATP1B3	canonical	1	279	219	0	0	1	1	1	0	0	1	1	99.6	73.5		ATP1B2	44.1	1.0
ATP2B1	canonical	10	1220	101	0	0	0	1	1	0	0	0	1	100.0	99.5		ATP2B3	75.5	
ATP2B3	canonical	10	1220	102	0	0	0	1	0	0	0	0	1		98.2		ATP2B2	78.4	
ATP2B4	canonical	10	1241	102	0	0	0	1	1	0	0	0	1	98.3	84.6		ATP2B3	71.6	
ATRN	canonical	2	1429	1200	0	0	0	1	1	0	1	1	1	87.2	93.2		ATRNL1	59.8	5.0
ATRNL1	canonical	1	1379	1169	1	1	0	1	1	0	1	1	1	98.9	96.0		ATRN	59.8	3.0
AVPR1A	canonical	7	418	108	0	1	0	1	0	0	0	1	1		82.8		AVPR1B	42.6	1.0
AVPR1B	canonical	7	424	90	0	1	0	1	1	0	0	0	1	95.0	80.7		OXTR	54.2	
AVPR2	canonical	7	371	92	0	1	0	1	1	0	1	0	1	79.8	87.6		AVPR1B	44.6	
AXL	canonical	1	894	419	1	1	0	1	1	0	0	0	0	97.1	87.6		ROS1	8.3	
B2M	canonical	0	119	99	1	1	1	1	1	0	0	0	0	88.2	68.1		HLA-DPA1	19.3	
BACE2	canonical	1	518	447	1	1	0	1	1	0	1	1	1	83.8	88.6		BACE1	51.9	1.0
BAMBI	canonical	1	260	126	1	1	0	1	1	0	0	0	0	98.5	93.1				
BCAM	canonical	1	628	520	1	1	0	1	1	0	0	1	0	95.9	72.6		MCAM	31.9	2.0
BCAN	canonical	0	911	889	1	1	1	1	1	0	0	1	0	96.5	80.4		ACAN	17.6	4.0
BDKRB2	canonical	7	391	121	0	1	0	1	1	0	0	0	0	95.4	79.8		AGTR1	22.3	
BGN	canonical	0	368	352	1	1	1	1	1	0	0	0	1	99.2	95.9		DCN	56.2	
BMPR1A	canonical	1	532	130	1	1	0	1	1	0	0	0	1	99.6	97.9		BMPR1B	46.2	
BMPR1B	canonical	1	502	126	0	1	0	1	1	0	0	0	1	70.9	98.2		BMPR1A	46.9	
BMPR2	canonical	1	1038	124	1	1	0	1	1	0	0	1	0	99.1	96.6		ACVR2B	32.3	1.0
BOC	canonical	1	1114	825	1	1	0	1	1	0	0	1	1	87.5	86.4		CDON	42.1	3.0
BPIFA1	canonical	0	256	237	1	1	1	1	1	0	0	0	0	95.3	73.0		BPIFB4	14.1	
BRS3	canonical	7	399	105	0	1	0	1	1	0	0	0	0	96.5	85.2		GRPR	38.1	
BSG	canonical	1	385	303	1	1	0	1	0	1	0	1	1		65.5	2.0	NPTN	40.3	3.0
BSND	canonical	2	320	6	0	0	0	1	0	0	0	0	0		70.6				
BST1	canonical	0	318	286	1	1	1	1	1	1	0	1	0	91.2	70.4	2.0	CD38	32.9	1.0
BST2	canonical	1	180	137	0	0	1	0	0	1	0	1	0			2.0			2.0
BTC	canonical	1	178	87	1	1	0	1	1	0	0	0	0	95.5	77.5		TGFA	37.9	
BTLA	canonical	1	289	123	1	1	0	1	1	0	0	1	0	89.6	54.7				1.0
BTN1A1	canonical	1	526	220	1	1	0	1	1	0	0	1	1	96.4	74.0		BTN2A2	48.9	1.0
BTN2A1	canonical	1	527	220	1	1	0	0	1	0	0	1	1	91.7			BTN2A2	81.5	1.0
BTN2A2	canonical	1	523	233	1	1	0	1	0	0	0	1	1		68.8		BTN2A1	82.8	3.0
BTN3A1	canonical	1	513	221	1	1	0	0	0	1	0	1	1			2.0	BTN3A2	95.5	1.0
