hgnc_id	hgnc_symbol	ensembl_gene	ncbi_gene_id	uniprot_acc	uniprot_flag	go_flag	hpa_flag	surfy_flag	cspa_flag	n_db_votes	sonnet_full_flag	viral_agent	viral_protein	viral_entry_mode
HGNC:10722	SELPLG	ENSG00000110876	6404	Q14242	1	1	0	1	1	4	1	Enterovirus 71	Capsid protein VP1	Caveolin-mediated endocytosis
HGNC:10903	SLAMF1	ENSG00000117090	6504	Q13291	1	1	0	1	1	4	1	Measles virus	Hemagglutinin	Fusion with host cell membrane
HGNC:11763	TFRC	ENSG00000072274	7037	P02786	1	1	0	0	1	3	1	Guanarito virus; Junin virus; Machupo virus	Glycoprotein complex	Clathrin-mediated endocytosis
HGNC:11912	TNFRSF14	ENSG00000157873	8764	Q92956	1	1	1	1	1	5	1	Herpes simplex virus type 1; Herpes simplex virus type 2	Envelope glycoprotein D	Fusion with host cell membrane
HGNC:11918	TNFRSF4	ENSG00000186827	7293	P43489	1	1	0	1	0	3	1	Human herpesvirus 6B (HHV-6B)	Envelope glycoprotein gQ1/gQ2	Fusion with host cell membrane
HGNC:12446	TYRO3	ENSG00000092445	7301	Q06418	1	1	0	1	1	4	1	Dengue virus; Zika virus; Ebolavirus; Lymphocytic choriomeningitis virus	virion membranephosphatidylserine	Clathrin-mediated endocytosis, orMacropinocytosis; ?; Macropinocytosis?
HGNC:13557	ACE2	ENSG00000130234	59272	Q9BYF1	1	1	0	1	0	3	1	Human SARS Coronavirus; Human SARS coronavirus 2; Human coronavirus NL63	Spike glycoprotein	Clathrin-mediated endocytosis; Clathrin-mediated endocytosis?
HGNC:1390	CACNA1C	ENSG00000151067	775	Q13936	1	1	1	1	0	4	1	Human Influenza A virus	Hemagglutinin HA	Clathrin-mediated endocytosis[any cells] andClathrin/caveolin-independent endocytosis[in nonpolarized cells]Macropinocytosis[filamentous virion]
HGNC:14685	F11R	ENSG00000158769	50848	Q9Y624	1	0	1	1	1	4	1	Mammalian reovirus	Outer capsid protein Sigma-1	Clathrin-mediated endocytosis
HGNC:1606	CCR5	ENSG00000160791	1234	P51681	1	1	0	1	0	3	1	HIV-1	Envelope gp120	Clathrin-mediated endocytosis
HGNC:1641	CD209	ENSG00000090659	30835	Q9NNX6	1	1	0	0	0	2	1	Japanese encephalitis virus; Uukuniemi virus; Rift fever valley virus	Envelope protein E; Envelope glycoprotein	Clathrin independent endocytosis; ?
HGNC:1664	SCARB1	ENSG00000073060	949	Q8WTV0	1	1	0	1	1	4	1	Hepatitis C virus	Envelope glycoprotein E1 and E2	Clathrin-mediated endocytosis
