gene_symbol	uniprot_acc	in_universe	is_bench	topo_gpi_anchored	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_no_tm_no_signal	up_has_glyc	deeptm_TM_NO_SP
A2ML1	A8K2U0	True	False	0	0	0	0	1	0	0	1	0
AADACL2	Q6P093	True	False	0	0	0	0	1	0	0	0	0
AADACL3	Q5VUY0	True	False	0	0	0	0	0	0	1	0	1
AADACL4	Q5VUY2	True	False	0	0	0	1	0	0	0	1	1
AAMP	Q13685	True	False	0	0	0	0	0	0	1	0	0
AATK	Q6ZMQ8	True	False	0	0	0	1	0	0	0	0	1
ABCA1	O95477	True	False	0	0	1	0	0	0	0	1	1
ABCA10	Q8WWZ4	True	False	0	0	1	0	0	0	0	0	1
ABCA13	Q86UQ4	True	False	0	0	1	0	0	0	0	0	1
ABCA5	Q8WWZ7	True	False	0	0	1	0	0	0	0	1	1
ABCA7	Q8IZY2	True	False	0	0	1	0	0	0	0	1	1
ABCA8	O94911	True	False	0	0	1	0	0	0	0	1	1
ABCA9	Q8IUA7	True	False	0	0	1	0	0	0	0	1	1
ABCB1	P08183	True	False	0	0	1	0	0	0	0	1	1
ABCB4	P21439	True	False	0	0	1	0	0	0	0	1	1
ABCB5	Q2M3G0	True	False	0	0	1	0	0	0	0	1	1
ABCB6	Q9NP58	True	False	0	0	1	0	0	0	0	1	1
ABCB9	Q9NP78	True	False	0	0	1	0	0	0	0	0	1
ABCC1	P33527	True	False	0	0	1	0	0	0	0	1	1
ABCC10	Q5T3U5	True	False	0	0	1	0	0	0	0	0	1
ABCC11	Q96J66	True	False	0	0	1	0	0	0	0	1	1
ABCC12	Q96J65	True	False	0	0	1	0	0	0	0	1	1
ABCC2	Q92887	True	False	0	0	1	0	0	0	0	1	1
ABCC3	O15438	True	False	0	0	1	0	0	0	0	1	1
ABCC4	O15439	True	False	0	0	1	0	0	0	0	0	1
ABCC5	O15440	True	False	0	0	1	0	0	0	0	1	1
ABCC8	Q09428	True	False	0	0	1	0	0	0	0	1	1
ABCC9	O60706	True	False	0	0	1	0	0	0	0	1	1
ABCG1	P45844	True	False	0	0	1	0	0	0	0	0	1
ABCG2	Q9UNQ0	True	False	0	0	1	0	0	0	0	1	1
ABCG4	Q9H172	True	False	0	0	1	0	0	0	0	1	1
ABCG5	Q9H222	True	False	0	0	1	0	0	0	0	1	1
ABCG8	Q9H221	True	False	0	0	1	0	0	0	0	1	1
ABHD2	P08910	True	False	0	0	0	1	0	0	0	1	1
ABHD6	Q9BV23	True	False	0	0	0	1	0	0	0	0	0
ABI3BP	Q7Z7G0	True	False	0	0	0	0	1	0	0	1	0
ABRA	Q8N0Z2	True	False	0	0	0	0	0	0	1	0	0
ACAA2	P42765	True	False	0	0	0	0	0	0	1	0	0
ACE	P12821	True	False	0	0	0	1	0	0	0	1	0
ACE2	Q9BYF1	True	False	0	0	0	1	0	0	0	1	0
ACHE	P22303	True	False	1	0	0	0	0	0	0	1	0
ACKR1	Q16570	True	False	0	1	0	0	0	0	0	1	1
ACKR2	O00590	True	False	0	1	0	0	0	0	0	1	1
ACKR3	P25106	True	False	0	1	0	0	0	0	0	1	1
ACKR4	Q9NPB9	True	False	0	1	0	0	0	0	0	1	1
ACKR5	O15218	True	False	0	0	1	0	0	0	0	1	1
ACP2	P11117	True	False	0	0	0	1	0	0	0	1	0
ACP3	P15309	True	False	0	0	0	0	1	0	0	1	0
ACP4	Q9BZG2	True	False	0	0	0	1	0	0	0	1	0
ACR	P10323	True	False	0	0	0	0	1	0	0	1	0
ACRBP	Q8NEB7	True	False	0	0	0	0	1	0	0	0	0
ACRV1	P26436	True	False	0	0	0	0	1	0	0	1	0
ACTRT1	Q8TDG2	True	False	0	0	0	0	0	0	1	0	0
ACVR1	Q04771	True	False	0	0	0	1	0	0	0	1	0
ACVR1B	P36896	True	False	0	0	0	1	0	0	0	1	0
ACVR1C	Q8NER5	True	False	0	0	0	1	0	0	0	0	0
ACVR2A	P27037	True	False	0	0	0	1	0	0	0	1	0
ACVR2B	Q13705	True	False	0	0	0	1	0	0	0	1	0
ACVRL1	P37023	True	False	0	0	0	1	0	0	0	1	0
ADA	P00813	True	False	0	0	0	0	0	0	1	0	0
ADA2	Q9NZK5	True	False	0	0	0	0	1	0	0	1	0
ADAM10	O14672	True	False	0	0	0	1	0	0	0	1	0
ADAM11	O75078	True	False	0	0	0	1	0	0	0	1	0
ADAM12	O43184	True	False	0	0	0	1	0	0	0	1	0
ADAM15	Q13444	True	False	0	0	0	1	0	0	0	1	0
ADAM17	P78536	True	False	0	0	0	1	0	0	0	1	0
ADAM18	Q9Y3Q7	True	False	0	0	0	1	0	0	0	1	0
ADAM19	Q9H013	True	False	0	0	0	1	0	0	0	1	0
ADAM2	Q99965	True	False	0	0	0	1	0	0	0	1	0
ADAM20	O43506	True	False	0	0	0	1	0	0	0	1	0
ADAM21	Q9UKJ8	True	False	0	0	0	1	0	0	0	1	0
ADAM22	Q9P0K1	True	False	0	0	0	1	0	0	0	1	0
ADAM23	O75077	True	False	0	0	0	1	0	0	0	1	0
ADAM28	Q9UKQ2	True	False	0	0	0	1	0	0	0	1	0
ADAM29	Q9UKF5	True	False	0	0	0	1	0	0	0	1	0
ADAM30	Q9UKF2	True	False	0	0	0	1	0	0	0	1	0
ADAM32	Q8TC27	True	False	0	0	0	1	0	0	0	1	0
ADAM33	Q9BZ11	True	False	0	0	0	1	0	0	0	1	0
ADAM7	Q9H2U9	True	False	0	0	0	1	0	0	0	1	0
ADAM8	P78325	True	False	0	0	0	1	0	0	0	1	0
ADAM9	Q13443	True	False	0	0	0	1	0	0	0	1	0
ADAMTS1	Q9UHI8	True	False	0	0	0	0	1	0	0	1	0
ADAMTS10	Q9H324	True	False	0	0	0	0	1	0	0	1	0
ADAMTS12	P58397	True	False	0	0	0	0	1	0	0	1	0
ADAMTS14	Q8WXS8	True	False	0	0	0	0	1	0	0	1	0
ADAMTS16	Q8TE57	True	False	0	0	0	0	1	0	0	1	0
ADAMTS17	Q8TE56	True	False	0	0	0	0	1	0	0	1	0
ADAMTS18	Q8TE60	True	False	0	0	0	0	1	0	0	1	0
ADAMTS19	Q8TE59	True	False	0	0	0	0	1	0	0	1	0
ADAMTS3	O15072	True	False	0	0	0	0	1	0	0	1	0
ADAMTS5	Q9UNA0	True	False	0	0	0	0	1	0	0	1	0
ADAMTS6	Q9UKP5	True	False	0	0	0	0	1	0	0	1	0
ADAMTS7	Q9UKP4	True	False	0	0	0	0	1	0	0	1	0
ADAMTS8	Q9UP79	True	False	0	0	0	0	1	0	0	1	0
ADAMTS9	Q9P2N4	True	False	0	0	0	0	1	0	0	1	0
ADAMTSL3	P82987	True	False	0	0	0	0	1	0	0	1	0
ADAP2	Q9NPF8	True	False	0	0	0	0	0	0	1	0	0
