gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	category	subcategory	facet	surface_call_reason	induction_trigger	low_endogenous_expression	state_dependence
AAMP	HGNC:18	Q13685	ENSG00000127837	14.0	canonical	all	induced	cell_state_induced	immune	0	high
ABCA1	HGNC:29	O95477	ENSG00000165029	19.0	canonical	all	none	multipass_with_exposed_loops	stress_hypoxia	0	moderate
ABCA7	HGNC:37	Q8IZY2	ENSG00000064687	10347.0	canonical	all	none	multipass_with_exposed_loops	other	0	moderate
ABCA8	HGNC:38	O94911	ENSG00000141338	10351.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCB1	HGNC:40	P08183	ENSG00000085563	5243.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ABCC1	HGNC:51	P33527	ENSG00000103222	4363.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCC10	HGNC:52	Q5T3U5	ENSG00000124574	89845.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCC11	HGNC:14639	Q96J66	ENSG00000121270	85320.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	1	moderate
ABCC3	HGNC:54	O15438	ENSG00000108846	8714.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCC4	HGNC:55	O15439	ENSG00000125257	10257.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCC5	HGNC:56	O15440	ENSG00000114770	10057.0	canonical	all	none	multipass_with_exposed_loops	none	0	moderate
ABCC8	HGNC:59	Q09428	ENSG00000006071	6833.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCC9	HGNC:60	O60706	ENSG00000069431	10060.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ABCG2	HGNC:74	Q9UNQ0	ENSG00000118777	9429.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ACE	HGNC:2707	P12821	ENSG00000159640	1636.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ACE2	HGNC:13557	Q9BYF1	ENSG00000130234	59272.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ACKR1	HGNC:4035	Q16570	ENSG00000213088	2532.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ACKR3	HGNC:23692	P25106	ENSG00000144476	57007.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
ACKR4	HGNC:1611	Q9NPB9	ENSG00000129048	51554.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ACKR5	HGNC:13708	O15218	ENSG00000166856	11318.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
ACVR1	HGNC:171	Q04771	ENSG00000115170	90.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ACVR1B	HGNC:172	P36896	ENSG00000135503	91.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ACVR1C	HGNC:18123	Q8NER5	ENSG00000123612	130399.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ACVR2A	HGNC:173	P27037	ENSG00000121989	92.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ACVR2B	HGNC:174	Q13705	ENSG00000114739	93.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ACVRL1	HGNC:175	P37023	ENSG00000139567	94.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM10	HGNC:188	O14672	ENSG00000137845	102.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM12	HGNC:190	O43184	ENSG00000148848	8038.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM15	HGNC:193	Q13444	ENSG00000143537	8751.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM17	HGNC:195	P78536	ENSG00000151694	6868.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM19	HGNC:197	Q9H013	ENSG00000135074	8728.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM22	HGNC:201	Q9P0K1	ENSG00000008277	53616.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM23	HGNC:202	O75077	ENSG00000114948	8745.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM28	HGNC:206	Q9UKQ2	ENSG00000042980	10863.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADAM8	HGNC:215	P78325	ENSG00000151651	101.0	canonical	all	induced	cell_state_induced	immune	1	high
ADAM9	HGNC:216	Q13443	ENSG00000168615	8754.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
ADAMTS16	HGNC:17108	Q8TE57	ENSG00000145536	170690.0	canonical	all	induced	cell_state_induced	oncogenic	1	moderate
ADAMTS5	HGNC:221	Q9UNA0	ENSG00000154736	11096.0	canonical	all	none	stable_surface_attachment	infection	0	moderate
ADCY1	HGNC:232	Q08828	ENSG00000164742	107.0	canonical	all	none	multipass_with_exposed_loops	none	0	moderate
ADCY5	HGNC:236	O95622	ENSG00000173175	111.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ADCY6	HGNC:237	O43306	ENSG00000174233	112.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ADCY7	HGNC:238	P51828	ENSG00000121281	113.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	1	moderate
ADCY9	HGNC:240	O60503	ENSG00000162104	115.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ADCYAP1R1	HGNC:242	P41586	ENSG00000078549	117.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRA2	HGNC:17849	Q96PE1	ENSG00000020181	25960.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRA3	HGNC:13839	Q8IWK6	ENSG00000152990	166647.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRB1	HGNC:943	O14514	ENSG00000181790	575.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRB3	HGNC:945	O60242	ENSG00000135298	577.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
