gene_symbol	predicted_verdict	predicted_reason	n_cited	n_verified	n_suspect	n_unresolvable	verified_pmids	suspect_pmids
ACAA2	contextual	cell_state_induced	1	1	0	0	34083649	
AGGF1	contextual	dual_localization	1	1	0	0	27522498	
AGK	contextual	cell_state_induced	1	1	0	0	37078777	
AK1	contextual	dual_localization	3	3	0	0	12496087,25165006,26431833	
ALDOC	contextual	cell_state_induced	1	1	0	0	23688545	
AMPD2	contextual	tissue_restricted_surface	1	1	0	0	34159634	
ANKRD26	contextual	cell_state_induced	1	1	0	0	38493476	
APBA1	contextual	cell_state_induced	1	1	0	0	33159991	
APOL6	contextual	cell_state_induced	2	0	2	0		12198550,28636952
ARC	contextual	dual_localization	4	4	0	0	29328916,33763452,38025262,38187623	
ARID3A	contextual	dual_localization	2	2	0	0	28829038,33804610	
ATP5F1A	contextual	cell_state_induced	0	0	0	0		
ATP6V1A	contextual	other	2	2	0	0	36715683,38532609	
BAG6	contextual	cell_state_induced	2	2	0	0	26598275,33671836	
BAIAP3	yes	multipass_with_exposed_loops	1	1	0	0	25759509	
BLCAP	yes	classical_surface_receptor	4	0	4	0		11042198,16861262,20116365,24563503
C1orf115	contextual	dual_localization	1	1	0	0	39847086	
C1orf56	contextual	tissue_restricted_surface	1	1	0	0	34354992	
C2CD4A	contextual	dual_localization	1	1	0	0	33492421	
C2CD4B	contextual	dual_localization	1	1	0	0	33492421	
C9orf85	contextual	dual_localization	0	0	0	0		
CBX3	contextual	tissue_restricted_surface	2	2	0	0	38331476,39066568	
CCDC188	contextual	tissue_restricted_surface	0	0	0	0		
CCDC54	contextual	cell_state_induced	0	0	0	0		
CCNY	contextual	dual_localization	4	4	0	0	19524571,22895054,36030931,36576166	
CCT5	contextual	dual_localization	1	1	0	0	35720129	
CCT7	contextual	cell_state_induced	0	0	0	0		
CDC37	contextual	cell_state_induced	2	2	0	0	22912728,41215476	
CENPF	contextual	cell_state_induced	2	2	0	0	18827011,34676150	
CHAT	contextual	tissue_restricted_surface	2	2	0	0	37741056,38011942	
CHMP2B	contextual	cell_state_induced	2	2	0	0	21926173,42349418	
CHMP5	contextual	cell_state_induced	4	4	0	0	31761326,36872252,40618173,42401932	
CHMP6	contextual	cell_state_induced	3	3	0	0	15511219,31761326,40467009	
CIRBP	contextual	cell_state_induced	2	2	0	0	34776788,42650208	
CKAP5	contextual	dual_localization	1	1	0	0	30647854	
CRLF3	yes	classical_surface_receptor	0	0	0	0		
CSE1L	contextual	cell_state_induced	1	1	0	0	22952058	
CT47A2	contextual	cell_state_induced	0	0	0	0		
CYB5B	contextual	cell_state_induced	1	1	0	0	20100355	
CYB5R3	contextual	dual_localization	2	2	0	0	30309019,39069267	
DARS2	contextual	cell_state_induced	1	1	0	0	41214844	
DBI	contextual	cell_state_induced	2	2	0	0	36191214,41088998	
DCLK1	contextual	cell_state_induced	4	4	0	0	25985635,31878090,40109216,41087459	
DEK	contextual	cell_state_induced	4	4	0	0	28165452,31107244,33253580,35928230	
DIRAS3	contextual	other	2	2	0	0	23157514,31825828	
DLST	contextual	tissue_restricted_surface	2	2	0	0	41593675,9405249	
DPP9	contextual	cell_state_induced	1	1	0	0	25486458	
DUT	contextual	cell_state_induced	1	1	0	0	21658424	
EIF3A	contextual	cell_state_induced	2	2	0	0	15979069,30006345	
EN1	contextual	dual_localization	1	1	0	0	25710467	
