source	record_id	pdb_id	uniprot_acc	therapeutic	arm	status	error
AACDB	5	1ahw	P13726			mapped	
AACDB	6	1ahw	P13726			mapped	
AACDB	28	1egj	P32927			mapped	
AACDB	53	1h0d	P03950			mapped	
AACDB	54	1i9r	P29965			mapped	
AACDB	55	1i9r	P29965			mapped	
AACDB	56	1i9r	P29965			mapped	
AACDB	68	1jps	P13726			mapped	
AACDB	69	1jrh	P15260			mapped	
AACDB	105	1n8z	P04626			mapped	
AACDB	159	1s78	P04626			mapped	
AACDB	160	1s78	P04626			mapped	
AACDB	162	1sy6	P07766			mapped	
AACDB	174	1uj3	P13726			mapped	
AACDB	188	1xiw	P07766			mapped	
AACDB	189	1xiw	P07766			mapped	
AACDB	190	1yjd	P10747			mapped	
AACDB	194	1yy9	P00533			mapped	
AACDB	201	1za3	O14763			mapped	
AACDB	202	1za3	O14763			mapped	
AACDB	246	2fd6	Q03405			mapped	
AACDB	264	2h9g	O14763			mapped	
AACDB	265	2h9g	O14763			mapped	
AACDB	267	2hfg	Q96RJ3			no_unambiguous_canonical_site	
AACDB	290	2jix	P19235			mapped	
AACDB	291	2jix	P19235			mapped	
AACDB	310	2oz4	P05362			mapped	
AACDB	328	2qqk	O60462			mapped	
AACDB	329	2qql	O60462			mapped	
AACDB	330	2qqn	O14786			mapped	
AACDB	342	2r4r	P07550			mapped	
AACDB	343	2r4s	P07550			mapped	
AACDB	347	2vc2	P08514			mapped	
AACDB	348	2vdk	P08514			mapped	
AACDB	349	2vdl	P08514			mapped	
AACDB	350	2vdm	P08514			mapped	
AACDB	351	2vdn	P08514			mapped	
AACDB	352	2vdo	P08514			mapped	
AACDB	353	2vdp	P08514			mapped	
AACDB	354	2vdq	P08514			mapped	
AACDB	355	2vdr	P08514			mapped	
AACDB	360	2vwe	P49765			mapped	
AACDB	361	2vwe	P49765			mapped	
AACDB	373	2w9e	P04156			mapped	
AACDB	383	2x89	P61769			mapped	
AACDB	384	2x89	P61769			mapped	
AACDB	385	2x89	P61769			mapped	
AACDB	386	2xqb	P40933			mapped	
AACDB	391	2xtj	Q8NBP7			mapped	
AACDB	394	2xwt	P16473			mapped	
AACDB	403	2zch	P07288			no_unambiguous_canonical_site	
AACDB	404	2zck	P07288			no_unambiguous_canonical_site	
AACDB	405	2zcl	P07288			no_unambiguous_canonical_site	
AACDB	418	3b2u	P00533			mapped	
AACDB	419	3b2u	P00533			mapped	
AACDB	420	3b2u	P00533			mapped	
AACDB	421	3b2u	P00533			mapped	
AACDB	422	3b2u	P00533			mapped	
AACDB	423	3b2u	P00533			mapped	
AACDB	424	3b2u	P00533			mapped	
AACDB	425	3b2u	P00533			mapped	
AACDB	426	3b2v	P00533			mapped	
AACDB	430	3be1	P04626			mapped	
AACDB	433	3bn9	Q9Y5Y6			no_unambiguous_canonical_site	
AACDB	434	3bn9	Q9Y5Y6			no_unambiguous_canonical_site	
AACDB	438	3bt2	Q03405			mapped	
AACDB	439	3c09	P00533			mapped	
AACDB	440	3c09	P00533			mapped	
AACDB	465	3eo1	P10600			mapped	
AACDB	466	3eo1	P10600			mapped	
AACDB	467	3eo1	P10600			mapped	
AACDB	468	3eo1	P10600			mapped	
AACDB	469	3eoa	P20701			mapped	
AACDB	470	3eoa	P20701			mapped	
AACDB	471	3eob	P20701			mapped	
AACDB	472	3eob	P20701			mapped	
AACDB	490	3g04	P16473			mapped	
AACDB	492	3g6j	P01024			mapped	
AACDB	493	3g6j	P01024			mapped	
AACDB	498	3h3b	P04626			mapped	
AACDB	499	3h3b	P04626			mapped	
AACDB	502	3hae	P04439			no_unambiguous_canonical_site	
AACDB	503	3hae	P04439			no_unambiguous_canonical_site	
AACDB	504	3hae	P04439			no_unambiguous_canonical_site	
AACDB	505	3hae	P04439			no_unambiguous_canonical_site	
AACDB	510	3hi6	P20701			mapped	
AACDB	511	3hi6	P20701			mapped	
AACDB	519	3iu3	P01589			mapped	
