hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	uniprot_surface_flag	go_surface_flag	hpa_surface_flag	surfy_surface_flag	cspa_surface_flag	n_sources_surface	sonnet_verdict	sonnet_reason	universe_version	verdict_source
HGNC:5	A1BG	P04217	ENSG00000121410	1	0	0	0	0	0	0	no	secreted_only	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:24086	A1CF	Q9NQ94	ENSG00000148584	29974	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:7	A2M	P01023	ENSG00000175899	2	0	0	0	0	1	1	no	secreted_only	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:23336	A2ML1	A8K2U0	ENSG00000166535	144568	0	0	0	0	0	0	contextual	stable_surface_attachment	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:30005	A3GALT2	U3KPV4	ENSG00000184389	127550	0	0	0	0	0	0	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:18149	A4GALT	Q9NPC4	ENSG00000128274	53947	0	0	0	0	1	1	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:17968	A4GNT	Q9UNA3	ENSG00000118017	51146	0	0	0	0	0	0	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:13666	AAAS	Q9NRG9	ENSG00000094914	8086	0	0	0	0	0	0	no	nuclear_envelope	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:21298	AACS	Q86V21	ENSG00000081760	65985	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:17	AADAC	P22760	ENSG00000114771	13	0	0	0	0	0	0	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:24427	AADACL2	Q6P093	ENSG00000197953	344752	0	0	0	0	0	0	contextual	tissue_restricted_surface	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:32037	AADACL3	Q5VUY0	ENSG00000188984	126767	0	0	0	0	0	0	contextual	tissue_restricted_surface	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:32038	AADACL4	Q5VUY2	ENSG00000204518	343066	0	0	0	0	0	0	contextual	dual_localization	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:17929	AADAT	Q8N5Z0	ENSG00000109576	51166	0	0	1	0	0	1	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:25662	AAGAB	Q6PD74	ENSG00000103591	79719	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:19679	AAK1	Q2M2I8	ENSG00000115977	22848	0	0	1	0	0	1	no	inner_leaflet_anchored	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:30205	AAMDC	Q9H7C9	ENSG00000087884	28971	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:18	AAMP	Q13685	ENSG00000127837	14	0	1	1	0	0	2	contextual	cell_state_induced	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:19	AANAT	Q16613	ENSG00000129673	15	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:15886	AAR2	Q9Y312	ENSG00000131043	25980	0	0	0	0	0	0	no	nuclear	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:33842	AARD	Q4LEZ3	ENSG00000205002	441376	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:20	AARS1	P49588	ENSG00000090861	16	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:21022	AARS2	Q5JTZ9	ENSG00000124608	57505	0	0	0	0	0	0	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:28417	AARSD1	Q9BTE6	ENSG00000266967	80755	0	0	0	0	0	0	no	nuclear	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:23993	AASDH	Q4L235	ENSG00000157426	132949	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:14235	AASDHPPT	Q9NRN7	ENSG00000149313	60496	0	0	0	0	0	0	no	cytoplasmic	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:17366	AASS	Q9UDR5	ENSG00000008311	10157	0	0	0	0	0	0	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:19235	AATF	Q9NY61	ENSG00000275700	26574	0	0	0	0	0	0	no	nuclear	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:21	AATK	Q6ZMQ8	ENSG00000181409	9625	0	0	0	0	0	0	yes	classical_surface_receptor	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:23	ABAT	P80404	ENSG00000183044	18	0	0	0	0	0	0	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:29	ABCA1	O95477	ENSG00000165029	19	1	0	1	1	1	4	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:30	ABCA10	Q8WWZ4	ENSG00000154263	10349	0	0	0	0	0	0	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:14637	ABCA12	Q86UK0	ENSG00000144452	26154	0	0	1	1	0	2	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:14638	ABCA13	Q86UQ4	ENSG00000179869	154664	0	0	0	1	0	1	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:32	ABCA2	Q9BZC7	ENSG00000107331	20	0	1	0	1	1	3	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:33	ABCA3	Q99758	ENSG00000167972	21	0	0	0	1	0	1	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:34	ABCA4	P78363	ENSG00000198691	24	1	0	0	1	0	2	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:35	ABCA5	Q8WWZ7	ENSG00000154265	23461	0	0	0	1	1	2	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:36	ABCA6	Q8N139	ENSG00000154262	23460	0	0	0	1	0	1	no	endomembrane_resident	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:37	ABCA7	Q8IZY2	ENSG00000064687	10347	1	1	1	1	1	5	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:38	ABCA8	O94911	ENSG00000141338	10351	1	1	0	1	1	4	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:39	ABCA9	Q8IUA7	ENSG00000154258	10350	0	0	0	1	0	1	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:40	ABCB1	P08183	ENSG00000085563	5243	1	1	1	1	1	5	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:41	ABCB10	Q9NRK6	ENSG00000135776	23456	0	0	0	0	0	0	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:42	ABCB11	O95342	ENSG00000073734	8647	1	1	0	1	0	3	no	other	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:45	ABCB4	P21439	ENSG00000005471	5244	1	1	1	1	0	4	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:46	ABCB5	Q2M3G0	ENSG00000004846	340273	0	1	0	1	0	2	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:47	ABCB6	Q9NP58	ENSG00000115657	10058	0	1	1	0	0	2	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:48	ABCB7	O75027	ENSG00000131269	22	0	0	0	0	0	0	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:49	ABCB8	Q9NUT2	ENSG00000197150	11194	0	1	0	0	0	1	no	mitochondrial_internal	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:50	ABCB9	Q9NP78	ENSG00000150967	23457	0	0	0	1	0	1	contextual	lysosomal_exocytosis	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:51	ABCC1	P33527	ENSG00000103222	4363	1	1	1	1	1	5	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:52	ABCC10	Q5T3U5	ENSG00000124574	89845	1	1	0	1	0	3	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:14639	ABCC11	Q96J66	ENSG00000121270	85320	1	1	0	1	0	3	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:14640	ABCC12	Q96J65	ENSG00000140798	94160	0	0	0	1	0	1	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:53	ABCC2	Q92887	ENSG00000023839	1244	1	1	0	1	1	4	contextual	tissue_restricted_surface	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:54	ABCC3	O15438	ENSG00000108846	8714	1	1	1	1	0	4	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
HGNC:55	ABCC4	O15439	ENSG00000125257	10257	1	1	1	1	1	5	yes	multipass_with_exposed_loops	cu_2026_05_12_post_silentdrop_fix	ncbi
