gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	n_db_votes	uniprot_flag	go_flag	surfy_flag	cspa_flag	hpa_flag	deeptmhmm_flag	compartments_flag	sonnet_verdict	sonnet_confidence	sonnet_reason	pubmed_verdict	pubmed_confidence	source
A2M	HGNC:7	P01023	ENSG00000175899	2	1	0	0	0	1	0	0	0	no	high	secreted_only			m1_only
AADAT	HGNC:17929	Q8N5Z0	ENSG00000109576	51166	1	0	0	0	0	1	0	0	no	high	mitochondrial_internal			m1_only
AAK1	HGNC:19679	Q2M2I8	ENSG00000115977	22848	1	0	0	0	0	1	0	0	no	high	inner_leaflet_anchored			m1_only
ABCB8	HGNC:49	Q9NUT2	ENSG00000197150	11194	1	0	1	0	0	0	0	0	no	high	mitochondrial_internal			m1_only
ABCD4	HGNC:68	O14678	ENSG00000119688	5826	1	0	1	0	0	0	0	0	no	high	endomembrane_resident			m1_only
ABI1	HGNC:11320	Q8IZP0	ENSG00000136754	10006	1	0	0	0	0	1	0	0	no	high	cytoplasmic			m1_only
ACOT13	HGNC:20999	Q9NPJ3	ENSG00000112304	55856	1	0	0	0	0	1	0	0	no	high	cytoplasmic			m1_only
ACOT9	HGNC:17152	Q9Y305	ENSG00000123130	23597	1	0	0	0	0	1	0	0	no	high	mitochondrial_internal			m1_only
ACP1	HGNC:122	P24666	ENSG00000143727	52	1	0	1	0	0	0	0	0	no	high	cytoplasmic			m1_only
ACSL4	HGNC:3571	O60488	ENSG00000068366	2182	1	1	0	0	0	0	0	0	no	high	endomembrane_resident	no	medium	m1_only
ACSL5	HGNC:16526	Q9ULC5	ENSG00000197142	51703	1	1	0	0	0	0	0	0	no	high	endomembrane_resident	no	high	m1_only
ACTL10	HGNC:16127	Q5JWF8	ENSG00000288649	170487	1	0	0	0	0	1	0	0	no	high	cytoplasmic			m1_only
ACTR10	HGNC:17372	Q9NZ32	ENSG00000131966	55860	1	0	0	0	0	1	0	0	no	high	cytoplasmic			m1_only
ACTR6	HGNC:24025	Q9GZN1	ENSG00000075089	64431	1	0	0	0	0	1	0	0	no	high	nuclear			m1_only
ADAMTS13	HGNC:1366	Q76LX8	ENSG00000160323	11093	1	0	1	0	0	0	0	0	no	high	secreted_only			m1_only
ADAMTS2	HGNC:218	O95450	ENSG00000087116	9509	1	0	0	0	0	1	0	0	no	high	secreted_only			m1_only
ADAP1	HGNC:16486	O75689	ENSG00000105963	11033	1	0	0	0	0	1	0	0	no	high	inner_leaflet_anchored			m1_only
ADCK5	HGNC:21738	Q3MIX3	ENSG00000173137	203054	1	0	0	0	0	1	0	0	no	high	mitochondrial_internal			m1_only
ADD1	HGNC:243	P35611	ENSG00000087274	118	1	0	0	0	0	1	0	0	no	high	inner_leaflet_anchored			m1_only
ADD3	HGNC:245	Q9UEY8	ENSG00000148700	120	1	0	0	0	0	1	0	0	no	high	inner_leaflet_anchored			m1_only
