gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	n_db_votes	sonnet_verdict	sonnet_reason	pubmed_verdict	pubmed_confidence	source
ADAP1	HGNC:16486	O75689	ENSG00000105963	11033	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
AKR1B15	HGNC:37281	C9JRZ8	ENSG00000227471	441282	1	no	cytoplasmic	contextual	low	m1_and_sonnet
ANGPTL1	HGNC:489	O95841	ENSG00000116194	9068	1	no	secreted_only	contextual	low	m1_and_sonnet
ANKIB1	HGNC:22215	Q9P2G1	ENSG00000001629	54467	1	no	cytoplasmic	contextual	low	m1_and_sonnet
ANXA4	HGNC:542	P09525	ENSG00000196975	307	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
ARHGAP36	HGNC:26388	Q6ZRI8	ENSG00000147256	158763	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
ATP9A	HGNC:13540	O75110	ENSG00000054793	10079	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
BCHE	HGNC:983	P06276	ENSG00000114200	590	1	no	secreted_only	contextual	medium	m1_and_sonnet
BRK1	HGNC:23057	Q8WUW1	ENSG00000254999	55845	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
C1R	HGNC:1246	P00736	ENSG00000159403	715	1	no	secreted_only	contextual	medium	m1_and_sonnet
C1S	HGNC:1247	P09871	ENSG00000182326	716	1	no	secreted_only	contextual	medium	m1_and_sonnet
CCDC69	HGNC:24487	A6NI79	ENSG00000198624	26112	1	no	cytoplasmic	contextual	low	m1_and_sonnet
CCDC8	HGNC:25367	Q9H0W5	ENSG00000169515	83987	1	no	cytoplasmic	yes	medium	m1_and_sonnet
CEND1	HGNC:24153	Q8N111	ENSG00000184524	51286	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
COMT	HGNC:2228	P21964	ENSG00000093010	1312	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
CPA4	HGNC:15740	Q9UI42	ENSG00000128510	51200	1	no	secreted_only	contextual	low	m1_and_sonnet
CTNND2	HGNC:2516	Q9UQB3	ENSG00000169862	1501	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
DAB2	HGNC:2662	P98082	ENSG00000153071	1601	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
DDX4	HGNC:18700	Q9NQI0	ENSG00000152670	54514	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
DOC2A	HGNC:2985	Q14183	ENSG00000149927	8448	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
DOK3	HGNC:24583	Q7L591	ENSG00000146094	79930	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
ENO2	HGNC:3353	P09104	ENSG00000111674	2026	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
ERP29	HGNC:13799	P30040	ENSG00000089248	10961	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
ERP44	HGNC:18311	Q9BS26	ENSG00000023318	23071	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
EXTL3	HGNC:3518	O43909	ENSG00000012232	2137	1	no	endomembrane_resident	yes	medium	m1_and_sonnet
FABP5	HGNC:3560	Q01469	ENSG00000164687	2171	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
HOMER3	HGNC:17514	Q9NSC5	ENSG00000051128	9454	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
HSH2D	HGNC:24920	Q96JZ2	ENSG00000196684	84941	1	no	cytoplasmic	yes	high	m1_and_sonnet
HTRA2	HGNC:14348	O43464	ENSG00000115317	27429	1	no	mitochondrial_internal	contextual	medium	m1_and_sonnet
IPCEF1	HGNC:21204	Q8WWN9	ENSG00000074706	26034	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
LMO7	HGNC:6646	Q8WWI1	ENSG00000136153	4008	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
METTL9	HGNC:24586	Q9H1A3	ENSG00000197006	51108	1	no	cytoplasmic	contextual	low	m1_and_sonnet
MINPP1	HGNC:7102	Q9UNW1	ENSG00000107789	9562	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
PLAA	HGNC:9043	Q9Y263	ENSG00000137055	9373	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
PLEKHN1	HGNC:25284	Q494U1	ENSG00000187583	84069	1	no	cytoplasmic	contextual	low	m1_and_sonnet
PLG	HGNC:9071	P00747	ENSG00000122194	5340	1	no	secreted_only	contextual	medium	m1_and_sonnet
PPP2R1A	HGNC:9302	P30153	ENSG00000105568	5518	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
PTEN	HGNC:9588	P60484	ENSG00000171862	5728	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
PTK6	HGNC:9617	Q13882	ENSG00000101213	5753	1	no	cytoplasmic	contextual	high	m1_and_sonnet
RGS7BP	HGNC:23271	Q6MZT1	ENSG00000186479	401190	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
SDCBP	HGNC:10662	O00560	ENSG00000137575	6386	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
SLC37A2	HGNC:20644	Q8TED4	ENSG00000134955	219855	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
SLIT1	HGNC:11085	O75093	ENSG00000187122	6585	1	no	secreted_only	contextual	medium	m1_and_sonnet
SPHK1	HGNC:11240	Q9NYA1	ENSG00000176170	8877	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
STX11	HGNC:11429	O75558	ENSG00000135604	8676	1	no	inner_leaflet_anchored	contextual	medium	m1_and_sonnet
SYP	HGNC:11506	P08247	ENSG00000102003	6855	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
TMX1	HGNC:15487	Q9H3N1	ENSG00000139921	81542	1	no	endomembrane_resident	yes	high	m1_and_sonnet
TMX2	HGNC:30739	Q9Y320	ENSG00000213593	51075	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
UNC93B1	HGNC:13481	Q9H1C4	ENSG00000110057	81622	1	no	endomembrane_resident	contextual	medium	m1_and_sonnet
VAMP4	HGNC:12645	O75379	ENSG00000117533	8674	1	no	endomembrane_resident	contextual	high	m1_and_sonnet
VWF	HGNC:12726	P04275	ENSG00000110799	7450	1	no	secreted_only	contextual	medium	m1_and_sonnet
ZNF185	HGNC:12976	O15231	ENSG00000147394	7739	1	no	cytoplasmic	contextual	medium	m1_and_sonnet
