gene_symbol	hgnc_id	triage_verdict	triage_reason	triage_confidence
ACAA2	HGNC:83	contextual	cell_state_induced	low
AGGF1	HGNC:24684	contextual	dual_localization	low
AGK	HGNC:21869	contextual	cell_state_induced	medium
AK1	HGNC:361	contextual	dual_localization	low
ALDOC	HGNC:418	contextual	cell_state_induced	low
AMPD2	HGNC:469	contextual	tissue_restricted_surface	medium
ANKRD26	HGNC:29186	contextual	cell_state_induced	low
APBA1	HGNC:578	contextual	cell_state_induced	medium
APOL6	HGNC:14870	contextual	cell_state_induced	medium
ARC	HGNC:648	contextual	dual_localization	medium
ARID3A	HGNC:3031	contextual	dual_localization	medium
ATP5F1A	HGNC:823	contextual	cell_state_induced	medium
ATP6V1A	HGNC:851	contextual	other	medium
BAG6	HGNC:13919	contextual	cell_state_induced	medium
BAIAP3	HGNC:948	yes	multipass_with_exposed_loops	medium
BLCAP	HGNC:1055	yes	classical_surface_receptor	medium
C1orf115	HGNC:25873	contextual	dual_localization	medium
C1orf56	HGNC:26045	contextual	tissue_restricted_surface	medium
C2CD4A	HGNC:33627	contextual	dual_localization	medium
C2CD4B	HGNC:33628	contextual	dual_localization	low
C9orf85	HGNC:28784	contextual	dual_localization	low
CBX3	HGNC:1553	contextual	tissue_restricted_surface	medium
CCDC188	HGNC:51899	contextual	tissue_restricted_surface	low
CCDC54	HGNC:30703	contextual	cell_state_induced	low
CCNY	HGNC:23354	contextual	dual_localization	medium
CCT5	HGNC:1618	contextual	dual_localization	low
CCT7	HGNC:1622	contextual	cell_state_induced	low
CDC37	HGNC:1735	contextual	cell_state_induced	medium
CENPF	HGNC:1857	contextual	cell_state_induced	medium
CHAT	HGNC:1912	contextual	tissue_restricted_surface	medium
CHMP2B	HGNC:24537	contextual	cell_state_induced	medium
CHMP5	HGNC:26942	contextual	cell_state_induced	medium
CHMP6	HGNC:25675	contextual	cell_state_induced	medium
CIRBP	HGNC:1982	contextual	cell_state_induced	medium
CKAP5	HGNC:28959	contextual	dual_localization	medium
CRLF3	HGNC:17177	yes	classical_surface_receptor	medium
CSE1L	HGNC:2431	contextual	cell_state_induced	medium
CT47A2	HGNC:33283	contextual	cell_state_induced	low
CYB5B	HGNC:24374	contextual	cell_state_induced	medium
CYB5R3	HGNC:2873	contextual	dual_localization	medium
DARS2	HGNC:25538	contextual	cell_state_induced	low
DBI	HGNC:2690	contextual	cell_state_induced	medium
DCLK1	HGNC:2700	contextual	cell_state_induced	medium
DEK	HGNC:2768	contextual	cell_state_induced	medium
DIRAS3	HGNC:687	contextual	other	medium
DLST	HGNC:2911	contextual	tissue_restricted_surface	medium
DPP9	HGNC:18648	contextual	cell_state_induced	medium
DUT	HGNC:3078	contextual	cell_state_induced	low
EIF3A	HGNC:3271	contextual	cell_state_induced	medium
EN1	HGNC:3342	contextual	dual_localization	low
EPM2A	HGNC:3413	contextual	dual_localization	low
ESR2	HGNC:3468	contextual	cell_state_induced	medium
FAM149A	HGNC:24527	contextual	tissue_restricted_surface	low
FAM153A	HGNC:29940	contextual	tissue_restricted_surface	low
FEZ1	HGNC:3659	contextual	dual_localization	low
FLII	HGNC:3750	contextual	lysosomal_exocytosis	low
FNDC11	HGNC:28764	yes	classical_surface_receptor	low
FOXR2	HGNC:30469	contextual	cell_state_induced	low
GCSAM	HGNC:20253	contextual	tissue_restricted_surface	low
GGTLC2	HGNC:18596	contextual	dual_localization	low
GMFB	HGNC:4373	contextual	cell_state_induced	medium
GOT2	HGNC:4433	contextual	cell_state_induced	medium
H2BC12	HGNC:13954	contextual	cell_state_induced	medium
H2BC26	HGNC:20514	contextual	cell_state_induced	medium
H2BC4	HGNC:4757	contextual	cell_state_induced	medium
H4C3	HGNC:4787	contextual	cell_state_induced	medium
HARS1	HGNC:4816	contextual	cell_state_induced	medium
HDAC3	HGNC:4854	contextual	dual_localization	medium
HMGB3	HGNC:5004	contextual	cell_state_induced	medium
HMGN2	HGNC:4986	contextual	cell_state_induced	medium
HSPA1L	HGNC:5234	contextual	cell_state_induced	medium
IDO2	HGNC:27269	contextual	cell_state_induced	medium
JMJD6	HGNC:19355	contextual	dual_localization	medium
JOSD1	HGNC:28953	contextual	dual_localization	medium
KANK2	HGNC:29300	contextual	dual_localization	medium
LAP3	HGNC:18449	contextual	dual_localization	medium
