gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	init_votes	sonnet_verdict	sonnet_confidence	sonnet_reason
A4GALT	HGNC:18149	Q9NPC4	ENSG00000128274	53947	1	no	high	endomembrane_resident
ACAA1	HGNC:82	P09110	ENSG00000060971	30	1	no	high	other
ARSL	HGNC:719	P51690	ENSG00000157399	415	1	no	high	endomembrane_resident
ATF6B	HGNC:2349	Q99941	ENSG00000213676	1388	1	no	high	endomembrane_resident
ATL1	HGNC:11231	Q8WXF7	ENSG00000198513	51062	1	no	high	endomembrane_resident
ATP6V0A1	HGNC:865	Q93050	ENSG00000033627	535	1	no	high	endomembrane_resident
B3GNT2	HGNC:15629	Q9NY97	ENSG00000170340	10678	1	no	high	endomembrane_resident
BPNT2	HGNC:26019	Q9NX62	ENSG00000104331	54928	1	no	high	endomembrane_resident
BRI3BP	HGNC:14251	Q8WY22	ENSG00000184992	140707	1	no	medium	mitochondrial_internal
BSCL2	HGNC:15832	Q96G97	ENSG00000168000	26580	1	no	high	endomembrane_resident
CERS2	HGNC:14076	Q96G23	ENSG00000143418	29956	1	no	high	endomembrane_resident
CERS6	HGNC:23826	Q6ZMG9	ENSG00000172292	253782	1	no	high	endomembrane_resident
CHST12	HGNC:17423	Q9NRB3	ENSG00000136213	55501	1	no	high	endomembrane_resident
CHST3	HGNC:1971	Q7LGC8	ENSG00000122863	9469	1	no	high	endomembrane_resident
CLCN6	HGNC:2024	P51797	ENSG00000011021	1185	1	no	high	endomembrane_resident
DBH	HGNC:2689	P09172	ENSG00000123454	1621	1	no	medium	secreted_only
DPY19L4	HGNC:27829	Q7Z388	ENSG00000156162	286148	1	no	high	endomembrane_resident
EFCAB14	HGNC:29051	O75071	ENSG00000159658	9813	1	no	medium	cytoplasmic
ELOVL4	HGNC:14415	Q9GZR5	ENSG00000118402	6785	1	no	high	endomembrane_resident
ELOVL6	HGNC:15829	Q9H5J4	ENSG00000170522	79071	1	no	high	endomembrane_resident
ENTPD7	HGNC:19745	Q9NQZ7	ENSG00000198018	57089	1	no	medium	endomembrane_resident
FAM234B	HGNC:29288	A2RU67	ENSG00000084444	57613	1	no	medium	endomembrane_resident
GALNT11	HGNC:19875	Q8NCW6	ENSG00000178234	63917	1	no	high	endomembrane_resident
GGCX	HGNC:4247	P38435	ENSG00000115486	2677	1	no	high	endomembrane_resident
GLT8D2	HGNC:24890	Q9H1C3	ENSG00000120820	83468	1	no	medium	endomembrane_resident
GNPTAB	HGNC:29670	Q3T906	ENSG00000111670	79158	1	no	high	endomembrane_resident
GOLIM4	HGNC:15448	O00461	ENSG00000173905	27333	1	no	high	endomembrane_resident
GOLM2	HGNC:24892	Q6P4E1	ENSG00000166734	113201	1	no	medium	endomembrane_resident
HSD11B1	HGNC:5208	P28845	ENSG00000117594	3290	1	no	high	endomembrane_resident
HSD17B2	HGNC:5211	P37059	ENSG00000086696	3294	1	no	high	endomembrane_resident
IKBIP	HGNC:26430	Q70UQ0	ENSG00000166130	121457	1	no	high	cytoplasmic
ITPR1	HGNC:6180	Q14643	ENSG00000150995	3708	1	no	high	endomembrane_resident
JMJD6	HGNC:19355	Q6NYC1	ENSG00000070495	23210	0	no	high	nuclear
KIAA1549	HGNC:22219	Q9HCM3	ENSG00000122778	57670	1	no	medium	cytoplasmic
LEMD2	HGNC:21244	Q8NC56	ENSG00000161904	221496	1	no	high	nuclear_envelope
LMF2	HGNC:25096	Q9BU23	ENSG00000100258	91289	1	no	medium	endomembrane_resident
MAN2A1	HGNC:6824	Q16706	ENSG00000112893	4124	1	no	high	endomembrane_resident
MAN2A2	HGNC:6825	P49641	ENSG00000196547	4122	1	no	high	endomembrane_resident
MBTPS2	HGNC:15455	O43462	ENSG00000012174	51360	1	no	high	endomembrane_resident
MGAT5	HGNC:7049	Q09328	ENSG00000152127	4249	1	no	high	endomembrane_resident
MGAT5B	HGNC:24140	Q3V5L5	ENSG00000167889	146664	1	no	high	endomembrane_resident
MTX2	HGNC:7506	O75431	ENSG00000128654	10651	0	no	high	mitochondrial_internal
MYORG	HGNC:19918	Q6NSJ0	ENSG00000164976	57462	1	no	high	endomembrane_resident
NBL1	HGNC:7650	P41271	ENSG00000158747	4681	0	no	high	secreted_only
NDST1	HGNC:7680	P52848	ENSG00000070614	3340	0	no	high	endomembrane_resident
PARVA	HGNC:14652	Q9NVD7	ENSG00000197702	55742	0	no	high	inner_leaflet_anchored
PBXIP1	HGNC:21199	Q96AQ6	ENSG00000163346	57326	1	no	high	cytoplasmic
PIGG	HGNC:25985	Q5H8A4	ENSG00000174227	54872	1	no	high	endomembrane_resident
PIGS	HGNC:14937	Q96S52	ENSG00000087111	94005	1	no	high	endomembrane_resident
PNPLA6	HGNC:16268	Q8IY17	ENSG00000032444	10908	1	no	high	endomembrane_resident
POMK	HGNC:26267	Q9H5K3	ENSG00000185900	84197	1	no	high	endomembrane_resident
POMT1	HGNC:9202	Q9Y6A1	ENSG00000130714	10585	1	no	high	endomembrane_resident
POMT2	HGNC:19743	Q9UKY4	ENSG00000009830	29954	1	no	high	endomembrane_resident
RGN	HGNC:9989	Q15493	ENSG00000130988	9104	0	no	high	cytoplasmic
SEC22B	HGNC:10700	O75396	ENSG00000265808	9554	1	no	high	endomembrane_resident
SEL1L3	HGNC:29108	Q68CR1	ENSG00000091490	23231	1	no	medium	endomembrane_resident
SERP2	HGNC:20607	Q8N6R1	ENSG00000151778	387923	0	no	medium	endomembrane_resident
ST3GAL3	HGNC:10866	Q11203	ENSG00000126091	6487	0	no	high	endomembrane_resident
ST3GAL5	HGNC:10872	Q9UNP4	ENSG00000115525	8869	1	no	high	endomembrane_resident
ST3GAL6	HGNC:18080	Q9Y274	ENSG00000064225	10402	1	no	high	endomembrane_resident
STT3A	HGNC:6172	P46977	ENSG00000134910	3703	1	no	high	endomembrane_resident
SUN1	HGNC:18587	O94901	ENSG00000164828	23353	1	no	high	nuclear_envelope
SUN2	HGNC:14210	Q9UH99	ENSG00000100242	25777	1	no	high	nuclear_envelope
TMEM106C	HGNC:28775	Q9BVX2	ENSG00000134291	79022	1	no	medium	endomembrane_resident
TMEM131	HGNC:30366	Q92545	ENSG00000075568	23505	1	no	medium	endomembrane_resident
TMEM259	HGNC:17039	Q4ZIN3	ENSG00000182087	91304	1	no	high	endomembrane_resident
TMEM94	HGNC:28983	Q12767	ENSG00000177728	9772	1	no	high	endomembrane_resident
TOR1AIP1	HGNC:29456	Q5JTV8	ENSG00000143337	26092	1	no	high	nuclear_envelope
TOR1AIP2	HGNC:24055	Q8NFQ8	ENSG00000169905	163590	1	no	high	endomembrane_resident
UBA1	HGNC:12469	P22314	ENSG00000130985	7317	1	no	high	cytoplasmic
UGGT1	HGNC:15663	Q9NYU2	ENSG00000136731	56886	1	no	high	endomembrane_resident
UST	HGNC:17223	Q9Y2C2	ENSG00000111962	10090	1	no	high	endomembrane_resident
VTA1	HGNC:20954	Q9NP79	ENSG00000009844	51534	0	no	high	cytoplasmic
ZDHHC23	HGNC:28654	Q8IYP9	ENSG00000184307	254887	1	no	high	endomembrane_resident
