gene_symbol	uniprot_acc	hgnc_id	model	prompt_variant	replicate	predicted_verdict	predicted_reason	is_match	ground_truth_verdict	ground_truth_reason
A2M	P01023	HGNC:7	claude-haiku-4-5	naive	1	contextual	stable_surface_attachment	0	no	secreted_only
A2M	P01023	HGNC:7	claude-haiku-4-5	naive	2	contextual	dual_localization	0	no	secreted_only
A2M	P01023	HGNC:7	claude-haiku-4-5	naive	3	contextual	dual_localization	0	no	secreted_only
ABCB9	Q9NP78	HGNC:50	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	0	no	endomembrane_resident
ABCB9	Q9NP78	HGNC:50	claude-haiku-4-5	naive	2	no	endomembrane_resident	1	no	endomembrane_resident
ABCB9	Q9NP78	HGNC:50	claude-haiku-4-5	naive	3	no	endomembrane_resident	1	no	endomembrane_resident
ADORA3	P0DMS8	HGNC:268	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
ADORA3	P0DMS8	HGNC:268	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
ADORA3	P0DMS8	HGNC:268	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
AKT2	P31751	HGNC:392	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	1	no	cytoplasmic
AKT2	P31751	HGNC:392	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	cytoplasmic
AKT2	P31751	HGNC:392	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	cytoplasmic
ALPG	P10696	HGNC:441	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	contextual	tissue_restricted_surface
ALPG	P10696	HGNC:441	claude-haiku-4-5	naive	2	contextual	tissue_restricted_surface	1	contextual	tissue_restricted_surface
ALPG	P10696	HGNC:441	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	1	contextual	tissue_restricted_surface
AMHR2	Q16671	HGNC:465	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
AMHR2	Q16671	HGNC:465	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
AMHR2	Q16671	HGNC:465	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
APOB	P04114	HGNC:603	claude-haiku-4-5	naive	1	contextual	dual_localization	0	no	secreted_only
APOB	P04114	HGNC:603	claude-haiku-4-5	naive	2	contextual	dual_localization	0	no	secreted_only
APOB	P04114	HGNC:603	claude-haiku-4-5	naive	3	no	secreted_only	1	no	secreted_only
APPL1	Q9UKG1	HGNC:24035	claude-haiku-4-5	naive	1	no	cytoplasmic	1	no	endomembrane_resident
APPL1	Q9UKG1	HGNC:24035	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	endomembrane_resident
APPL1	Q9UKG1	HGNC:24035	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	endomembrane_resident
ATG9A	Q7Z3C6	HGNC:22408	claude-haiku-4-5	naive	1	no	endomembrane_resident	1	no	endomembrane_resident
ATG9A	Q7Z3C6	HGNC:22408	claude-haiku-4-5	naive	2	contextual	cell_state_induced	0	no	endomembrane_resident
ATG9A	Q7Z3C6	HGNC:22408	claude-haiku-4-5	naive	3	contextual	cell_state_induced	0	no	endomembrane_resident
ATP5F1B	P06576	HGNC:830	claude-haiku-4-5	naive	1	no	endomembrane_resident	0	contextual	dual_localization
ATP5F1B	P06576	HGNC:830	claude-haiku-4-5	naive	2	no	mitochondrial_internal	0	contextual	dual_localization
ATP5F1B	P06576	HGNC:830	claude-haiku-4-5	naive	3	no	mitochondrial_internal	0	contextual	dual_localization
AVPR1A	P37288	HGNC:895	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
AVPR1A	P37288	HGNC:895	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
AVPR1A	P37288	HGNC:895	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
B2M	P61769	HGNC:914	claude-haiku-4-5	naive	1	yes	stable_complex_partner	1	yes	stable_complex_partner
B2M	P61769	HGNC:914	claude-haiku-4-5	naive	2	no	pmhc_only_intracellular	0	yes	stable_complex_partner
B2M	P61769	HGNC:914	claude-haiku-4-5	naive	3	yes	stable_complex_partner	1	yes	stable_complex_partner
B4GALT1	P15291	HGNC:924	claude-haiku-4-5	naive	1	no	endomembrane_resident	0	contextual	dual_localization
B4GALT1	P15291	HGNC:924	claude-haiku-4-5	naive	2	no	endomembrane_resident	0	contextual	dual_localization
B4GALT1	P15291	HGNC:924	claude-haiku-4-5	naive	3	no	endomembrane_resident	0	contextual	dual_localization
BAX	Q07812	HGNC:959	claude-haiku-4-5	naive	1	no	mitochondrial_internal	1	no	cytoplasmic
BAX	Q07812	HGNC:959	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	cytoplasmic
BAX	Q07812	HGNC:959	claude-haiku-4-5	naive	3	contextual	cell_state_induced	0	no	cytoplasmic
