gene_symbol	model	prompt_variant	replicate	predicted_verdict	predicted_reason	predicted_confidence	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_db_votes	has_deep_dive
A2M	claude-haiku-4-5	naive	1	contextual	stable_surface_attachment	medium	1724	457	0	0	0	0.004009	5.7976437080069445	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	0	0	0	0	1	0	1	0
A2M	claude-haiku-4-5	naive	2	contextual	dual_localization	medium	1724	358	0	0	0	0.003514	4.667022624984384	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	0	0	0	0	1	0	1	0
A2M	claude-haiku-4-5	naive	3	contextual	dual_localization	medium	1745	479	0	0	0	0.00414	5.936928665963933	P01023	HGNC:7	2	ENSG00000175899	no	secreted_negative	0	0	0	0	1	0	1	0
ABCB9	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	medium	1726	1067	0	0	0	0.007061	11.857293790963013	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	0	0	0	1	0	0	1	0
ABCB9	claude-haiku-4-5	naive	2	no	endomembrane_resident	medium	1726	315	0	0	0	0.003301	4.237470292020589	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	1	0	0	1	0	0	1	0
ABCB9	claude-haiku-4-5	naive	3	no	endomembrane_resident	high	1726	367	0	0	0	0.003561	5.055131750006694	Q9NP78	HGNC:50	23457	ENSG00000150967	no	wrong_compartment_negative	1	0	0	1	0	0	1	0
ADORA3	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1725	207	0	0	0	0.00276	2.4544761670404114	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1	1	0	0	0	0	1	0
ADORA3	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	high	1725	224	0	0	0	0.002845	2.705961916013621	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1	1	0	0	0	0	1	0
ADORA3	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	high	1746	241	0	0	0	0.002951	2.9401746669900604	P0DMS8	HGNC:268	140	ENSG00000282608	yes	gpcr_extracellular_pocket	1	1	0	0	0	0	1	0
AKT2	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	high	1725	302	0	0	0	0.003235	3.37190600001486	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
