ncbi_gene_id	gene_symbol	synonyms	chromosome	map_location	description	dbXrefs	hgnc_id	ensembl_gene	mim
1	A1BG	A1B|ABG|GAB|HYST2477	19	19q13.43	alpha-1-B glycoprotein	MIM:138670|HGNC:HGNC:5|Ensembl:ENSG00000121410|AllianceGenome:HGNC:5	HGNC:5	ENSG00000121410	138670
2	A2M	A2MD|CPAMD5|FWP007|S863-7	12	12p13.31	alpha-2-macroglobulin	MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899|AllianceGenome:HGNC:7	HGNC:7	ENSG00000175899	103950
9	NAT1	AAC1|MNAT|NAT-1|NATI	8	8p22	N-acetyltransferase 1	MIM:108345|HGNC:HGNC:7645|Ensembl:ENSG00000171428|AllianceGenome:HGNC:7645	HGNC:7645	ENSG00000171428	108345
10	NAT2	AAC2|NAT-2|PNAT	8	8p22	N-acetyltransferase 2	MIM:612182|HGNC:HGNC:7646|Ensembl:ENSG00000156006|AllianceGenome:HGNC:7646	HGNC:7646	ENSG00000156006	612182
12	SERPINA3	AACT|ACT|GIG24|GIG25	14	14q32.13	serpin family A member 3	MIM:107280|HGNC:HGNC:16|Ensembl:ENSG00000196136|AllianceGenome:HGNC:16	HGNC:16	ENSG00000196136	107280
13	AADAC	CES5A1|DAC	3	3q25.1	arylacetamide deacetylase	MIM:600338|HGNC:HGNC:17|Ensembl:ENSG00000114771|AllianceGenome:HGNC:17	HGNC:17	ENSG00000114771	600338
14	AAMP	-	2	2q35	angio associated migratory cell protein	MIM:603488|HGNC:HGNC:18|Ensembl:ENSG00000127837|AllianceGenome:HGNC:18	HGNC:18	ENSG00000127837	603488
15	AANAT	DSPS|SNAT	17	17q25.1	aralkylamine N-acetyltransferase	MIM:600950|HGNC:HGNC:19|Ensembl:ENSG00000129673|AllianceGenome:HGNC:19	HGNC:19	ENSG00000129673	600950
16	AARS1	AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8	16	16q22.1	alanyl-tRNA synthetase 1	MIM:601065|HGNC:HGNC:20|Ensembl:ENSG00000090861|AllianceGenome:HGNC:20	HGNC:20	ENSG00000090861	601065
18	ABAT	GABA-AT|GABAT|NPD009	16	16p13.2	4-aminobutyrate aminotransferase	MIM:137150|HGNC:HGNC:23|Ensembl:ENSG00000183044|AllianceGenome:HGNC:23	HGNC:23	ENSG00000183044	137150
19	ABCA1	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	9	9q31.1	ATP binding cassette subfamily A member 1	MIM:600046|HGNC:HGNC:29|Ensembl:ENSG00000165029|AllianceGenome:HGNC:29	HGNC:29	ENSG00000165029	600046
20	ABCA2	ABC2|IDPOGSA	9	9q34.3	ATP binding cassette subfamily A member 2	MIM:600047|HGNC:HGNC:32|Ensembl:ENSG00000107331|AllianceGenome:HGNC:32	HGNC:32	ENSG00000107331	600047
