gene_symbol	hgnc_id	uniprot_accession	ensembl_gene	ncbi_gene_id	n_db_votes	uniprot_flag	go_flag	surfy_flag	cspa_flag	hpa_flag	deeptmhmm_flag	compartments_flag	sonnet_verdict	sonnet_confidence	sonnet_reason	pubmed_verdict	pubmed_confidence	source	src_uniprot	src_go	src_hpa	src_surfy	src_cspa	src_sonnet	up_length	up_tm_count	up_signal_count	up_topo_extracellular_count	up_lipidation_count	up_glyc_count	up_keywords	up_has_signal	up_has_tm	up_has_glyc	up_has_lipidation	up_has_extracellular_topo	up_multi_pass	topo_gpi_anchored	topo_intramembrane	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_palmitoylated_only	topo_no_tm_no_signal	deeptmhmm_label	deeptm_TM_NO_SP	deeptm_SP_plus_TM	deeptm_SP_only	deeptm_BETA	deeptm_GLOB	gene_group	fam_gpcr	fam_olfactory_receptor	fam_slc_transporter	fam_abc_transporter	fam_cd_molecule	fam_ig_domain	fam_rtk	fam_tetraspanin	fam_cadherin	fam_integrin	fam_voltage_gated_channel	fam_ligand_gated_channel	fam_connexin	fam_claudin	fam_mhc_hla	fam_tnfrsf	fam_chemokine_ligand	fam_chemokine_receptor	fam_ras_gtpase	fam_rho_gtpase	fam_arf_gtpase	fam_src_kinase	fam_g_protein_subunit	schweke_homomer
A2ML1	HGNC:23336	A8K2U0	ENSG00000166535	144568	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only	0	0	0	0	0	1																													Alpha-2-macroglobulin family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	HGNC:24427	Q6P093	ENSG00000197953	344752	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only	0	0	0	0	0	1																													Arylacetamide deacetylase family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	HGNC:32037	Q5VUY0	ENSG00000188984	126767	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only	0	0	0	0	0	1																													Arylacetamide deacetylase family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	HGNC:32038	Q5VUY2	ENSG00000204518	343066	0	0	0	0	0	0	0	0	contextual	low	dual_localization			sonnet_only	0	0	0	0	0	1																													Arylacetamide deacetylase family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAMP	HGNC:18	Q13685	ENSG00000127837	14	2	0	1	0	0	1	0	0	contextual	low	cell_state_induced			m1_and_sonnet	0	1	1	0	0	1	434.0	0.0	0.0	0.0	0.0	0.0	Angiogenesis|Cell membrane|Cytoplasm|Developmental protein|Differentiation|Direct protein sequencing|Membrane|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|WD repeat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0							WD repeat domain containing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATK	HGNC:21	Q6ZMQ8	ENSG00000181409	9625	0	0	0	0	0	0	0	0	yes	medium	classical_surface_receptor			sonnet_only	0	0	0	0	0	1																													Receptor tyrosine kinases|Protein phosphatase 1 regulatory subunits|MicroRNA protein coding host genes	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ABCA1	HGNC:29	O95477	ENSG00000165029	19	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	0	1	1	0	1	2261.0	15.0	0.0	2.0	4.0	21.0	3D-structure|Atherosclerosis|ATP-binding|Cell membrane|Cholesterol metabolism|Disease variant|Disulfide bond|Endosome|Glycoprotein|Lipid metabolism|Lipoprotein|Membrane|Nucleotide-binding|Palmitate|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Steroid metabolism|Sterol metabolism|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily A|ATPase phospholipid transporting	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA10	HGNC:30	Q8WWZ4	ENSG00000154263	10349	0	0	0	0	0	0	0	0	yes	medium	multipass_with_exposed_loops			sonnet_only	0	0	0	0	0	1																													ATP binding cassette subfamily A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA12	HGNC:14637	Q86UK0	ENSG00000144452	26154	2	0	0	1	0	1	1	0	no	medium	endomembrane_resident			m1_only	0	0	1	1	0	0																							TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily A|ATPase phospholipid transporting	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA13	HGNC:14638	Q86UQ4	ENSG00000179869	154664	1	0	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	0	0	0	1	0	1																							TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
