hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	binder_target_location	target_unit	target_scope	partner_type	partner_id	partner_members	source_rows	references	directions	exact_pair_assessed	assessment_scope	same_pair_structural_any_site	same_pair_structural_external_site	same_pair_region_external	same_pair_structural_or_region_external	complex_component_contact_support	support_pdb_ids	region_references
HGNC:1748	CDH1	P12830	ENSG00000039068	999	membrane_and_secreted	P12830	protein	complex	integrin_a2b1_complex	P05556;P17301	2	PMID:12392763	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	P12830	P12830	2	PMID:12392763	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	P12830	P12830	2	PMID:12392763	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:1748	CDH1	P12830	ENSG00000039068	999	membrane_and_secreted	P12830	protein	complex	integrin_aEb7_complex	P26010;P38570	3	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	1	9p99	
HGNC:6162	ITGB7	P26010	ENSG00000139626	3695	membrane	integrin_aEb7_complex	complex	protein	P12830	P12830	3	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6147	ITGAE	P38570	ENSG00000083457	3682	membrane_inferred	integrin_aEb7_complex	complex	protein	P12830	P12830	3	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	1	9p99	
HGNC:1748	CDH1	P12830	ENSG00000039068	999	membrane_and_secreted	P12830	protein	protein	Q96E93	Q96E93	4	PMC3030123	Ligand-Receptor	1	single_protein_pair	1	1	1	1	0	3ff7	pubmed:35922511|imex:IM-30342
HGNC:6380	KLRG1	Q96E93	ENSG00000139187	10219	membrane	Q96E93	protein	protein	P12830	P12830	4	PMC3030123	Ligand-Receptor	1	single_protein_pair	1	1	1	1	0	3ff7	pubmed:35922511|imex:IM-30342
HGNC:1759	CDH2	P19022	ENSG00000170558	1000	membrane	P19022	protein	protein	P19022	P19022	5	uniprot	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:1759	CDH2	P19022	ENSG00000170558	1000	membrane	P19022	protein	protein	P06734	P06734	6	Shilts screen - VALIDATED	Ligand-Receptor	1	single_protein_pair	0	0	1	1	0		pubmed:35922511|imex:IM-30342
HGNC:3612	FCER2	P06734	ENSG00000104921	2208	membrane_and_secreted	P06734	protein	protein	P19022	P19022	6	Shilts screen - VALIDATED	Ligand-Receptor	1	single_protein_pair	0	0	1	1	0		pubmed:35922511|imex:IM-30342
HGNC:1762	CDH3	P22223	ENSG00000062038	1001	membrane	P22223	protein	protein	P22223	P22223	7	uniprot	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:1764	CDH5	P33151	ENSG00000179776	1003	membrane	P33151	protein	protein	P33151	P33151	8	uniprot	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:1765	CDH6	P55285	ENSG00000113361	1004	membrane	P55285	protein	protein	P55285	P55285	9	uniprot	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:1766	CDH7	Q9ULB5	ENSG00000081138	1005	membrane	Q9ULB5	protein	protein	Q9ULB5	Q9ULB5	10	uniprot	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:5951	CADM1	Q9BY67	ENSG00000182985	23705	membrane	Q9BY67	protein	protein	Q9BY67	Q9BY67	11	PMID:24503895	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:5951	CADM1	Q9BY67	ENSG00000182985	23705	membrane	Q9BY67	protein	protein	Q9NQS3	Q9NQS3	12	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:17664	NECTIN3	Q9NQS3	ENSG00000177707	25945	membrane	Q9NQS3	protein	protein	Q9BY67	Q9BY67	12	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:17601	CADM3	Q8N126	ENSG00000162706	57863	membrane	Q8N126	protein	protein	Q9BY67	Q9BY67	13	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:5951	CADM1	Q9BY67	ENSG00000182985	23705	membrane	Q9BY67	protein	protein	Q8N126	Q8N126	13	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:17601	CADM3	Q8N126	ENSG00000162706	57863	membrane	Q8N126	protein	protein	Q8NFZ8	Q8NFZ8	14	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	1	1	0		pubmed:32822567|imex:IM-30326
HGNC:30825	CADM4	Q8NFZ8	ENSG00000105767	199731	membrane	Q8NFZ8	protein	protein	Q8N126	Q8N126	14	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	1	1	0		pubmed:32822567|imex:IM-30326
